# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	7.2	13.6	0.215
2	7.4	13.6	0.116
3	7.7	13.1	0.045
4	7.6	13.0	0.033
5	7.7	13.0	0.099
6	7.8	13.0	0.247
7	7.6	12.9	0.669
8	9.3	12.8	0.716
9	9.4	12.8	0.719
10	8.9	12.7	0.753
11	8.9	12.7	0.719
12	8.4	12.7	0.697
13	8.1	12.7	0.645
14	8.2	12.6	0.567
15	8.2	12.6	0.517
16	8.4	12.6	0.482
17	8.9	12.5	0.501
18	9.6	12.5	0.622
19	10.3	12.5	0.694
20	10.4	12.5	0.858
21	10.6	12.5	0.882
22	10.9	12.5	0.822
23	11.1	12.5	0.495
24	11.5	12.4	0.310
25	10.1	12.4	0.215
26	9.8	12.4	0.116
27	9.9	12.4	0.045
28	9.9	12.4	0.033
29	9.7	12.3	0.099
30	9.5	12.3	0.247
31	9.8	12.3	0.669
32	11.7	12.2	0.716
33	11.4	12.2	0.719
34	11.2	12.2	0.753
35	10.9	12.2	0.719
36	10.4	12.2	0.697
37	10.2	12.2	0.645
38	10.1	12.2	0.567
39	9.7	12.1	0.517
40	9.9	12.1	0.482
41	10.4	12.1	0.501
42	10.8	12.1	0.622
43	10.9	12.1	0.694
44	11.0	12.0	0.858
45	11.1	12.0	0.882
46	11.1	11.9	0.822
47	11.2	11.9	0.495
48	11.2	11.9	0.310
49	9.3	11.9	0.215
50	9.3	11.9	0.116
51	9.4	11.8	0.045
52	9.6	11.8	0.033
53	9.7	11.8	0.099
54	9.6	11.8	0.247
55	9.9	11.8	0.669
56	11.6	11.8	0.716
57	11.5	11.7	0.719
58	11.5	11.7	0.753
59	11.2	11.7	0.719
60	11.1	11.7	0.697
61	10.6	11.7	0.645
62	10.4	11.7	0.567
63	10.2	11.6	0.517
64	10.2	11.6	0.482
65	10.3	11.6	0.501
66	10.7	11.5	0.622
67	11.0	11.5	0.694
68	11.3	11.5	0.858
69	11.7	11.5	0.882
70	11.9	11.5	0.822
71	12.2	11.5	0.495
72	12.3	11.5	0.310
73	10.6	11.4	0.215
74	10.6	11.4	0.116
75	10.5	11.4	0.045
76	10.6	11.4	0.033
77	10.6	11.4	0.099
78	10.5	11.4	0.247
79	10.3	11.4	0.669
80	11.7	11.4	0.716
81	11.4	11.3	0.719
82	10.8	11.3	0.753
83	9.8	11.3	0.719
84	9.0	11.3	0.697
85	8.3	11.3	0.645
86	8.1	11.3	0.567
87	8.2	11.3	0.517
88	8.1	11.3	0.482
89	8.2	11.3	0.501
90	8.3	11.3	0.622
91	8.3	11.2	0.694
92	8.1	11.2	0.858
93	8.3	11.2	0.882
94	8.5	11.2	0.822
95	8.6	11.2	0.495
96	8.6	11.2	0.310
97	6.8	11.2	0.215
98	6.9	11.2	0.116
99	7.2	11.2	0.045
100	7.4	11.2	0.033
101	7.7	11.2	0.099
102	7.8	11.2	0.247
103	8.2	11.2	0.669
104	10.1	11.2	0.716
105	10.3	11.2	0.719
106	10.3	11.1	0.753
107	10.5	11.1	0.719
108	10.6	11.1	0.697
109	10.6	11.1	0.645
110	10.8	11.1	0.567
111	11.4	11.1	0.517
112	11.3	11.1	0.482
113	11.9	11.1	0.501
114	12.4	11.1	0.622
115	12.4	11.1	0.694
116	12.2	11.1	0.858
117	12.5	11.1	0.882
118	13.0	11.1	0.822
119	13.6	11.1	0.495
120	13.6	11.1	0.310
121	12.1	11.1	0.215
122	12.1	11.0	0.116
123	11.8	11.0	0.045
124	11.8	11.0	0.033
125	11.2	11.0	0.099
126	10.8	11.0	0.247
127	10.7	11.0	0.669
128	12.4	11.0	0.716
129	12.2	11.0	0.719
130	11.7	11.0	0.753
131	11.1	10.9	0.719
132	10.5	10.9	0.697
133	9.6	10.9	0.645
134	9.0	10.9	0.567
135	8.7	10.9	0.517
136	8.3	10.9	0.482
137	8.3	10.9	0.501
138	8.6	10.9	0.622
139	8.3	10.9	0.694
140	8.2	10.9	0.858
141	8.3	10.8	0.882
142	8.3	10.8	0.822
143	8.3	10.8	0.495
144	8.2	10.8	0.310
145	6.3	10.8	0.215
146	6.5	10.8	0.116
147	6.5	10.8	0.045
148	6.7	10.7	0.033
149	7.0	10.7	0.099
150	6.8	10.7	0.247
151	6.8	10.7	0.669
152	8.8	10.7	0.716
153	8.7	10.7	0.719
154	8.1	10.7	0.753
155	7.9	10.7	0.719
156	7.5	10.7	0.697
157	7.2	10.7	0.645
158	6.6	10.7	0.567
159	6.4	10.7	0.517
160	6.3	10.7	0.482
161	6.9	10.7	0.501
162	7.3	10.6	0.622
163	7.9	10.6	0.694
164	8.0	10.6	0.858
165	8.4	10.6	0.882
166	8.5	10.6	0.822
167	9.1	10.6	0.495
168	9.2	10.6	0.310
169	7.5	10.6	0.215
170	7.5	10.6	0.116
171	7.6	10.6	0.045
172	7.2	10.6	0.033
173	7.1	10.6	0.099
174	6.8	10.6	0.247
175	6.8	10.6	0.669
176	8.4	10.6	0.716
177	8.4	10.6	0.719
178	8.2	10.6	0.753
179	7.8	10.6	0.719
180	7.4	10.6	0.697
181	7.5	10.5	0.645
182	7.3	10.5	0.567
183	7.5	10.5	0.517
184	7.4	10.5	0.482
185	7.3	10.5	0.501
186	7.4	10.5	0.622
187	7.6	10.5	0.694
188	7.2	10.5	0.858
189	6.9	10.5	0.882
190	6.9	10.5	0.822
191	6.6	10.5	0.495
192	6.3	10.5	0.310
193	4.1	10.5	0.215
194	4.2	10.5	0.116
195	4.4	10.5	0.045
196	4.5	10.5	0.033
197	4.2	10.5	0.099
198	3.9	10.5	0.247
199	4.2	10.4	0.669
200	5.9	10.4	0.716
201	6.1	10.4	0.719
202	5.6	10.4	0.753
203	5.5	10.4	0.719
204	5.6	10.4	0.697
205	5.5	10.4	0.645
206	5.0	10.4	0.567
207	4.6	10.4	0.517
208	4.5	10.4	0.482
209	4.5	10.4	0.501
210	4.4	10.4	0.622
211	4.4	10.4	0.694
212	4.5	10.4	0.858
213	4.4	10.4	0.882
214	4.4	10.4	0.822
215	4.3	10.3	0.495
216	4.1	10.3	0.310
217	2.3	10.3	0.215
218	2.5	10.3	0.116
219	2.7	10.3	0.045
220	2.9	10.3	0.033
221	3.1	10.3	0.099
222	3.4	10.3	0.247
223	3.7	10.3	0.669
224	5.7	10.3	0.716
225	5.6	10.3	0.719
226	5.8	10.3	0.753
227	5.8	10.3	0.719
228	5.7	10.3	0.697
229	5.5	10.3	0.645
230	5.6	10.2	0.567
231	5.5	10.2	0.517
232	6.1	10.2	0.482
233	6.4	10.2	0.501
234	7.0	10.2	0.622
235	7.0	10.2	0.694
236	7.4	10.2	0.858
237	7.9	10.2	0.882
238	8.5	10.2	0.822
239	9.0	10.2	0.495
240	9.3	10.2	0.310
241	7.8	10.2	0.215
242	7.8	10.2	0.116
243	7.9	10.2	0.045
244	7.9	10.2	0.033
245	7.8	10.1	0.099
246	7.8	10.1	0.247
247	7.7	10.1	0.669
248	9.4	10.1	0.716
249	9.5	10.1	0.719
250	9.1	10.1	0.753
251	9.1	10.1	0.719
252	8.4	10.1	0.697
253	8.2	10.1	0.645
254	7.6	10.1	0.567
255	7.7	10.1	0.517
256	8.0	10.0	0.482
257	8.7	10.0	0.501
258	8.6	10.0	0.622
259	8.8	10.0	0.694
260	9.2	10.0	0.858
261	9.4	10.0	0.882
262	9.7	10.0	0.822
263	9.7	10.0	0.495
264	9.7	10.0	0.310
265	7.9	10.0	0.215
266	8.1	10.0	0.116
267	8.0	10.0	0.045
268	8.0	10.0	0.033
269	7.8	10.0	0.099
270	7.9	10.0	0.247
271	7.8	10.0	0.669
272	9.7	10.0	0.716
273	9.8	10.0	0.719
274	9.5	10.0	0.753
275	9.1	9.9	0.719
276	8.6	9.9	0.697
277	8.1	9.9	0.645
278	7.9	9.9	0.567
279	7.6	9.9	0.517
280	7.6	9.9	0.482
281	7.6	9.9	0.501
282	7.7	9.9	0.622
283	7.8	9.9	0.694
284	7.7	9.9	0.858
285	8.0	9.9	0.882
286	8.1	9.9	0.822
287	8.1	9.9	0.495
288	8.2	9.9	0.310
289	6.1	9.9	0.215
290	6.1	9.9	0.116
291	6.1	9.8	0.045
292	6.1	9.8	0.033
293	6.2	9.8	0.099
294	6.2	9.8	0.247
295	6.0	9.8	0.669
296	7.9	9.8	0.716
297	7.8	9.8	0.719
298	7.8	9.8	0.753
299	7.4	9.8	0.719
300	7.1	9.8	0.697
301	6.8	9.8	0.645
302	6.6	9.8	0.567
303	6.6	9.8	0.517
304	6.3	9.8	0.482
305	6.6	9.8	0.501
306	6.6	9.8	0.622
307	6.6	9.8	0.694
308	6.7	9.8	0.858
309	6.8	9.7	0.882
310	7.3	9.7	0.822
311	7.2	9.7	0.495
312	7.4	9.7	0.310
313	5.6	9.7	0.215
314	5.6	9.7	0.116
315	5.6	9.7	0.045
316	5.4	9.7	0.033
317	5.2	9.7	0.099
318	5.1	9.7	0.247
319	5.3	9.7	0.669
320	7.2	9.7	0.716
321	7.2	9.7	0.719
322	7.1	9.7	0.753
323	7.0	9.7	0.719
324	7.1	9.7	0.697
325	6.8	9.7	0.645
326	6.7	9.7	0.567
327	6.2	9.7	0.517
328	5.9	9.7	0.482
329	6.2	9.7	0.501
330	6.3	9.7	0.622
331	6.6	9.7	0.694
332	6.7	9.6	0.858
333	6.8	9.6	0.882
334	6.8	9.6	0.822
335	7.0	9.6	0.495
336	6.8	9.6	0.310
337	5.1	9.6	0.215
338	5.2	9.6	0.116
339	5.4	9.6	0.045
340	5.7	9.6	0.033
341	5.8	9.6	0.099
342	5.8	9.6	0.247
343	5.8	9.6	0.669
344	8.0	9.6	0.716
345	8.0	9.6	0.719
346	8.2	9.5	0.753
347	7.9	9.5	0.719
348	7.8	9.5	0.697
349	7.7	9.5	0.645
350	7.9	9.5	0.567
351	8.0	9.5	0.517
352	8.0	9.5	0.482
353	8.3	9.5	0.501
354	8.6	9.5	0.622
355	8.7	9.5	0.694
356	9.0	9.5	0.858
357	8.9	9.5	0.882
358	9.2	9.5	0.822
359	9.2	9.5	0.495
360	9.0	9.5	0.310
361	7.1	9.5	0.215
362	7.2	9.5	0.116
363	7.5	9.5	0.045
364	7.4	9.5	0.033
365	7.3	9.5	0.099
366	7.7	9.5	0.247
367	7.8	9.5	0.669
368	9.7	9.5	0.716
369	9.6	9.5	0.719
370	9.7	9.5	0.753
371	9.1	9.4	0.719
372	8.9	9.4	0.697
373	8.6	9.4	0.645
374	8.4	9.4	0.567
375	8.5	9.4	0.517
376	8.9	9.4	0.482
377	9.6	9.4	0.501
378	10.0	9.4	0.622
379	10.3	9.4	0.694
380	10.5	9.4	0.858
381	10.6	9.4	0.882
382	11.1	9.4	0.822
383	11.5	9.4	0.495
384	11.8	9.4	0.310
385	10.6	9.4	0.215
386	10.7	9.4	0.116
387	10.8	9.4	0.045
388	10.6	9.4	0.033
389	10.6	9.4	0.099
390	10.5	9.4	0.247
391	10.4	9.4	0.669
392	12.1	9.3	0.716
393	11.6	9.3	0.719
394	11.1	9.3	0.753
395	10.6	9.3	0.719
