# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	0.5	1.0	0.029
2	0.5	1.0	0.016
3	0.6	1.0	0.006
4	0.6	0.9	0.004
5	0.6	0.9	0.013
6	0.6	0.9	0.033
7	0.6	0.9	0.090
8	0.7	0.9	0.097
9	0.7	0.9	0.097
10	0.7	0.9	0.102
11	0.7	0.9	0.097
12	0.6	0.9	0.094
13	0.6	0.9	0.087
14	0.6	0.9	0.077
15	0.6	0.9	0.070
16	0.6	0.9	0.065
17	0.7	0.9	0.068
18	0.7	0.9	0.084
19	0.8	0.9	0.094
20	0.8	0.9	0.116
21	0.8	0.9	0.119
22	0.8	0.9	0.111
23	0.8	0.9	0.067
24	0.8	0.9	0.042
25	0.7	0.9	0.029
26	0.7	0.9	0.016
27	0.7	0.9	0.006
28	0.7	0.9	0.004
29	0.7	0.9	0.013
30	0.7	0.9	0.033
31	0.7	0.9	0.090
32	0.9	0.9	0.097
33	0.8	0.9	0.097
34	0.8	0.9	0.102
35	0.8	0.9	0.097
36	0.8	0.9	0.094
37	0.7	0.9	0.087
38	0.7	0.9	0.077
39	0.7	0.9	0.070
40	0.7	0.9	0.065
41	0.8	0.9	0.068
42	0.8	0.9	0.084
43	0.8	0.9	0.094
44	0.8	0.9	0.116
45	0.8	0.9	0.119
46	0.8	0.9	0.111
47	0.8	0.9	0.067
48	0.8	0.9	0.042
49	0.7	0.9	0.029
50	0.7	0.9	0.016
51	0.7	0.9	0.006
52	0.7	0.9	0.004
53	0.7	0.9	0.013
54	0.7	0.9	0.033
55	0.7	0.9	0.090
56	0.8	0.9	0.097
57	0.8	0.9	0.097
58	0.8	0.9	0.102
59	0.8	0.8	0.097
60	0.8	0.8	0.094
61	0.8	0.8	0.087
62	0.8	0.8	0.077
63	0.7	0.8	0.070
64	0.7	0.8	0.065
65	0.8	0.8	0.068
66	0.8	0.8	0.084
67	0.8	0.8	0.094
68	0.8	0.8	0.116
69	0.9	0.8	0.119
70	0.9	0.8	0.111
71	0.9	0.8	0.067
72	0.9	0.8	0.042
73	0.8	0.8	0.029
74	0.8	0.8	0.016
75	0.8	0.8	0.006
76	0.8	0.8	0.004
77	0.8	0.8	0.013
78	0.8	0.8	0.033
79	0.8	0.8	0.090
80	0.9	0.8	0.097
81	0.8	0.8	0.097
82	0.8	0.8	0.102
83	0.7	0.8	0.097
84	0.7	0.8	0.094
85	0.6	0.8	0.087
86	0.6	0.8	0.077
87	0.6	0.8	0.070
88	0.6	0.8	0.065
89	0.6	0.8	0.068
90	0.6	0.8	0.084
91	0.6	0.8	0.094
92	0.6	0.8	0.116
93	0.6	0.8	0.119
94	0.6	0.8	0.111
95	0.6	0.8	0.067
96	0.6	0.8	0.042
97	0.5	0.8	0.029
98	0.5	0.8	0.016
99	0.5	0.8	0.006
100	0.5	0.8	0.004
101	0.6	0.8	0.013
102	0.6	0.8	0.033
103	0.6	0.8	0.090
104	0.7	0.8	0.097
105	0.8	0.8	0.097
106	0.8	0.8	0.102
107	0.8	0.8	0.097
108	0.8	0.8	0.094
109	0.8	0.8	0.087
110	0.8	0.8	0.077
111	0.8	0.8	0.070
112	0.8	0.8	0.065
113	0.9	0.8	0.068
114	0.9	0.8	0.084
115	0.9	0.8	0.094
116	0.9	0.8	0.116
117	0.9	0.8	0.119
118	1.0	0.8	0.111
119	1.0	0.8	0.067
120	1.0	0.8	0.042
121	0.9	0.8	0.029
122	0.9	0.8	0.016
123	0.9	0.8	0.006
124	0.9	0.8	0.004
125	0.8	0.8	0.013
126	0.8	0.8	0.033
127	0.8	0.8	0.090
128	0.9	0.8	0.097
129	0.9	0.8	0.097
130	0.9	0.8	0.102
131	0.8	0.8	0.097
132	0.8	0.8	0.094
133	0.7	0.8	0.087
134	0.7	0.8	0.077
135	0.6	0.8	0.070
136	0.6	0.8	0.065
137	0.6	0.8	0.068
138	0.6	0.8	0.084
139	0.6	0.8	0.094
140	0.6	0.8	0.116
141	0.6	0.8	0.119
142	0.6	0.8	0.111
143	0.6	0.8	0.067
144	0.6	0.8	0.042
145	0.5	0.8	0.029
146	0.5	0.8	0.016
147	0.5	0.8	0.006
148	0.5	0.8	0.004
149	0.5	0.8	0.013
150	0.5	0.8	0.033
151	0.5	0.8	0.090
152	0.6	0.8	0.097
153	0.6	0.8	0.097
154	0.6	0.8	0.102
155	0.6	0.8	0.097
156	0.6	0.8	0.094
157	0.5	0.8	0.087
158	0.5	0.8	0.077
159	0.5	0.8	0.070
160	0.5	0.8	0.065
161	0.5	0.8	0.068
162	0.5	0.8	0.084
163	0.6	0.8	0.094
164	0.6	0.8	0.116
165	0.6	0.8	0.119
166	0.6	0.8	0.111
167	0.7	0.8	0.067
168	0.7	0.8	0.042
169	0.6	0.8	0.029
170	0.5	0.8	0.016
171	0.6	0.8	0.006
172	0.5	0.8	0.004
173	0.5	0.8	0.013
174	0.5	0.8	0.033
175	0.5	0.8	0.090
176	0.6	0.8	0.097
177	0.6	0.8	0.097
178	0.6	0.8	0.102
179	0.6	0.8	0.097
180	0.5	0.8	0.094
181	0.6	0.8	0.087
182	0.5	0.8	0.077
183	0.5	0.8	0.070
184	0.5	0.8	0.065
185	0.5	0.8	0.068
186	0.5	0.8	0.084
187	0.6	0.8	0.094
188	0.5	0.8	0.116
189	0.5	0.8	0.119
190	0.5	0.8	0.111
191	0.5	0.8	0.067
192	0.5	0.8	0.042
193	0.3	0.8	0.029
194	0.3	0.8	0.016
195	0.3	0.8	0.006
196	0.3	0.8	0.004
197	0.3	0.8	0.013
198	0.3	0.8	0.033
199	0.3	0.8	0.090
200	0.4	0.8	0.097
201	0.4	0.8	0.097
202	0.4	0.8	0.102
203	0.4	0.8	0.097
204	0.4	0.8	0.094
205	0.4	0.8	0.087
206	0.4	0.8	0.077
207	0.3	0.8	0.070
208	0.3	0.8	0.065
209	0.3	0.7	0.068
210	0.3	0.7	0.084
211	0.3	0.7	0.094
212	0.3	0.7	0.116
213	0.3	0.7	0.119
214	0.3	0.7	0.111
215	0.3	0.7	0.067
216	0.3	0.7	0.042
217	0.2	0.7	0.029
218	0.2	0.7	0.016
219	0.2	0.7	0.006
220	0.2	0.7	0.004
221	0.2	0.7	0.013
222	0.2	0.7	0.033
223	0.3	0.7	0.090
224	0.4	0.7	0.097
225	0.4	0.7	0.097
226	0.4	0.7	0.102
227	0.4	0.7	0.097
228	0.4	0.7	0.094
229	0.4	0.7	0.087
230	0.4	0.7	0.077
231	0.4	0.7	0.070
232	0.4	0.7	0.065
233	0.5	0.7	0.068
234	0.5	0.7	0.084
235	0.5	0.7	0.094
236	0.5	0.7	0.116
237	0.6	0.7	0.119
238	0.6	0.7	0.111
239	0.7	0.7	0.067
240	0.7	0.7	0.042
241	0.6	0.7	0.029
242	0.6	0.7	0.016
243	0.6	0.7	0.006
244	0.6	0.7	0.004
245	0.6	0.7	0.013
246	0.6	0.7	0.033
247	0.6	0.7	0.090
248	0.7	0.7	0.097
249	0.7	0.7	0.097
250	0.7	0.7	0.102
251	0.7	0.7	0.097
252	0.6	0.7	0.094
253	0.6	0.7	0.087
254	0.6	0.7	0.077
255	0.6	0.7	0.070
256	0.6	0.7	0.065
257	0.6	0.7	0.068
258	0.6	0.7	0.084
259	0.6	0.7	0.094
260	0.7	0.7	0.116
261	0.7	0.7	0.119
262	0.7	0.7	0.111
263	0.7	0.7	0.067
264	0.7	0.7	0.042
265	0.6	0.7	0.029
266	0.6	0.7	0.016
267	0.6	0.7	0.006
268	0.6	0.7	0.004
269	0.6	0.7	0.013
270	0.6	0.7	0.033
271	0.6	0.7	0.090
272	0.7	0.7	0.097
273	0.7	0.7	0.097
274	0.7	0.7	0.102
275	0.7	0.7	0.097
276	0.6	0.7	0.094
277	0.6	0.7	0.087
278	0.6	0.7	0.077
279	0.6	0.7	0.070
280	0.6	0.7	0.065
281	0.6	0.7	0.068
282	0.6	0.7	0.084
283	0.6	0.7	0.094
284	0.6	0.7	0.116
285	0.6	0.7	0.119
286	0.6	0.7	0.111
287	0.6	0.7	0.067
288	0.6	0.7	0.042
289	0.4	0.7	0.029
290	0.4	0.7	0.016
291	0.4	0.7	0.006
292	0.4	0.7	0.004
293	0.5	0.7	0.013
294	0.5	0.7	0.033
295	0.4	0.7	0.090
296	0.6	0.7	0.097
297	0.6	0.7	0.097
298	0.6	0.7	0.102
299	0.5	0.7	0.097
300	0.5	0.7	0.094
301	0.5	0.7	0.087
302	0.5	0.7	0.077
303	0.5	0.7	0.070
304	0.5	0.7	0.065
305	0.5	0.7	0.068
306	0.5	0.7	0.084
307	0.5	0.7	0.094
308	0.5	0.7	0.116
309	0.5	0.7	0.119
310	0.5	0.7	0.111
311	0.5	0.7	0.067
312	0.5	0.7	0.042
313	0.4	0.7	0.029
314	0.4	0.7	0.016
315	0.4	0.7	0.006
316	0.4	0.7	0.004
317	0.4	0.7	0.013
318	0.4	0.7	0.033
319	0.4	0.7	0.090
320	0.5	0.7	0.097
321	0.5	0.7	0.097
322	0.5	0.7	0.102
323	0.5	0.7	0.097
324	0.5	0.7	0.094
325	0.5	0.7	0.087
326	0.5	0.7	0.077
327	0.5	0.7	0.070
328	0.4	0.7	0.065
329	0.5	0.7	0.068
330	0.5	0.7	0.084
331	0.5	0.7	0.094
332	0.5	0.7	0.116
333	0.5	0.7	0.119
334	0.5	0.7	0.111
335	0.5	0.7	0.067
336	0.5	0.7	0.042
337	0.4	0.7	0.029
338	0.4	0.7	0.016
339	0.4	0.7	0.006
340	0.4	0.7	0.004
