# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	3.9	7.4	0.300
2	4.0	7.4	0.162
3	4.2	7.1	0.063
4	4.1	7.1	0.046
5	4.2	7.0	0.138
6	4.2	7.0	0.346
7	4.1	7.0	0.935
8	5.1	7.0	1.001
9	5.1	6.9	1.005
10	4.8	6.9	1.053
11	4.8	6.9	1.005
12	4.6	6.9	0.974
13	4.4	6.9	0.902
14	4.4	6.8	0.793
15	4.4	6.8	0.723
16	4.6	6.8	0.674
17	4.9	6.8	0.701
18	5.2	6.8	0.869
19	5.6	6.8	0.970
20	5.7	6.8	1.200
21	5.7	6.8	1.233
22	5.9	6.8	1.149
23	6.1	6.8	0.692
24	6.3	6.8	0.434
25	5.5	6.7	0.300
26	5.3	6.7	0.162
27	5.4	6.7	0.063
28	5.4	6.7	0.046
29	5.3	6.7	0.138
30	5.2	6.7	0.346
31	5.3	6.7	0.935
32	6.4	6.6	1.001
33	6.2	6.6	1.005
34	6.1	6.6	1.053
35	5.9	6.6	1.005
36	5.7	6.6	0.974
37	5.5	6.6	0.902
38	5.5	6.6	0.793
39	5.3	6.6	0.723
40	5.4	6.6	0.674
41	5.6	6.6	0.701
42	5.9	6.6	0.869
43	5.9	6.6	0.970
44	6.0	6.5	1.200
45	6.0	6.5	1.233
46	6.1	6.5	1.149
47	6.1	6.5	0.692
48	6.1	6.5	0.434
49	5.1	6.4	0.300
50	5.1	6.4	0.162
51	5.1	6.4	0.063
52	5.2	6.4	0.046
53	5.3	6.4	0.138
54	5.2	6.4	0.346
55	5.4	6.4	0.935
56	6.3	6.4	1.001
57	6.2	6.4	1.005
58	6.3	6.4	1.053
59	6.1	6.4	1.005
60	6.0	6.3	0.974
61	5.8	6.3	0.902
62	5.7	6.3	0.793
63	5.5	6.3	0.723
64	5.5	6.3	0.674
65	5.6	6.3	0.701
66	5.8	6.3	0.869
67	6.0	6.3	0.970
68	6.2	6.3	1.200
69	6.3	6.2	1.233
70	6.5	6.2	1.149
71	6.6	6.2	0.692
72	6.7	6.2	0.434
73	5.8	6.2	0.300
74	5.8	6.2	0.162
75	5.7	6.2	0.063
76	5.8	6.2	0.046
77	5.8	6.2	0.138
78	5.7	6.2	0.346
79	5.6	6.2	0.935
80	6.4	6.2	1.001
81	6.2	6.2	1.005
82	5.9	6.2	1.053
83	5.3	6.1	1.005
