# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	2.4	4.5	0.206
2	2.4	4.5	0.111
3	2.5	4.3	0.044
4	2.5	4.3	0.032
5	2.5	4.3	0.095
6	2.6	4.3	0.238
7	2.5	4.2	0.642
8	3.1	4.2	0.688
9	3.1	4.2	0.691
10	2.9	4.2	0.724
11	2.9	4.2	0.691
12	2.8	4.2	0.670
13	2.7	4.2	0.620
14	2.7	4.1	0.545
15	2.7	4.1	0.497
16	2.8	4.1	0.463
17	2.9	4.1	0.481
18	3.2	4.1	0.597
19	3.4	4.1	0.667
20	3.4	4.1	0.825
21	3.5	4.1	0.847
22	3.6	4.1	0.790
23	3.7	4.1	0.475
24	3.8	4.1	0.298
25	3.3	4.1	0.206
26	3.2	4.1	0.111
27	3.3	4.1	0.044
28	3.3	4.1	0.032
29	3.2	4.1	0.095
30	3.1	4.1	0.238
31	3.2	4.0	0.642
32	3.9	4.0	0.688
33	3.8	4.0	0.691
34	3.7	4.0	0.724
35	3.6	4.0	0.691
36	3.4	4.0	0.670
37	3.4	4.0	0.620
38	3.3	4.0	0.545
39	3.2	4.0	0.497
40	3.3	4.0	0.463
41	3.4	4.0	0.481
42	3.6	4.0	0.597
43	3.6	4.0	0.667
44	3.6	4.0	0.825
45	3.7	3.9	0.847
46	3.7	3.9	0.790
47	3.7	3.9	0.475
48	3.7	3.9	0.298
49	3.1	3.9	0.206
50	3.1	3.9	0.111
51	3.1	3.9	0.044
52	3.2	3.9	0.032
53	3.2	3.9	0.095
54	3.2	3.9	0.238
55	3.3	3.9	0.642
56	3.8	3.9	0.688
57	3.8	3.9	0.691
58	3.8	3.9	0.724
59	3.7	3.9	0.691
60	3.7	3.9	0.670
61	3.5	3.8	0.620
62	3.4	3.8	0.545
63	3.4	3.8	0.497
64	3.3	3.8	0.463
65	3.4	3.8	0.481
66	3.5	3.8	0.597
67	3.6	3.8	0.667
68	3.7	3.8	0.825
69	3.8	3.8	0.847
70	3.9	3.8	0.790
71	4.0	3.8	0.475
72	4.1	3.8	0.298
73	3.5	3.8	0.206
74	3.5	3.8	0.111
75	3.5	3.8	0.044
76	3.5	3.8	0.032
77	3.5	3.7	0.095
78	3.5	3.7	0.238
79	3.4	3.7	0.642
80	3.9	3.7	0.688
81	3.7	3.7	0.691
