# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	2.8	5.3	0.216
2	2.9	5.3	0.117
3	3.0	5.1	0.046
4	3.0	5.1	0.033
5	3.0	5.0	0.099
6	3.0	5.0	0.249
7	3.0	5.0	0.673
8	3.7	5.0	0.720
9	3.7	5.0	0.723
10	3.5	4.9	0.758
11	3.5	4.9	0.723
12	3.3	4.9	0.701
13	3.2	4.9	0.649
14	3.2	4.9	0.570
15	3.2	4.9	0.520
16	3.3	4.9	0.485
17	3.5	4.9	0.504
18	3.8	4.9	0.626
19	4.0	4.9	0.698
20	4.1	4.9	0.863
21	4.1	4.8	0.887
22	4.3	4.8	0.827
23	4.4	4.8	0.498
24	4.5	4.8	0.312
25	3.9	4.8	0.216
26	3.8	4.8	0.117
27	3.9	4.8	0.046
28	3.9	4.8	0.033
29	3.8	4.8	0.099
30	3.7	4.8	0.249
31	3.8	4.8	0.673
32	4.6	4.8	0.720
33	4.5	4.8	0.723
34	4.4	4.8	0.758
35	4.2	4.8	0.723
36	4.1	4.7	0.701
37	4.0	4.7	0.649
38	3.9	4.7	0.570
39	3.8	4.7	0.520
40	3.9	4.7	0.485
41	4.1	4.7	0.504
42	4.2	4.7	0.626
43	4.3	4.7	0.698
44	4.3	4.7	0.863
45	4.3	4.7	0.887
46	4.4	4.7	0.827
47	4.4	4.6	0.498
48	4.4	4.6	0.312
49	3.7	4.6	0.216
50	3.6	4.6	0.117
51	3.7	4.6	0.046
52	3.8	4.6	0.033
53	3.8	4.6	0.099
54	3.7	4.6	0.249
55	3.9	4.6	0.673
56	4.5	4.6	0.720
57	4.5	4.6	0.723
58	4.5	4.6	0.758
59	4.4	4.6	0.723
60	4.3	4.6	0.701
61	4.2	4.5	0.649
62	4.1	4.5	0.570
63	4.0	4.5	0.520
64	4.0	4.5	0.485
65	4.0	4.5	0.504
66	4.2	4.5	0.626
67	4.3	4.5	0.698
68	4.4	4.5	0.863
69	4.6	4.5	0.887
70	4.7	4.5	0.827
71	4.7	4.5	0.498
72	4.8	4.5	0.312
73	4.2	4.5	0.216
74	4.2	4.5	0.117
75	4.1	4.4	0.046
76	4.2	4.4	0.033
77	4.1	4.4	0.099
78	4.1	4.4	0.249
79	4.0	4.4	0.673
