# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	14.2	22.1	0.350
2	14.5	22.1	0.189
3	15.1	21.6	0.074
4	14.9	21.6	0.054
5	15.1	21.5	0.161
6	15.1	21.4	0.403
7	14.9	20.6	1.090
8	14.8	20.6	1.167
9	14.9	20.0	1.172
10	14.0	19.9	1.228
11	14.1	19.8	1.172
12	13.3	19.8	1.136
13	12.9	19.7	1.052
14	13.0	19.7	0.924
15	12.9	19.7	0.843
16	13.3	19.7	0.786
17	14.1	19.7	0.817
18	15.3	19.7	1.014
19	16.3	19.7	1.131
20	16.5	19.6	1.399
21	16.7	19.6	1.437
22	17.2	19.6	1.340
23	17.6	19.6	0.807
24	18.3	19.5	0.506
25	18.8	19.5	0.350
26	18.4	19.5	0.189
27	18.5	19.5	0.074
28	18.5	19.4	0.054
29	18.3	19.3	0.161
30	18.0	19.3	0.403
31	18.3	19.3	1.090
32	18.6	19.2	1.167
33	18.1	19.2	1.172
34	17.7	19.2	1.228
35	17.2	19.2	1.172
36	16.5	19.1	1.136
37	16.1	19.0	1.052
38	15.9	19.0	0.924
39	15.4	19.0	0.843
40	15.7	18.9	0.786
41	16.4	18.9	0.817
42	17.2	18.9	1.014
43	17.3	18.8	1.131
44	17.4	18.8	1.399
45	17.6	18.8	1.437
46	17.6	18.8	1.340
47	17.7	18.7	0.807
48	17.7	18.7	0.506
49	17.7	18.7	0.350
50	17.6	18.7	0.189
51	17.7	18.7	0.074
52	18.1	18.7	0.054
53	18.3	18.6	0.161
54	18.0	18.6	0.403
55	18.6	18.6	1.090
56	18.3	18.6	1.167
57	18.1	18.6	1.172
58	18.2	18.6	1.228
59	17.8	18.6	1.172
60	17.6	18.5	1.136
61	16.9	18.5	1.052
62	16.5	18.5	0.924
63	16.2	18.5	0.843
64	16.1	18.5	0.786
65	16.3	18.5	0.817
66	16.9	18.4	1.014
67	17.5	18.4	1.131
68	17.9	18.4	1.399
69	18.4	18.4	1.437
70	18.9	18.3	1.340
71	19.2	18.3	0.807
72	19.5	18.3	0.506
73	19.7	18.3	0.350
74	19.7	18.3	0.189
75	19.5	18.3	0.074
76	19.7	18.2	0.054
77	19.6	18.2	0.161
78	19.5	18.2	0.403
79	19.1	18.2	1.090
80	18.5	18.2	1.167
81	18.0	18.1	1.172
82	17.0	18.1	1.228
83	15.5	18.1	1.172
84	14.3	18.1	1.136
85	13.2	18.1	1.052
86	12.8	18.0	0.924
87	12.9	18.0	0.843
88	12.8	18.0	0.786
89	13.1	18.0	0.817
90	13.2	18.0	1.014
91	13.1	18.0	1.131
92	12.8	18.0	1.399
93	13.2	18.0	1.437
94	13.5	17.9	1.340
95	13.6	17.9	0.807
96	13.6	17.9	0.506
97	13.6	17.9	0.350
98	13.7	17.9	0.189
99	14.3	17.9	0.074
100	14.6	17.9	0.054
101	15.0	17.8	0.161
102	15.3	17.8	0.403
103	15.8	17.8	1.090
104	16.0	17.8	1.167
105	16.3	17.7	1.172
106	16.3	17.7	1.228
107	16.6	17.7	1.172
108	16.7	17.7	1.136
109	16.7	17.7	1.052
110	17.1	17.7	0.924
111	18.0	17.7	0.843
112	17.9	17.7	0.786
113	18.7	17.7	0.817
114	19.6	17.7	1.014
115	19.7	17.7	1.131
116	19.3	17.7	1.399
117	19.8	17.6	1.437
118	20.6	17.6	1.340
119	21.4	17.6	0.807
120	21.6	17.6	0.506
121	22.1	17.6	0.350
122	22.1	17.6	0.189
123	21.6	17.6	0.074
124	21.5	17.6	0.054
125	20.6	17.6	0.161
126	20.0	17.5	0.403
127	19.7	17.5	1.090
128	19.6	17.5	1.167
129	19.3	17.5	1.172
130	18.6	17.5	1.228
131	17.5	17.5	1.172
132	16.7	17.5	1.136
133	15.4	17.5	1.052
134	14.4	17.5	0.924
135	14.0	17.5	0.843
136	13.3	17.5	0.786
137	13.3	17.5	0.817
138	13.7	17.5	1.014
139	13.1	17.5	1.131
140	13.1	17.4	1.399
141	13.2	17.4	1.437
142	13.1	17.4	1.340
143	13.1	17.4	0.807
144	13.1	17.4	0.506
145	12.9	17.3	0.350
146	13.2	17.3	0.189
147	13.2	17.3	0.074
148	13.4	17.3	0.054
149	14.0	17.3	0.161
150	13.7	17.3	0.403
151	13.7	17.3	1.090
152	14.0	17.3	1.167
153	13.8	17.3	1.172
154	12.9	17.3	1.228
155	12.5	17.3	1.172
156	11.9	17.3	1.136
157	11.4	17.3	1.052
158	10.4	17.3	0.924
159	10.0	17.3	0.843
160	10.0	17.3	0.786
161	10.9	17.2	0.817
162	11.5	17.2	1.014
163	12.4	17.2	1.131
164	12.6	17.2	1.399
165	13.3	17.2	1.437
166	13.5	17.2	1.340
167	14.3	17.2	0.807
168	14.5	17.2	0.506
169	14.8	17.2	0.350
170	14.7	17.2	0.189
171	14.8	17.2	0.074
172	14.3	17.2	0.054
173	14.1	17.2	0.161
174	13.6	17.2	0.403
175	13.6	17.2	1.090
176	13.4	17.2	1.167
177	13.3	17.1	1.172
178	13.0	17.1	1.228
179	12.3	17.1	1.172
180	11.7	17.1	1.136
181	11.9	17.1	1.052
182	11.6	17.1	0.924
183	11.9	17.1	0.843
184	11.8	17.1	0.786
185	11.7	17.1	0.817
186	11.8	17.1	1.014
187	12.1	17.1	1.131
188	11.4	17.1	1.399
189	11.0	17.0	1.437
190	11.0	17.0	1.340
191	10.5	17.0	0.807
192	10.1	17.0	0.506
193	9.5	17.0	0.350
194	9.5	17.0	0.189
195	9.9	17.0	0.074
196	10.0	17.0	0.054
197	9.6	17.0	0.161
198	9.1	17.0	0.403
199	9.5	17.0	1.090
200	9.4	17.0	1.167
201	9.6	17.0	1.172
202	8.9	17.0	1.228
203	8.8	16.9	1.172
204	8.9	16.9	1.136
205	8.7	16.9	1.052
206	8.0	16.9	0.924
207	7.3	16.9	0.843
208	7.1	16.9	0.786
209	7.2	16.9	0.817
210	7.0	16.9	1.014
211	7.1	16.9	1.131
212	7.1	16.9	1.399
213	7.0	16.9	1.437
214	7.0	16.9	1.340
215	6.9	16.9	0.807
216	6.5	16.9	0.506
217	6.6	16.9	0.350
218	6.9	16.9	0.189
219	7.2	16.9	0.074
220	7.5	16.8	0.054
221	7.9	16.8	0.161
222	8.3	16.8	0.403
223	8.8	16.8	1.090
224	9.0	16.8	1.167
225	8.9	16.8	1.172
226	9.2	16.8	1.228
227	9.2	16.8	1.172
228	9.0	16.7	1.136
229	8.8	16.7	1.052
230	8.9	16.7	0.924
231	8.8	16.7	0.843
232	9.6	16.7	0.786
233	10.2	16.7	0.817
234	11.0	16.7	1.014
235	11.1	16.7	1.131
236	11.7	16.7	1.399
237	12.5	16.7	1.437
238	13.5	16.7	1.340
239	14.2	16.7	0.807
240	14.7	16.7	0.506
241	15.3	16.7	0.350
242	15.3	16.7	0.189
243	15.3	16.7	0.074
244	15.4	16.7	0.054
245	15.3	16.6	0.161
