# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	6.6	12.6	0.171
2	6.8	12.5	0.092
3	7.1	12.1	0.036
4	7.0	12.0	0.026
5	7.1	12.0	0.078
6	7.2	12.0	0.197
7	7.0	11.9	0.532
8	8.6	11.9	0.569
9	8.7	11.8	0.572
10	8.2	11.8	0.599
11	8.2	11.7	0.572
12	7.7	11.7	0.554
13	7.5	11.7	0.513
14	7.5	11.6	0.451
15	7.5	11.6	0.411
16	7.7	11.6	0.384
17	8.2	11.6	0.398
18	8.9	11.6	0.494
19	9.5	11.6	0.552
20	9.6	11.5	0.682
21	9.7	11.5	0.701
22	10.1	11.5	0.654
23	10.3	11.5	0.393
24	10.7	11.5	0.247
25	9.3	11.5	0.171
26	9.0	11.4	0.092
27	9.1	11.4	0.036
28	9.1	11.4	0.026
29	9.0	11.4	0.078
30	8.8	11.4	0.197
31	9.0	11.4	0.532
32	10.8	11.3	0.569
33	10.6	11.3	0.572
34	10.4	11.3	0.599
35	10.0	11.3	0.572
36	9.6	11.3	0.554
37	9.4	11.3	0.513
38	9.3	11.2	0.451
39	9.0	11.2	0.411
40	9.2	11.2	0.384
41	9.6	11.2	0.398
42	10.0	11.2	0.494
43	10.1	11.2	0.552
44	10.1	11.1	0.682
45	10.3	11.1	0.701
46	10.3	11.0	0.654
47	10.3	11.0	0.393
48	10.3	11.0	0.247
49	8.6	11.0	0.171
50	8.6	10.9	0.092
51	8.7	10.9	0.036
52	8.9	10.9	0.026
53	9.0	10.9	0.078
54	8.8	10.9	0.197
55	9.2	10.9	0.532
56	10.7	10.9	0.569
57	10.6	10.9	0.572
58	10.6	10.9	0.599
59	10.4	10.8	0.572
60	10.3	10.8	0.554
61	9.8	10.8	0.513
62	9.6	10.8	0.451
63	9.4	10.8	0.411
64	9.4	10.8	0.384
65	9.5	10.7	0.398
66	9.9	10.7	0.494
67	10.2	10.7	0.552
68	10.4	10.7	0.682
69	10.8	10.7	0.701
70	11.0	10.6	0.654
71	11.2	10.6	0.393
72	11.4	10.6	0.247
73	9.8	10.6	0.171
74	9.8	10.6	0.092
75	9.7	10.6	0.036
76	9.8	10.6	0.026
77	9.8	10.6	0.078
78	9.7	10.5	0.197
79	9.5	10.5	0.532
80	10.8	10.5	0.569
81	10.5	10.5	0.572
82	9.9	10.5	0.599
83	9.0	10.5	0.572
84	8.3	10.5	0.554
85	7.7	10.5	0.513
86	7.4	10.5	0.451
87	7.5	10.5	0.411
88	7.5	10.4	0.384
89	7.6	10.4	0.398
90	7.7	10.4	0.494
91	7.7	10.4	0.552
92	7.5	10.4	0.682
93	7.7	10.4	0.701
