# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	10.5	16.2	0.269
2	10.7	16.2	0.145
3	11.1	15.9	0.057
4	11.0	15.9	0.041
5	11.1	15.8	0.124
6	11.1	15.8	0.310
7	11.0	15.2	0.838
8	10.9	15.1	0.897
9	11.0	14.7	0.901
10	10.3	14.6	0.944
11	10.4	14.6	0.901
12	9.8	14.6	0.873
13	9.5	14.5	0.808
14	9.5	14.5	0.710
15	9.5	14.5	0.648
16	9.8	14.5	0.604
17	10.4	14.5	0.628
18	11.2	14.5	0.779
19	12.0	14.5	0.869
20	12.2	14.4	1.075
21	12.3	14.4	1.105
22	12.7	14.4	1.030
23	13.0	14.4	0.620
24	13.4	14.4	0.389
25	13.9	14.4	0.269
26	13.5	14.3	0.145
27	13.6	14.3	0.057
28	13.6	14.3	0.041
29	13.4	14.2	0.124
30	13.2	14.2	0.310
31	13.5	14.2	0.838
32	13.7	14.2	0.897
33	13.3	14.1	0.901
34	13.1	14.1	0.944
35	12.6	14.1	0.901
36	12.1	14.1	0.873
37	11.8	14.0	0.808
38	11.7	13.9	0.710
39	11.3	13.9	0.648
40	11.6	13.9	0.604
41	12.1	13.9	0.628
42	12.6	13.9	0.779
43	12.7	13.9	0.869
44	12.8	13.9	1.075
45	12.9	13.8	1.105
46	13.0	13.8	1.030
47	13.0	13.8	0.620
48	13.0	13.8	0.389
49	13.0	13.8	0.269
50	13.0	13.8	0.145
51	13.0	13.8	0.057
52	13.3	13.8	0.041
53	13.4	13.8	0.124
54	13.3	13.7	0.310
55	13.7	13.7	0.838
56	13.5	13.7	0.897
57	13.3	13.7	0.901
58	13.4	13.7	0.944
59	13.1	13.6	0.901
60	12.9	13.6	0.873
61	12.4	13.6	0.808
62	12.1	13.6	0.710
63	11.9	13.6	0.648
64	11.8	13.6	0.604
65	12.0	13.6	0.628
66	12.4	13.6	0.779
67	12.9	13.5	0.869
68	13.2	13.5	1.075
69	13.6	13.5	1.105
70	13.9	13.5	1.030
71	14.1	13.5	0.620
72	14.3	13.5	0.389
73	14.5	13.4	0.269
74	14.5	13.4	0.145
75	14.4	13.4	0.057
76	14.5	13.4	0.041
77	14.4	13.4	0.124
78	14.4	13.4	0.310
79	14.1	13.4	0.838
80	13.6	13.3	0.897
81	13.2	13.3	0.901
82	12.5	13.3	0.944
83	11.4	13.3	0.901
84	10.5	13.3	0.873
85	9.7	13.3	0.808
86	9.4	13.3	0.710
87	9.5	13.3	0.648
88	9.4	13.3	0.604
89	9.6	13.3	0.628
90	9.7	13.3	0.779
91	9.7	13.2	0.869
92	9.4	13.2	1.075
93	9.7	13.2	1.105
94	9.9	13.2	1.030
95	10.0	13.2	0.620
96	10.0	13.2	0.389
97	10.0	13.2	0.269
98	10.1	13.1	0.145
