# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	4.4	6.8	0.282
2	4.5	6.8	0.152
3	4.6	6.6	0.060
4	4.6	6.6	0.043
5	4.6	6.6	0.130
6	4.7	6.6	0.325
7	4.6	6.4	0.879
8	4.5	6.4	0.940
9	4.6	6.4	0.944
10	4.3	6.3	0.990
11	4.3	6.3	0.944
12	4.1	6.3	0.916
13	4.0	6.3	0.848
14	4.0	6.3	0.745
15	4.0	6.3	0.679
16	4.1	6.3	0.634
17	4.3	6.3	0.658
18	4.7	6.3	0.817
19	5.0	6.3	0.911
20	5.1	6.3	1.128
21	5.1	6.2	1.158
22	5.3	6.2	1.080
23	5.4	6.2	0.650
24	5.6	6.2	0.407
25	5.8	6.2	0.282
26	5.6	6.2	0.152
27	5.7	6.2	0.060
28	5.7	6.2	0.043
29	5.6	6.1	0.130
30	5.5	6.1	0.325
31	5.6	6.1	0.879
32	5.7	6.1	0.940
33	5.6	6.1	0.944
34	5.5	6.1	0.990
35	5.3	6.1	0.944
36	5.1	6.1	0.916
37	5.0	6.1	0.848
38	4.9	6.1	0.745
39	4.7	6.1	0.679
40	4.8	6.1	0.634
41	5.1	6.1	0.658
42	5.3	6.1	0.817
43	5.3	6.1	0.911
44	5.3	6.1	1.128
45	5.4	6.1	1.158
46	5.4	6.1	1.080
47	5.4	6.1	0.650
48	5.4	6.0	0.407
49	5.4	6.0	0.282
50	5.4	6.0	0.152
51	5.5	6.0	0.060
52	5.6	6.0	0.043
53	5.6	6.0	0.130
54	5.5	6.0	0.325
55	5.7	6.0	0.879
56	5.6	6.0	0.940
57	5.6	6.0	0.944
58	5.6	6.0	0.990
59	5.5	6.0	0.944
60	5.4	6.0	0.916
61	5.2	6.0	0.848
62	5.1	6.0	0.745
63	5.0	6.0	0.679
64	4.9	6.0	0.634
65	5.0	6.0	0.658
66	5.2	6.0	0.817
67	5.4	5.9	0.911
68	5.5	5.9	1.128
69	5.7	5.9	1.158
70	5.8	5.9	1.080
71	5.9	5.9	0.650
72	6.0	5.9	0.407
73	6.1	5.9	0.282
74	6.1	5.9	0.152
75	6.0	5.9	0.060
76	6.1	5.9	0.043
77	6.0	5.9	0.130
78	6.0	5.9	0.325
79	5.9	5.9	0.879
80	5.7	5.9	0.940
81	5.5	5.9	0.944
82	5.2	5.8	0.990
83	4.8	5.8	0.944
84	4.4	5.8	0.916
85	4.1	5.8	0.848
86	3.9	5.8	0.745
87	4.0	5.8	0.679
88	3.9	5.8	0.634
89	4.0	5.8	0.658
90	4.1	5.8	0.817
