# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	5.7	8.8	0.105
2	5.8	8.8	0.057
3	6.0	8.6	0.022
4	5.9	8.6	0.016
5	6.0	8.6	0.048
6	6.0	8.6	0.121
7	5.9	8.2	0.327
8	5.9	8.2	0.350
9	5.9	8.0	0.351
10	5.6	7.9	0.368
11	5.6	7.9	0.351
12	5.3	7.9	0.340
13	5.1	7.9	0.315
14	5.2	7.9	0.277
15	5.2	7.9	0.252
16	5.3	7.9	0.236
17	5.6	7.9	0.245
18	6.1	7.8	0.304
19	6.5	7.8	0.339
20	6.6	7.8	0.419
21	6.7	7.8	0.431
22	6.9	7.8	0.402
23	7.0	7.8	0.242
24	7.3	7.8	0.151
25	7.5	7.8	0.105
26	7.3	7.8	0.057
27	7.4	7.8	0.022
28	7.4	7.7	0.016
29	7.3	7.7	0.048
30	7.2	7.7	0.121
31	7.3	7.7	0.327
32	7.4	7.7	0.350
33	7.2	7.7	0.351
34	7.1	7.6	0.368
35	6.9	7.6	0.351
36	6.6	7.6	0.340
37	6.4	7.5	0.315
38	6.4	7.5	0.277
39	6.1	7.5	0.252
40	6.3	7.5	0.236
41	6.6	7.5	0.245
42	6.8	7.5	0.304
43	6.9	7.5	0.339
44	6.9	7.5	0.419
45	7.0	7.5	0.431
46	7.0	7.5	0.402
47	7.0	7.5	0.242
48	7.1	7.4	0.151
49	7.0	7.4	0.105
50	7.0	7.4	0.057
51	7.1	7.4	0.022
52	7.2	7.4	0.016
53	7.3	7.4	0.048
54	7.2	7.4	0.121
55	7.4	7.4	0.327
56	7.3	7.4	0.350
57	7.2	7.4	0.351
58	7.3	7.4	0.368
59	7.1	7.4	0.351
60	7.0	7.4	0.340
61	6.7	7.4	0.315
62	6.6	7.4	0.277
63	6.4	7.3	0.252
64	6.4	7.3	0.236
65	6.5	7.3	0.245
66	6.7	7.3	0.304
67	7.0	7.3	0.339
68	7.1	7.3	0.419
69	7.4	7.3	0.431
70	7.5	7.3	0.402
71	7.7	7.3	0.242
72	7.8	7.3	0.151
73	7.9	7.3	0.105
74	7.9	7.3	0.057
75	7.8	7.3	0.022
76	7.8	7.3	0.016
77	7.8	7.2	0.048
78	7.8	7.2	0.121
79	7.6	7.2	0.327
80	7.4	7.2	0.350
81	7.2	7.2	0.351
82	6.8	7.2	0.368
83	6.2	7.2	0.351
84	5.7	7.2	0.340
85	5.3	7.2	0.315
86	5.1	7.2	0.277
87	5.2	7.2	0.252
88	5.1	7.2	0.236
89	5.2	7.2	0.245
90	5.3	7.2	0.304
91	5.2	7.2	0.339
92	5.1	7.2	0.419
93	5.3	7.1	0.431
94	5.4	7.1	0.402
95	5.4	7.1	0.242
96	5.4	7.1	0.151
97	5.4	7.1	0.105
98	5.5	7.1	0.057
99	5.7	7.1	0.022
100	5.8	7.1	0.016
101	6.0	7.1	0.048
102	6.1	7.1	0.121
103	6.3	7.1	0.327
104	6.4	7.1	0.350
105	6.5	7.1	0.351
106	6.5	7.1	0.368
107	6.6	7.1	0.351
108	6.7	7.0	0.340
109	6.7	7.0	0.315
110	6.8	7.0	0.277
111	7.2	7.0	0.252
112	7.2	7.0	0.236
113	7.5	7.0	0.245
114	7.8	7.0	0.304
115	7.8	7.0	0.339
116	7.7	7.0	0.419
117	7.9	7.0	0.431
118	8.2	7.0	0.402
119	8.6	7.0	0.242
120	8.6	7.0	0.151
121	8.8	7.0	0.105
122	8.8	7.0	0.057
123	8.6	7.0	0.022
124	8.6	7.0	0.016
125	8.2	7.0	0.048
126	8.0	7.0	0.121
127	7.9	7.0	0.327
128	7.8	7.0	0.350
129	7.7	7.0	0.351
130	7.4	7.0	0.368
131	7.0	7.0	0.351
132	6.6	7.0	0.340
133	6.1	7.0	0.315
134	5.8	6.9	0.277
135	5.6	6.9	0.252
136	5.3	6.9	0.236
137	5.3	6.9	0.245
138	5.5	6.9	0.304
139	5.2	6.9	0.339
140	5.2	6.9	0.419
141	5.3	6.9	0.431
142	5.2	6.9	0.402
143	5.2	6.9	0.242
144	5.2	6.9	0.151
145	5.1	6.9	0.105
146	5.3	6.9	0.057
147	5.3	6.9	0.022
148	5.4	6.9	0.016
149	5.6	6.9	0.048
150	5.5	6.9	0.121
151	5.5	6.9	0.327
152	5.6	6.9	0.350
153	5.5	6.9	0.351
154	5.1	6.9	0.368
155	5.0	6.9	0.351
156	4.7	6.9	0.340
157	4.5	6.9	0.315
158	4.2	6.9	0.277
159	4.0	6.9	0.252
160	4.0	6.9	0.236
161	4.3	6.8	0.245
162	4.6	6.8	0.304
163	5.0	6.8	0.339
164	5.0	6.8	0.419
165	5.3	6.8	0.431
166	5.4	6.8	0.402
167	5.7	6.8	0.242
168	5.8	6.8	0.151
169	5.9	6.8	0.105
170	5.9	6.8	0.057
171	5.9	6.8	0.022
172	5.7	6.8	0.016
173	5.6	6.8	0.048
174	5.4	6.8	0.121
175	5.4	6.8	0.327
176	5.3	6.8	0.350
177	5.3	6.8	0.351
178	5.2	6.8	0.368
179	4.9	6.8	0.351
180	4.7	6.8	0.340
181	4.8	6.8	0.315
182	4.6	6.8	0.277
183	4.7	6.8	0.252
184	4.7	6.8	0.236
185	4.7	6.8	0.245
186	4.7	6.8	0.304
187	4.8	6.8	0.339
188	4.6	6.8	0.419
189	4.4	6.8	0.431
190	4.4	6.8	0.402
191	4.2	6.8	0.242
192	4.0	6.8	0.151
193	3.8	6.8	0.105
194	3.8	6.8	0.057
195	3.9	6.8	0.022
196	4.0	6.8	0.016
197	3.8	6.7	0.048
198	3.6	6.7	0.121
199	3.8	6.7	0.327
200	3.8	6.7	0.350
201	3.8	6.7	0.351
202	3.5	6.7	0.368
203	3.5	6.7	0.351
204	3.5	6.7	0.340
205	3.5	6.7	0.315
206	3.2	6.7	0.277
207	2.9	6.7	0.252
208	2.8	6.7	0.236
209	2.9	6.7	0.245
210	2.8	6.7	0.304
211	2.8	6.7	0.339
212	2.8	6.7	0.419
213	2.8	6.7	0.431
214	2.8	6.7	0.402
215	2.7	6.7	0.242
216	2.6	6.7	0.151
217	2.6	6.7	0.105
218	2.7	6.7	0.057
219	2.9	6.7	0.022
220	3.0	6.7	0.016
221	3.1	6.7	0.048
222	3.3	6.7	0.121
223	3.5	6.7	0.327
224	3.6	6.7	0.350
225	3.6	6.7	0.351
226	3.7	6.7	0.368
227	3.7	6.7	0.351
228	3.6	6.7	0.340
229	3.5	6.7	0.315
230	3.6	6.7	0.277
231	3.5	6.7	0.252
232	3.8	6.7	0.236
233	4.1	6.7	0.245
234	4.4	6.7	0.304
235	4.4	6.7	0.339
236	4.7	6.7	0.419
237	5.0	6.6	0.431
238	5.4	6.6	0.402
239	5.7	6.6	0.242
240	5.9	6.6	0.151
