# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	16.2	25.2	0.396
2	16.6	25.2	0.214
3	17.3	24.6	0.084
4	17.0	24.6	0.061
5	17.2	24.6	0.182
6	17.3	24.5	0.456
7	17.0	23.5	1.233
8	16.9	23.5	1.319
9	17.0	22.8	1.325
10	16.0	22.7	1.389
11	16.1	22.6	1.325
12	15.2	22.6	1.285
13	14.7	22.5	1.189
14	14.8	22.5	1.045
15	14.8	22.5	0.953
16	15.2	22.5	0.889
17	16.1	22.5	0.924
18	17.4	22.4	1.146
19	18.6	22.4	1.279
20	18.9	22.4	1.582
21	19.1	22.4	1.625
22	19.7	22.3	1.516
23	20.1	22.3	0.912
24	20.8	22.3	0.572
25	21.5	22.3	0.396
26	21.0	22.2	0.214
27	21.1	22.2	0.084
28	21.1	22.1	0.061
29	20.9	22.0	0.182
30	20.5	22.0	0.456
31	20.9	22.0	1.233
32	21.2	21.9	1.319
33	20.6	21.9	1.325
34	20.2	21.9	1.389
35	19.6	21.8	1.325
36	18.8	21.8	1.285
37	18.4	21.7	1.189
38	18.2	21.6	1.045
39	17.5	21.6	0.953
40	17.9	21.5	0.889
41	18.7	21.5	0.924
42	19.6	21.5	1.146
43	19.7	21.5	1.279
44	19.8	21.4	1.582
45	20.1	21.4	1.625
46	20.1	21.4	1.516
47	20.2	21.4	0.912
48	20.2	21.4	0.572
49	20.2	21.3	0.396
50	20.1	21.3	0.214
51	20.2	21.3	0.084
52	20.7	21.3	0.061
53	20.8	21.3	0.182
54	20.6	21.3	0.456
55	21.2	21.2	1.233
56	20.9	21.2	1.319
57	20.7	21.2	1.325
58	20.8	21.2	1.389
59	20.3	21.2	1.325
60	20.1	21.1	1.285
61	19.2	21.1	1.189
62	18.8	21.1	1.045
63	18.4	21.1	0.953
64	18.4	21.1	0.889
65	18.6	21.0	0.924
66	19.3	21.0	1.146
67	20.0	21.0	1.279
68	20.4	21.0	1.582
69	21.0	20.9	1.625
70	21.5	20.9	1.516
71	21.9	20.9	0.912
72	22.2	20.9	0.572
73	22.5	20.9	0.396
74	22.5	20.8	0.214
75	22.3	20.8	0.084
76	22.4	20.8	0.061
77	22.4	20.8	0.182
78	22.3	20.8	0.456
79	21.8	20.7	1.233
80	21.1	20.7	1.319
81	20.5	20.7	1.325
82	19.5	20.7	1.389
83	17.7	20.7	1.325
84	16.3	20.6	1.285
85	15.1	20.6	1.189
86	14.6	20.6	1.045
87	14.7	20.6	0.953
88	14.6	20.6	0.889
89	14.9	20.5	0.924
90	15.0	20.5	1.146
91	15.0	20.5	1.279
92	14.6	20.5	1.582
93	15.1	20.5	1.625
94	15.4	20.5	1.516
95	15.5	20.5	0.912
96	15.5	20.4	0.572
97	15.5	20.4	0.396
98	15.7	20.4	0.214
99	16.3	20.4	0.084
100	16.7	20.4	0.061
101	17.2	20.3	0.182
102	17.4	20.3	0.456
103	18.0	20.3	1.233
104	18.3	20.3	1.319
105	18.6	20.3	1.325
106	18.6	20.2	1.389
107	18.9	20.2	1.325
108	19.0	20.2	1.285
109	19.1	20.2	1.189
110	19.5	20.2	1.045
111	20.6	20.2	0.953
112	20.5	20.2	0.889
113	21.4	20.2	0.924
114	22.3	20.2	1.146
115	22.4	20.1	1.279
116	22.0	20.1	1.582
117	22.6	20.1	1.625
118	23.5	20.1	1.516
119	24.5	20.1	0.912
120	24.6	20.1	0.572
121	25.2	20.1	0.396
122	25.2	20.1	0.214
123	24.6	20.1	0.084
124	24.6	20.0	0.061
125	23.5	20.0	0.182
126	22.8	20.0	0.456
127	22.5	20.0	1.233
128	22.3	20.0	1.319
129	22.0	20.0	1.325
130	21.2	20.0	1.389
131	20.0	20.0	1.325
132	19.0	20.0	1.285
133	17.5	20.0	1.189
134	16.4	19.9	1.045
135	15.9	19.9	0.953
136	15.2	19.9	0.889
137	15.2	19.9	0.924
138	15.6	19.9	1.146
139	15.0	19.9	1.279
140	14.9	19.9	1.582
141	15.0	19.8	1.625
142	15.0	19.8	1.516
143	15.0	19.8	0.912
144	14.9	19.8	0.572
145	14.7	19.8	0.396
146	15.0	19.8	0.214
147	15.1	19.8	0.084
148	15.3	19.8	0.061
149	15.9	19.8	0.182
150	15.6	19.8	0.456
151	15.7	19.7	1.233
152	16.0	19.7	1.319
153	15.7	19.7	1.325
154	14.7	19.7	1.389
155	14.3	19.7	1.325
156	13.6	19.7	1.285
157	13.0	19.7	1.189
158	11.9	19.7	1.045
159	11.4	19.7	0.953
160	11.4	19.7	0.889
161	12.4	19.7	0.924
162	13.1	19.7	1.146
163	14.2	19.7	1.279
164	14.4	19.6	1.582
