# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	8.1	15.5	0.234
2	8.4	15.4	0.126
3	8.8	14.9	0.049
4	8.6	14.8	0.036
5	8.8	14.8	0.107
6	8.8	14.8	0.269
7	8.6	14.7	0.728
8	10.6	14.6	0.779
9	10.7	14.5	0.783
10	10.1	14.5	0.820
11	10.1	14.5	0.783
12	9.5	14.5	0.759
13	9.2	14.4	0.703
14	9.3	14.4	0.617
15	9.3	14.4	0.563
16	9.5	14.3	0.525
17	10.1	14.3	0.546
18	10.9	14.2	0.677
19	11.7	14.2	0.756
20	11.9	14.2	0.935
21	12.0	14.2	0.960
22	12.4	14.2	0.895
23	12.7	14.2	0.539
24	13.1	14.2	0.338
25	11.5	14.1	0.234
26	11.1	14.1	0.126
27	11.2	14.1	0.049
28	11.2	14.1	0.036
29	11.1	14.1	0.107
30	10.8	14.0	0.269
31	11.1	14.0	0.728
32	13.3	14.0	0.779
33	13.0	14.0	0.783
34	12.7	13.9	0.820
35	12.3	13.9	0.783
36	11.8	13.9	0.759
37	11.6	13.9	0.703
38	11.4	13.8	0.617
39	11.0	13.8	0.563
40	11.3	13.8	0.525
41	11.8	13.8	0.546
42	12.3	13.8	0.677
43	12.4	13.8	0.756
44	12.5	13.7	0.935
45	12.6	13.7	0.960
46	12.6	13.6	0.895
47	12.7	13.6	0.539
48	12.7	13.6	0.338
49	10.6	13.5	0.234
50	10.6	13.5	0.126
51	10.7	13.5	0.049
52	10.9	13.5	0.036
53	11.1	13.5	0.107
54	10.9	13.5	0.269
55	11.3	13.4	0.728
56	13.1	13.4	0.779
57	13.0	13.4	0.783
58	13.1	13.4	0.820
59	12.7	13.4	0.783
60	12.6	13.3	0.759
61	12.1	13.3	0.703
62	11.8	13.3	0.617
63	11.6	13.3	0.563
64	11.5	13.2	0.525
65	11.7	13.2	0.546
66	12.1	13.2	0.677
67	12.6	13.2	0.756
68	12.9	13.1	0.935
69	13.2	13.1	0.960
70	13.5	13.1	0.895
71	13.8	13.1	0.539
72	14.0	13.1	0.338
73	12.1	13.1	0.234
74	12.1	13.1	0.126
75	12.0	13.0	0.049
76	12.1	13.0	0.036
77	12.0	13.0	0.107
78	12.0	13.0	0.269
79	11.7	13.0	0.728
80	13.3	13.0	0.779
81	12.9	13.0	0.783
82	12.2	13.0	0.820
83	11.1	12.9	0.783
84	10.3	12.9	0.759
85	9.5	12.9	0.703
86	9.2	12.9	0.617
87	9.3	12.9	0.563
88	9.2	12.9	0.525
89	9.4	12.9	0.546
90	9.5	12.9	0.677
91	9.4	12.9	0.756
92	9.2	12.8	0.935
93	9.5	12.8	0.960
94	9.7	12.8	0.895
95	9.7	12.8	0.539
96	9.8	12.8	0.338
97	7.7	12.8	0.234
98	7.8	12.8	0.126
99	8.2	12.8	0.049
100	8.4	12.8	0.036
101	8.7	12.8	0.107
102	8.9	12.8	0.269
103	9.3	12.7	0.728
104	11.5	12.7	0.779
105	11.7	12.7	0.783
106	11.7	12.7	0.820
107	11.9	12.7	0.783
108	12.0	12.7	0.759
109	12.0	12.7	0.703
110	12.3	12.7	0.617
111	13.0	12.7	0.563
112	12.9	12.7	0.525
113	13.5	12.7	0.546
114	14.1	12.6	0.677
115	14.1	12.6	0.756
116	13.9	12.6	0.935
117	14.2	12.6	0.960
118	14.8	12.6	0.895
119	15.4	12.6	0.539
120	15.5	12.6	0.338
121	13.8	12.6	0.234
122	13.8	12.6	0.126
123	13.5	12.6	0.049
124	13.4	12.6	0.036
125	12.8	12.6	0.107
126	12.3	12.6	0.269
127	12.1	12.6	0.728
128	14.1	12.6	0.779
129	13.9	12.6	0.783
130	13.3	12.6	0.820
131	12.6	12.6	0.783
132	11.9	12.5	0.759
133	11.0	12.5	0.703
134	10.3	12.5	0.617
135	9.9	12.5	0.563
136	9.5	12.5	0.525
137	9.5	12.5	0.546
138	9.8	12.5	0.677
139	9.4	12.5	0.756
140	9.3	12.4	0.935
141	9.4	12.4	0.960
142	9.4	12.4	0.895
143	9.4	12.4	0.539
144	9.4	12.4	0.338
145	7.2	12.4	0.234
146	7.4	12.4	0.126
147	7.4	12.3	0.049
148	7.6	12.3	0.036
149	7.9	12.3	0.107
150	7.7	12.3	0.269
151	7.8	12.3	0.728
152	10.1	12.3	0.779
153	9.9	12.3	0.783
154	9.2	12.3	0.820
155	9.0	12.3	0.783
156	8.5	12.2	0.759
157	8.2	12.2	0.703
158	7.5	12.2	0.617
159	7.2	12.2	0.563
160	7.2	12.2	0.525
161	7.9	12.2	0.546
162	8.3	12.2	0.677
163	8.9	12.2	0.756
164	9.0	12.2	0.935
165	9.6	12.2	0.960
166	9.7	12.2	0.895
167	10.3	12.2	0.539
168	10.4	12.1	0.338
169	8.6	12.1	0.234
170	8.5	12.1	0.126
171	8.6	12.1	0.049
172	8.2	12.1	0.036
173	8.1	12.1	0.107
174	7.7	12.1	0.269
175	7.7	12.1	0.728
176	9.6	12.1	0.779
177	9.6	12.1	0.783
178	9.3	12.1	0.820
179	8.8	12.1	0.783
180	8.4	12.1	0.759
181	8.5	12.1	0.703
182	8.3	12.1	0.617
183	8.5	12.1	0.563
184	8.4	12.1	0.525
185	8.3	12.0	0.546
186	8.4	12.0	0.677
187	8.7	12.0	0.756
188	8.2	12.0	0.935
189	7.9	12.0	0.960
190	7.9	12.0	0.895
191	7.5	12.0	0.539
192	7.2	12.0	0.338
193	4.7	12.0	0.234
194	4.7	12.0	0.126
195	5.0	12.0	0.049
196	5.1	12.0	0.036
197	4.8	12.0	0.107
198	4.4	12.0	0.269
199	4.7	12.0	0.728
200	6.7	12.0	0.779
201	6.9	12.0	0.783
202	6.4	12.0	0.820
203	6.3	12.0	0.783
204	6.4	11.9	0.759
205	6.3	11.9	0.703
206	5.7	11.9	0.617
207	5.2	11.9	0.563
208	5.1	11.9	0.525
209	5.1	11.9	0.546
210	5.0	11.9	0.677
211	5.1	11.9	0.756
212	5.1	11.9	0.935
213	5.0	11.9	0.960
214	5.0	11.9	0.895
215	4.9	11.9	0.539
216	4.6	11.9	0.338
217	2.7	11.9	0.234
218	2.8	11.9	0.126
219	3.0	11.9	0.049
220	3.3	11.9	0.036
221	3.6	11.9	0.107
222	3.9	11.9	0.269
223	4.2	11.8	0.728
224	6.4	11.8	0.779
225	6.4	11.8	0.783
226	6.6	11.8	0.820
227	6.6	11.8	0.783
228	6.4	11.8	0.759
229	6.3	11.8	0.703
230	6.4	11.8	0.617
231	6.3	11.8	0.563
232	6.9	11.8	0.525
233	7.3	11.7	0.546
234	7.9	11.7	0.677
235	7.9	11.7	0.756
236	8.4	11.7	0.935
237	9.0	11.7	0.960
238	9.7	11.7	0.895
239	10.2	11.7	0.539
240	10.6	11.7	0.338
241	8.9	11.7	0.234
242	8.9	11.7	0.126
243	8.9	11.7	0.049
244	9.0	11.7	0.036
245	8.9	11.7	0.107
246	8.8	11.7	0.269
247	8.8	11.7	0.728
248	10.6	11.6	0.779
249	10.8	11.6	0.783
250	10.3	11.6	0.820
251	10.3	11.6	0.783
252	9.5	11.6	0.759
253	9.3	11.6	0.703
254	8.6	11.6	0.617
255	8.8	11.6	0.563
256	9.1	11.6	0.525
257	9.9	11.6	0.546
258	9.8	11.6	0.677
259	10.0	11.6	0.756
260	10.4	11.6	0.935
261	10.6	11.6	0.960
262	11.0	11.5	0.895
263	11.0	11.5	0.539
264	11.1	11.5	0.338
265	9.0	11.5	0.234
266	9.2	11.5	0.126
267	9.1	11.5	0.049
268	9.1	11.5	0.036
269	8.9	11.5	0.107
