# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	6.3	12.0	0.162
2	6.5	12.0	0.087
3	6.8	11.6	0.034
4	6.7	11.5	0.025
5	6.8	11.5	0.074
6	6.8	11.5	0.186
7	6.7	11.4	0.504
8	8.3	11.3	0.539
9	8.3	11.3	0.542
10	7.8	11.2	0.568
11	7.9	11.2	0.542
12	7.4	11.2	0.525
13	7.2	11.2	0.486
14	7.2	11.1	0.427
15	7.2	11.1	0.389
16	7.4	11.1	0.363
17	7.9	11.1	0.378
18	8.5	11.0	0.468
19	9.1	11.0	0.523
20	9.2	11.0	0.647
21	9.3	11.0	0.664
22	9.6	11.0	0.619
23	9.8	11.0	0.373
24	10.2	11.0	0.234
25	8.9	11.0	0.162
26	8.7	11.0	0.087
27	8.7	10.9	0.034
28	8.7	10.9	0.025
29	8.6	10.9	0.074
30	8.4	10.9	0.186
31	8.6	10.9	0.504
32	10.4	10.8	0.539
33	10.1	10.8	0.542
34	9.9	10.8	0.568
35	9.6	10.8	0.542
36	9.2	10.8	0.525
37	9.0	10.8	0.486
38	8.9	10.7	0.427
39	8.6	10.7	0.389
40	8.8	10.7	0.363
41	9.2	10.7	0.378
42	9.6	10.7	0.468
43	9.7	10.7	0.523
44	9.7	10.6	0.647
45	9.8	10.6	0.664
46	9.8	10.6	0.619
47	9.9	10.6	0.373
48	9.9	10.5	0.234
49	8.3	10.5	0.162
50	8.2	10.5	0.087
51	8.3	10.5	0.034
52	8.5	10.4	0.025
53	8.6	10.4	0.074
54	8.5	10.4	0.186
55	8.8	10.4	0.504
56	10.2	10.4	0.539
57	10.1	10.4	0.542
58	10.2	10.4	0.568
59	9.9	10.4	0.542
60	9.8	10.4	0.525
61	9.4	10.3	0.486
62	9.2	10.3	0.427
63	9.0	10.3	0.389
64	9.0	10.3	0.363
65	9.1	10.3	0.378
66	9.4	10.3	0.468
67	9.8	10.2	0.523
68	10.0	10.2	0.647
69	10.3	10.2	0.664
70	10.5	10.2	0.619
71	10.7	10.2	0.373
72	10.9	10.2	0.234
73	9.4	10.1	0.162
74	9.4	10.1	0.087
75	9.3	10.1	0.034
76	9.4	10.1	0.025
77	9.4	10.1	0.074
78	9.3	10.1	0.186
79	9.1	10.1	0.504
80	10.3	10.0	0.539
81	10.0	10.0	0.542
82	9.5	10.0	0.568
83	8.7	10.0	0.542
84	8.0	10.0	0.525
85	7.4	10.0	0.486
86	7.1	10.0	0.427
87	7.2	10.0	0.389
88	7.1	10.0	0.363
89	7.3	10.0	0.378
90	7.4	10.0	0.468
91	7.3	10.0	0.523
92	7.1	9.9	0.647
93	7.4	9.9	0.664
94	7.5	9.9	0.619
95	7.6	9.9	0.373
96	7.6	9.9	0.234
97	6.0	9.9	0.162
98	6.1	9.9	0.087
99	6.4	9.9	0.034
100	6.6	9.9	0.025
101	6.8	9.9	0.074
102	6.9	9.9	0.186
103	7.2	9.9	0.504
104	8.9	9.9	0.539
105	9.1	9.9	0.542
106	9.1	9.9	0.568
107	9.2	9.9	0.542
108	9.3	9.8	0.525
109	9.4	9.8	0.486
110	9.6	9.8	0.427
111	10.1	9.8	0.389
112	10.0	9.8	0.363
113	10.5	9.8	0.378
114	10.9	9.8	0.468
115	11.0	9.8	0.523
116	10.8	9.8	0.647
117	11.1	9.8	0.664
118	11.5	9.8	0.619
119	12.0	9.8	0.373
120	12.0	9.8	0.234
121	10.7	9.8	0.162
122	10.7	9.8	0.087
123	10.5	9.8	0.034
124	10.4	9.8	0.025
125	9.9	9.8	0.074
126	9.6	9.8	0.186
127	9.4	9.8	0.504
128	11.0	9.8	0.539
129	10.8	9.7	0.542
130	10.4	9.7	0.568
131	9.8	9.7	0.542
132	9.3	9.7	0.525
133	8.5	9.7	0.486
134	8.0	9.7	0.427
135	7.7	9.7	0.389
136	7.4	9.7	0.363
137	7.4	9.7	0.378
138	7.6	9.6	0.468
139	7.3	9.6	0.523
140	7.3	9.6	0.647
141	7.3	9.6	0.664
142	7.3	9.6	0.619
143	7.3	9.6	0.373
144	7.3	9.6	0.234
145	5.6	9.6	0.162
146	5.7	9.6	0.087
147	5.8	9.6	0.034
148	5.9	9.6	0.025
149	6.2	9.6	0.074
150	6.0	9.6	0.186
151	6.1	9.5	0.504
152	7.8	9.5	0.539
153	7.7	9.5	0.542
154	7.2	9.5	0.568
155	7.0	9.5	0.542
156	6.6	9.5	0.525
157	6.4	9.5	0.486
158	5.8	9.5	0.427
159	5.6	9.5	0.389
160	5.6	9.5	0.363
161	6.1	9.4	0.378
162	6.4	9.4	0.468
163	6.9	9.4	0.523
164	7.0	9.4	0.647
165	7.4	9.4	0.664
166	7.5	9.4	0.619
167	8.0	9.4	0.373
168	8.1	9.4	0.234
169	6.7	9.4	0.162
170	6.6	9.4	0.087
171	6.7	9.4	0.034
172	6.4	9.4	0.025
173	6.3	9.4	0.074
174	6.0	9.4	0.186
175	6.0	9.4	0.504
176	7.5	9.4	0.539
177	7.4	9.4	0.542
178	7.3	9.4	0.568
179	6.9	9.4	0.542
180	6.5	9.4	0.525
181	6.6	9.4	0.486
182	6.4	9.4	0.427
183	6.6	9.4	0.389
184	6.6	9.4	0.363
185	6.5	9.4	0.378
186	6.6	9.3	0.468
187	6.7	9.3	0.523
188	6.4	9.3	0.647
189	6.1	9.3	0.664
190	6.1	9.3	0.619
191	5.8	9.3	0.373
192	5.6	9.3	0.234
193	3.7	9.3	0.162
194	3.7	9.3	0.087
195	3.9	9.3	0.034
196	3.9	9.3	0.025
197	3.7	9.3	0.074
198	3.4	9.3	0.186
199	3.7	9.3	0.504
200	5.2	9.3	0.539
201	5.4	9.3	0.542
202	4.9	9.3	0.568
203	4.9	9.3	0.542
204	5.0	9.3	0.525
205	4.9	9.2	0.486
206	4.5	9.2	0.427
207	4.1	9.2	0.389
208	3.9	9.2	0.363
209	4.0	9.2	0.378
210	3.9	9.2	0.468
211	3.9	9.2	0.523
212	4.0	9.2	0.647
213	3.9	9.2	0.664
214	3.9	9.2	0.619
215	3.8	9.2	0.373
216	3.6	9.2	0.234
217	2.1	9.2	0.162
218	2.2	9.2	0.087
219	2.4	9.2	0.034
220	2.6	9.2	0.025
221	2.8	9.2	0.074
222	3.0	9.2	0.186
223	3.3	9.2	0.504
224	5.0	9.2	0.539
225	5.0	9.1	0.542
226	5.1	9.1	0.568
227	5.1	9.1	0.542
228	5.0	9.1	0.525
229	4.9	9.1	0.486
230	5.0	9.1	0.427
231	4.9	9.1	0.389
232	5.3	9.1	0.363
233	5.7	9.1	0.378
234	6.1	9.1	0.468
235	6.2	9.1	0.523
236	6.5	9.1	0.647
237	7.0	9.1	0.664
238	7.5	9.1	0.619
239	7.9	9.1	0.373
240	8.2	9.1	0.234
241	6.9	9.1	0.162
242	6.9	9.1	0.087
243	6.9	9.1	0.034
244	7.0	9.0	0.025
245	6.9	9.0	0.074
246	6.9	9.0	0.186
247	6.8	9.0	0.504
248	8.3	9.0	0.539
249	8.4	9.0	0.542
250	8.0	9.0	0.568
251	8.0	9.0	0.542
252	7.4	9.0	0.525
253	7.2	9.0	0.486
254	6.7	9.0	0.427
255	6.8	9.0	0.389
256	7.1	9.0	0.363
257	7.7	9.0	0.378
258	7.6	9.0	0.468
259	7.8	9.0	0.523
260	8.1	8.9	0.647
261	8.3	8.9	0.664
262	8.6	8.9	0.619
263	8.5	8.9	0.373
264	8.6	8.9	0.234
265	7.0	8.9	0.162
266	7.1	8.9	0.087
267	7.1	8.9	0.034
268	7.1	8.9	0.025
269	6.9	8.9	0.074
270	7.0	8.9	0.186
271	6.9	8.9	0.504
272	8.6	8.9	0.539
273	8.6	8.9	0.542
274	8.4	8.9	0.568
275	8.1	8.9	0.542
276	7.6	8.9	0.525
277	7.2	8.9	0.486
278	6.9	8.9	0.427
279	6.7	8.8	0.389
280	6.8	8.8	0.363
281	6.7	8.8	0.378
282	6.8	8.8	0.468
283	6.9	8.8	0.523
284	6.8	8.8	0.647
285	7.1	8.8	0.664
286	7.2	8.8	0.619
287	7.2	8.8	0.373
288	7.3	8.8	0.234
289	5.4	8.8	0.162
