# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	15.2	23.6	0.421
2	15.5	23.6	0.227
3	16.2	23.1	0.089
4	15.9	23.1	0.065
5	16.1	23.0	0.194
6	16.2	22.9	0.486
7	15.9	22.1	1.312
8	15.8	22.0	1.405
9	15.9	21.4	1.411
10	15.0	21.3	1.478
11	15.1	21.2	1.411
12	14.2	21.2	1.368
13	13.8	21.1	1.266
14	13.9	21.1	1.113
15	13.8	21.1	1.014
16	14.2	21.1	0.947
17	15.1	21.1	0.983
18	16.3	21.0	1.220
19	17.4	21.0	1.362
20	17.7	21.0	1.684
21	17.9	21.0	1.730
22	18.4	20.9	1.614
23	18.9	20.9	0.971
24	19.5	20.9	0.609
25	20.1	20.9	0.421
26	19.6	20.8	0.227
27	19.8	20.8	0.089
28	19.8	20.8	0.065
29	19.5	20.7	0.194
30	19.2	20.7	0.486
31	19.6	20.6	1.312
32	19.9	20.6	1.405
33	19.3	20.6	1.411
34	19.0	20.5	1.478
35	18.4	20.5	1.411
36	17.6	20.5	1.368
37	17.2	20.3	1.266
38	17.0	20.3	1.113
39	16.4	20.3	1.014
40	16.8	20.3	0.947
41	17.6	20.3	0.983
42	18.4	20.2	1.220
43	18.5	20.2	1.362
44	18.6	20.2	1.684
45	18.8	20.2	1.730
46	18.8	20.2	1.614
47	18.9	20.1	0.971
48	18.9	20.1	0.609
49	18.9	20.1	0.421
50	18.8	20.0	0.227
51	19.0	20.0	0.089
52	19.4	20.0	0.065
53	19.5	20.0	0.194
54	19.3	20.0	0.486
55	19.9	19.9	1.312
56	19.6	19.9	1.405
57	19.4	19.9	1.411
58	19.5	19.9	1.478
59	19.0	19.9	1.411
60	18.8	19.8	1.368
61	18.0	19.8	1.266
62	17.6	19.8	1.113
63	17.3	19.8	1.014
64	17.2	19.8	0.947
65	17.4	19.8	0.983
66	18.1	19.8	1.220
67	18.7	19.7	1.362
68	19.1	19.6	1.684
69	19.7	19.6	1.730
70	20.2	19.6	1.614
71	20.6	19.6	0.971
72	20.8	19.6	0.609
73	21.1	19.6	0.421
74	21.1	19.5	0.227
75	20.9	19.5	0.089
76	21.0	19.5	0.065
77	21.0	19.5	0.194
78	20.9	19.5	0.486
79	20.5	19.5	1.312
80	19.8	19.5	1.405
81	19.2	19.4	1.411
82	18.2	19.4	1.478
83	16.6	19.4	1.411
84	15.3	19.4	1.368
85	14.1	19.4	1.266
86	13.7	19.3	1.113
87	13.8	19.3	1.014
88	13.7	19.3	0.947
89	14.0	19.3	0.983
90	14.1	19.3	1.220
91	14.1	19.3	1.362
92	13.7	19.2	1.684
93	14.1	19.2	1.730
94	14.4	19.2	1.614
95	14.5	19.2	0.971
96	14.6	19.2	0.609
97	14.6	19.2	0.421
98	14.7	19.2	0.227
99	15.3	19.1	0.089
100	15.7	19.1	0.065
101	16.1	19.1	0.194
102	16.3	19.1	0.486
103	16.9	19.1	1.312
104	17.1	19.1	1.405
105	17.5	19.1	1.411
106	17.4	19.0	1.478
107	17.7	19.0	1.411
108	17.8	19.0	1.368
109	17.9	19.0	1.266
110	18.3	19.0	1.113
111	19.3	19.0	1.014
112	19.2	19.0	0.947
113	20.0	19.0	0.983
114	20.9	19.0	1.220
115	21.0	18.9	1.362
116	20.6	18.9	1.684
117	21.2	18.9	1.730
118	22.0	18.9	1.614
119	22.9	18.9	0.971
120	23.1	18.9	0.609
121	23.6	18.9	0.421
122	23.6	18.9	0.227
123	23.1	18.9	0.089
124	23.0	18.8	0.065
125	22.1	18.8	0.194
126	21.4	18.8	0.486
127	21.1	18.8	1.312
128	20.9	18.8	1.405
129	20.7	18.8	1.411
130	19.9	18.8	1.478
131	18.8	18.8	1.411
132	17.8	18.8	1.368
133	16.4	18.8	1.266
134	15.4	18.8	1.113
135	14.9	18.8	1.014
136	14.2	18.7	0.947
137	14.2	18.7	0.983
138	14.7	18.7	1.220
139	14.1	18.7	1.362
140	14.0	18.7	1.684
141	14.1	18.7	1.730
142	14.1	18.7	1.614
143	14.1	18.7	0.971
144	14.0	18.7	0.609
145	13.8	18.7	0.421
146	14.1	18.7	0.227
147	14.2	18.6	0.089
148	14.4	18.6	0.065
149	14.9	18.6	0.194
150	14.6	18.6	0.486
151	14.7	18.6	1.312
152	15.0	18.6	1.405
153	14.7	18.6	1.411
154	13.8	18.6	1.478
155	13.4	18.5	1.411
156	12.7	18.5	1.368
157	12.2	18.5	1.266
158	11.1	18.5	1.113
159	10.7	18.5	1.014
160	10.7	18.5	0.947
161	11.7	18.5	0.983
162	12.3	18.5	1.220
163	13.3	18.5	1.362
164	13.5	18.5	1.684
165	14.2	18.5	1.730
166	14.4	18.5	1.614
167	15.3	18.5	0.971
168	15.5	18.4	0.609
169	15.8	18.4	0.421
170	15.7	18.4	0.227
171	15.9	18.4	0.089
172	15.3	18.4	0.065
173	15.1	18.4	0.194
174	14.5	18.4	0.486
175	14.5	18.4	1.312
176	14.3	18.4	1.405
177	14.3	18.4	1.411
178	13.9	18.4	1.478
179	13.2	18.4	1.411
180	12.5	18.4	1.368
181	12.7	18.4	1.266
182	12.4	18.4	1.113
183	12.7	18.4	1.014
184	12.6	18.4	0.947
185	12.5	18.4	0.983
186	12.6	18.3	1.220
187	12.9	18.3	1.362
188	12.2	18.3	1.684
189	11.8	18.3	1.730
190	11.7	18.3	1.614
191	11.2	18.3	0.971
192	10.8	18.3	0.609
193	10.1	18.3	0.421
194	10.2	18.3	0.227
195	10.6	18.3	0.089
196	10.7	18.3	0.065
197	10.2	18.3	0.194
198	9.7	18.2	0.486
199	10.2	18.2	1.312
200	10.1	18.2	1.405
201	10.3	18.2	1.411
202	9.5	18.2	1.478
203	9.4	18.2	1.411
204	9.5	18.1	1.368
205	9.3	18.1	1.266
206	8.6	18.1	1.113
207	7.8	18.1	1.014
208	7.6	18.1	0.947
209	7.7	18.1	0.983
210	7.5	18.1	1.220
211	7.5	18.1	1.362
212	7.6	18.1	1.684
213	7.5	18.1	1.730
214	7.5	18.1	1.614
215	7.4	18.1	0.971
216	6.9	18.1	0.609
217	7.1	18.1	0.421
218	7.3	18.1	0.227
219	7.6	18.1	0.089
220	8.0	18.1	0.065
221	8.4	18.0	0.194
222	8.9	18.0	0.486
223	9.4	18.0	1.312
224	9.6	18.0	1.405
225	9.6	18.0	1.411
226	9.8	18.0	1.478
227	9.8	18.0	1.411
228	9.6	18.0	1.368
229	9.4	18.0	1.266
230	9.6	18.0	1.113
231	9.4	17.9	1.014
232	10.3	17.9	0.947
233	10.9	17.9	0.983
234	11.8	17.9	1.220
235	11.9	17.9	1.362
236	12.5	17.9	1.684
237	13.4	17.9	1.730
238	14.5	17.9	1.614
239	15.2	17.9	0.971
240	15.8	17.9	0.609
241	16.3	17.9	0.421
242	16.4	17.9	0.227
243	16.4	17.9	0.089
244	16.4	17.9	0.065
245	16.3	17.8	0.194
246	16.2	17.8	0.486
247	16.1	17.8	1.312
248	15.9	17.8	1.405
249	16.1	17.8	1.411
250	15.4	17.8	1.478
251	15.4	17.8	1.411
252	14.2	17.8	1.368
253	13.9	17.8	1.266
254	12.9	17.8	1.113
255	13.1	17.8	1.014
256	13.6	17.8	0.947
257	14.7	17.7	0.983
258	14.6	17.7	1.220
259	14.9	17.7	1.362
260	15.5	17.7	1.684
261	15.9	17.7	1.730
262	16.4	17.7	1.614
263	16.4	17.7	0.971
264	16.5	17.7	0.609
265	16.5	17.7	0.421
266	16.8	17.7	0.227
267	16.7	17.7	0.089
268	16.6	17.7	0.065
269	16.3	17.7	0.194
270	16.6	17.6	0.486
271	16.3	17.6	1.312
272	16.5	17.6	1.405
273	16.6	17.6	1.411
274	16.0	17.6	1.478
275	15.5	17.6	1.411
276	14.5	17.6	1.368
277	13.7	17.6	1.266
278	13.2	17.6	1.113
279	12.8	17.6	1.014
280	12.9	17.6	0.947
281	12.7	17.6	0.983
282	13.0	17.6	1.220
283	13.1	17.6	1.362
284	13.1	17.6	1.684
285	13.6	17.6	1.730
286	13.7	17.6	1.614
287	13.7	17.6	0.971
288	13.9	17.6	0.609
289	13.4	17.6	0.421
290	13.4	17.6	0.227
291	13.4	17.5	0.089
292	13.3	17.5	0.065
293	13.5	17.5	0.194
294	13.6	17.5	0.486
295	13.3	17.5	1.312
296	13.3	17.5	1.405
297	13.3	17.5	1.411
298	13.2	17.5	1.478
299	12.5	17.5	1.411
300	12.1	17.5	1.368
301	11.5	17.4	1.266
302	11.2	17.4	1.113
303	11.1	17.4	1.014
304	10.7	17.4	0.947
305	11.3	17.4	0.983
306	11.1	17.4	1.220
307	11.2	17.4	1.362
308	11.4	17.4	1.684
309	11.5	17.4	1.730
310	12.3	17.4	1.614
311	12.2	17.4	0.971
312	12.5	17.4	0.609
313	12.6	17.4	0.421
314	12.5	17.4	0.227
315	12.6	17.4	0.089
316	12.2	17.3	0.065
317	11.9	17.3	0.194
318	11.7	17.3	0.486
319	12.0	17.3	1.312
320	12.2	17.2	1.405
321	12.3	17.2	1.411
322	12.1	17.2	1.478
323	11.9	17.2	1.411
324	12.1	17.2	1.368
325	11.6	17.2	1.266
326	11.3	17.2	1.113
327	10.6	17.2	1.014
328	10.1	17.2	0.947
329	10.6	17.2	0.983
330	10.7	17.2	1.220
331	11.2	17.2	1.362
332	11.4	17.2	1.684
333	11.5	17.2	1.730
334	11.6	17.2	1.614
335	11.9	17.1	0.971
336	11.6	17.1	0.609
337	11.7	17.1	0.421
338	12.0	17.1	0.227
339	12.3	17.1	0.089
340	12.8	17.1	0.065
341	13.0	17.1	0.194
342	13.0	17.1	0.486
343	13.0	17.1	1.312
344	13.5	17.0	1.405
345	13.6	17.0	1.411
346	13.9	17.0	1.478
347	13.5	17.0	1.411
348	13.1	17.0	1.368
349	13.0	17.0	1.266
350	13.4	17.0	1.113
351	13.5	17.0	1.014
352	13.6	17.0	0.947
353	14.0	17.0	0.983
354	14.5	17.0	1.220
355	14.7	17.0	1.362
356	15.2	17.0	1.684
357	15.1	17.0	1.730
358	15.6	17.0	1.614
359	15.5	17.0	0.971
360	15.2	17.0	0.609
361	15.1	16.9	0.421
362	15.3	16.9	0.227
363	15.7	16.9	0.089
364	15.5	16.9	0.065
365	15.4	16.9	0.194
366	16.0	16.9	0.486
367	16.2	16.9	1.312
368	16.4	16.9	1.405
369	16.3	16.9	1.411
370	16.5	16.9	1.478
371	15.4	16.9	1.411
372	15.1	16.9	1.368
373	14.7	16.9	1.266
374	14.4	16.9	1.113
375	14.6	16.9	1.014
376	15.2	16.9	0.947
377	16.3	16.8	0.983
378	17.0	16.8	1.220
379	17.4	16.8	1.362
380	17.7	16.8	1.684
381	18.0	16.8	1.730
382	18.8	16.8	1.614
383	19.5	16.8	0.971
384	20.0	16.8	0.609
385	21.0	16.8	0.421
386	21.2	16.8	0.227
387	21.3	16.8	0.089
388	21.1	16.8	0.065
389	21.1	16.8	0.194
390	20.8	16.8	0.486
391	20.7	16.8	1.312
392	20.5	16.8	1.405
393	19.6	16.7	1.411
394	18.8	16.7	1.478
395	17.9	16.7	1.411
396	16.9	16.7	1.368
397	15.7	16.7	1.266
398	14.6	16.7	1.113
399	14.7	16.7	1.014
400	14.3	16.7	0.947
401	14.2	16.7	0.983
402	14.7	16.7	1.220
