# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	7.6	11.8	0.165
2	7.8	11.8	0.089
3	8.1	11.5	0.035
4	8.0	11.5	0.025
5	8.1	11.5	0.076
6	8.1	11.5	0.190
7	8.0	11.0	0.515
8	7.9	11.0	0.551
9	8.0	10.7	0.553
10	7.5	10.6	0.580
11	7.5	10.6	0.553
12	7.1	10.6	0.536
13	6.9	10.5	0.497
14	6.9	10.5	0.436
15	6.9	10.5	0.398
16	7.1	10.5	0.371
17	7.6	10.5	0.386
18	8.2	10.5	0.478
19	8.7	10.5	0.534
20	8.8	10.5	0.660
21	8.9	10.5	0.678
22	9.2	10.5	0.633
23	9.4	10.4	0.381
24	9.8	10.4	0.239
25	10.1	10.4	0.165
26	9.8	10.4	0.089
27	9.9	10.4	0.035
28	9.9	10.4	0.025
29	9.8	10.3	0.076
30	9.6	10.3	0.190
31	9.8	10.3	0.515
32	9.9	10.3	0.551
33	9.7	10.3	0.553
34	9.5	10.3	0.580
35	9.2	10.2	0.553
36	8.8	10.2	0.536
37	8.6	10.1	0.497
38	8.5	10.1	0.436
39	8.2	10.1	0.398
40	8.4	10.1	0.371
41	8.8	10.1	0.386
42	9.2	10.1	0.478
43	9.2	10.1	0.534
44	9.3	10.1	0.660
45	9.4	10.0	0.678
46	9.4	10.0	0.633
47	9.4	10.0	0.381
48	9.4	10.0	0.239
49	9.4	10.0	0.165
50	9.4	10.0	0.089
51	9.5	10.0	0.035
52	9.7	10.0	0.025
53	9.8	10.0	0.076
54	9.6	10.0	0.190
55	9.9	9.9	0.515
56	9.8	9.9	0.551
57	9.7	9.9	0.553
58	9.7	9.9	0.580
59	9.5	9.9	0.553
60	9.4	9.9	0.536
61	9.0	9.9	0.497
62	8.8	9.9	0.436
63	8.6	9.9	0.398
64	8.6	9.9	0.371
65	8.7	9.9	0.386
66	9.0	9.9	0.478
67	9.3	9.8	0.534
68	9.6	9.8	0.660
69	9.9	9.8	0.678
70	10.1	9.8	0.633
71	10.3	9.8	0.381
72	10.4	9.8	0.239
73	10.5	9.8	0.165
74	10.5	9.8	0.089
75	10.4	9.8	0.035
76	10.5	9.7	0.025
77	10.5	9.7	0.076
78	10.4	9.7	0.190
79	10.2	9.7	0.515
80	9.9	9.7	0.551
81	9.6	9.7	0.553
82	9.1	9.7	0.580
83	8.3	9.7	0.553
84	7.6	9.7	0.536
85	7.1	9.7	0.497
86	6.8	9.6	0.436
87	6.9	9.6	0.398
88	6.9	9.6	0.371
89	7.0	9.6	0.386
90	7.0	9.6	0.478
91	7.0	9.6	0.534
92	6.8	9.6	0.660
93	7.1	9.6	0.678
94	7.2	9.6	0.633
95	7.3	9.6	0.381
96	7.3	9.6	0.239
97	7.3	9.6	0.165
98	7.3	9.5	0.089
99	7.6	9.5	0.035
100	7.8	9.5	0.025
101	8.0	9.5	0.076
102	8.2	9.5	0.190
103	8.4	9.5	0.515
104	8.5	9.5	0.551
105	8.7	9.5	0.553
106	8.7	9.5	0.580
107	8.8	9.5	0.553
108	8.9	9.5	0.536
109	8.9	9.5	0.497
110	9.1	9.5	0.436
111	9.6	9.5	0.398
112	9.6	9.5	0.371
113	10.0	9.4	0.386
114	10.4	9.4	0.478
115	10.5	9.4	0.534
116	10.3	9.4	0.660
117	10.6	9.4	0.678
118	11.0	9.4	0.633
119	11.5	9.4	0.381
120	11.5	9.4	0.239
121	11.8	9.4	0.165
122	11.8	9.4	0.089
123	11.5	9.4	0.035
124	11.5	9.4	0.025
125	11.0	9.4	0.076
126	10.7	9.4	0.190
127	10.5	9.4	0.515
