# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	4.5	8.6	0.354
2	4.7	8.6	0.191
3	4.9	8.3	0.075
4	4.8	8.2	0.054
5	4.9	8.2	0.163
6	4.9	8.2	0.408
7	4.8	8.2	1.103
8	5.9	8.1	1.180
9	6.0	8.1	1.186
10	5.6	8.0	1.242
11	5.6	8.0	1.186
12	5.3	8.0	1.149
13	5.1	8.0	1.064
14	5.2	8.0	0.935
15	5.2	8.0	0.852
16	5.3	8.0	0.796
17	5.7	7.9	0.827
18	6.1	7.9	1.025
19	6.5	7.9	1.144
20	6.6	7.9	1.415
21	6.7	7.9	1.454
22	6.9	7.9	1.356
23	7.1	7.9	0.816
24	7.3	7.9	0.511
25	6.4	7.9	0.354
26	6.2	7.8	0.191
27	6.2	7.8	0.075
28	6.3	7.8	0.054
29	6.2	7.8	0.163
30	6.0	7.8	0.408
31	6.2	7.8	1.103
32	7.4	7.7	1.180
33	7.2	7.7	1.186
34	7.1	7.7	1.242
35	6.9	7.7	1.186
36	6.6	7.7	1.149
37	6.4	7.7	1.064
38	6.4	7.7	0.935
39	6.2	7.7	0.852
40	6.3	7.7	0.796
41	6.6	7.7	0.827
42	6.9	7.7	1.025
43	6.9	7.7	1.144
44	6.9	7.6	1.415
45	7.0	7.6	1.454
46	7.1	7.6	1.356
47	7.1	7.5	0.816
48	7.1	7.5	0.511
49	5.9	7.5	0.354
50	5.9	7.5	0.191
51	6.0	7.5	0.075
52	6.1	7.5	0.054
53	6.2	7.5	0.163
54	6.1	7.5	0.408
55	6.3	7.4	1.103
56	7.3	7.4	1.180
57	7.3	7.4	1.186
58	7.3	7.4	1.242
59	7.1	7.4	1.186
60	7.0	7.4	1.149
61	6.7	7.4	1.064
62	6.6	7.4	0.935
63	6.5	7.4	0.852
64	6.4	7.3	0.796
65	6.5	7.3	0.827
66	6.8	7.3	1.025
67	7.0	7.3	1.144
68	7.2	7.3	1.415
69	7.4	7.3	1.454
70	7.5	7.3	1.356
71	7.7	7.3	0.816
72	7.8	7.2	0.511
73	6.7	7.2	0.354
74	6.7	7.2	0.191
75	6.7	7.2	0.075
76	6.7	7.2	0.054
77	6.7	7.2	0.163
78	6.7	7.2	0.408
79	6.5	7.2	1.103
80	7.4	7.2	1.180
81	7.2	7.2	1.186
82	6.8	7.2	1.242
83	6.2	7.2	1.186
84	5.7	7.2	1.149
85	5.3	7.1	1.064
86	5.1	7.1	0.935
87	5.2	7.1	0.852
88	5.1	7.1	0.796
89	5.2	7.1	0.827
90	5.3	7.1	1.025
91	5.3	7.1	1.144
92	5.1	7.1	1.415
93	5.3	7.1	1.454
94	5.4	7.1	1.356
95	5.4	7.1	0.816
96	5.4	7.1	0.511
97	4.3	7.1	0.354
98	4.3	7.1	0.191
99	4.6	7.1	0.075
100	4.7	7.1	0.054
101	4.9	7.1	0.163
102	5.0	7.1	0.408
103	5.2	7.1	1.103
104	6.4	7.1	1.180
105	6.5	7.1	1.186
106	6.5	7.1	1.242
107	6.6	7.1	1.186
108	6.7	7.0	1.149
109	6.7	7.0	1.064
110	6.9	7.0	0.935
111	7.2	7.0	0.852
112	7.2	7.0	0.796
113	7.5	7.0	0.827
114	7.8	7.0	1.025
115	7.9	7.0	1.144
116	7.7	7.0	1.415
117	7.9	7.0	1.454
118	8.2	7.0	1.356
119	8.6	7.0	0.816
120	8.6	7.0	0.511
121	7.7	7.0	0.354
122	7.7	7.0	0.191
123	7.5	7.0	0.075
124	7.5	7.0	0.054
125	7.1	7.0	0.163
126	6.9	7.0	0.408
127	6.8	7.0	1.103
128	7.9	7.0	1.180
129	7.7	6.9	1.186
130	7.4	6.9	1.242
131	7.0	6.9	1.186
132	6.6	6.9	1.149
133	6.1	6.9	1.064
134	5.7	6.9	0.935
135	5.5	6.9	0.852
136	5.3	6.9	0.796
137	5.3	6.9	0.827
138	5.4	6.9	1.025
139	5.2	6.9	1.144
140	5.2	6.9	1.415
141	5.2	6.9	1.454
142	5.2	6.9	1.356
143	5.2	6.9	0.816
144	5.2	6.8	0.511
145	4.0	6.8	0.354
146	4.1	6.8	0.191
147	4.1	6.8	0.075
148	4.2	6.8	0.054
149	4.4	6.8	0.163
150	4.3	6.8	0.408
151	4.3	6.8	1.103
152	5.6	6.8	1.180
153	5.5	6.8	1.186
154	5.2	6.8	1.242
155	5.0	6.8	1.186
156	4.8	6.8	1.149
157	4.6	6.7	1.064
158	4.2	6.7	0.935
159	4.0	6.7	0.852
160	4.0	6.7	0.796
161	4.4	6.7	0.827
162	4.6	6.7	1.025
163	5.0	6.7	1.144
164	5.0	6.7	1.415
165	5.3	6.7	1.454
166	5.4	6.7	1.356
167	5.7	6.7	0.816
168	5.8	6.7	0.511
169	4.8	6.7	0.354
170	4.7	6.7	0.191
171	4.8	6.7	0.075
172	4.6	6.7	0.054
173	4.5	6.7	0.163
174	4.3	6.7	0.408
175	4.3	6.7	1.103
176	5.4	6.7	1.180
177	5.3	6.7	1.186
178	5.2	6.7	1.242
179	4.9	6.7	1.186
180	4.7	6.7	1.149
181	4.8	6.7	1.064
182	4.6	6.7	0.935
183	4.7	6.7	0.852
184	4.7	6.7	0.796
185	4.7	6.7	0.827
186	4.7	6.7	1.025
187	4.8	6.7	1.144
188	4.6	6.7	1.415
189	4.4	6.6	1.454
190	4.4	6.6	1.356
191	4.2	6.6	0.816
192	4.0	6.6	0.511
193	2.6	6.6	0.354
194	2.6	6.6	0.191
195	2.8	6.6	0.075
196	2.8	6.6	0.054
197	2.7	6.6	0.163
198	2.5	6.6	0.408
199	2.6	6.6	1.103
200	3.7	6.6	1.180
201	3.8	6.6	1.186
202	3.5	6.6	1.242
203	3.5	6.6	1.186
204	3.6	6.6	1.149
205	3.5	6.6	1.064
206	3.2	6.6	0.935
207	2.9	6.6	0.852
208	2.8	6.6	0.796
209	2.9	6.6	0.827
210	2.8	6.6	1.025
211	2.8	6.6	1.144
212	2.8	6.5	1.415
213	2.8	6.5	1.454
214	2.8	6.5	1.356
215	2.7	6.5	0.816
216	2.6	6.5	0.511
217	1.5	6.5	0.354
218	1.6	6.5	0.191
219	1.7	6.5	0.075
220	1.8	6.5	0.054
221	2.0	6.5	0.163
222	2.2	6.5	0.408
223	2.4	6.5	1.103
224	3.6	6.5	1.180
225	3.6	6.5	1.186
226	3.7	6.5	1.242
227	3.7	6.5	1.186
228	3.6	6.5	1.149
229	3.5	6.5	1.064
230	3.6	6.5	0.935
231	3.5	6.5	0.852
232	3.8	6.5	0.796
233	4.1	6.5	0.827
234	4.4	6.5	1.025
235	4.4	6.4	1.144
236	4.7	6.4	1.415
237	5.0	6.4	1.454
