# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	0.3	0.6	0.002
2	0.3	0.6	0.001
3	0.4	0.6	0.001
4	0.3	0.6	0.000
5	0.4	0.6	0.001
6	0.4	0.6	0.003
7	0.3	0.6	0.007
8	0.4	0.6	0.008
9	0.4	0.6	0.008
10	0.4	0.6	0.008
11	0.4	0.6	0.008
12	0.4	0.6	0.008
13	0.4	0.6	0.007
14	0.4	0.6	0.006
15	0.4	0.6	0.006
16	0.4	0.6	0.005
17	0.4	0.6	0.006
18	0.4	0.6	0.007
19	0.5	0.6	0.008
20	0.5	0.6	0.009
21	0.5	0.6	0.010
22	0.5	0.6	0.009
23	0.5	0.6	0.005
24	0.5	0.6	0.003
25	0.5	0.6	0.002
26	0.4	0.6	0.001
27	0.5	0.6	0.001
28	0.5	0.6	0.000
29	0.4	0.6	0.001
30	0.4	0.6	0.003
31	0.4	0.6	0.007
32	0.5	0.6	0.008
33	0.5	0.6	0.008
34	0.5	0.6	0.008
35	0.5	0.6	0.008
36	0.5	0.5	0.008
37	0.5	0.5	0.007
38	0.5	0.5	0.006
39	0.4	0.5	0.006
40	0.5	0.5	0.005
41	0.5	0.5	0.006
42	0.5	0.5	0.007
43	0.5	0.5	0.008
44	0.5	0.5	0.009
45	0.5	0.5	0.010
46	0.5	0.5	0.009
47	0.5	0.5	0.005
48	0.5	0.5	0.003
49	0.4	0.5	0.002
50	0.4	0.5	0.001
51	0.4	0.5	0.001
52	0.4	0.5	0.000
53	0.4	0.5	0.001
54	0.4	0.5	0.003
55	0.5	0.5	0.007
56	0.5	0.5	0.008
57	0.5	0.5	0.008
58	0.5	0.5	0.008
59	0.5	0.5	0.008
60	0.5	0.5	0.008
61	0.5	0.5	0.007
62	0.5	0.5	0.006
63	0.5	0.5	0.006
64	0.5	0.5	0.005
65	0.5	0.5	0.006
66	0.5	0.5	0.007
67	0.5	0.5	0.008
68	0.5	0.5	0.009
69	0.5	0.5	0.010
70	0.5	0.5	0.009
71	0.6	0.5	0.005
72	0.6	0.5	0.003
73	0.5	0.5	0.002
74	0.5	0.5	0.001
75	0.5	0.5	0.001
76	0.5	0.5	0.000
77	0.5	0.5	0.001
78	0.5	0.5	0.003
79	0.5	0.5	0.007
80	0.5	0.5	0.008
81	0.5	0.5	0.008
82	0.5	0.5	0.008
83	0.4	0.5	0.008
84	0.4	0.5	0.008
85	0.4	0.5	0.007
86	0.4	0.5	0.006
87	0.4	0.5	0.006
88	0.4	0.5	0.005
89	0.4	0.5	0.006
90	0.4	0.5	0.007
91	0.4	0.5	0.008
92	0.4	0.5	0.009
93	0.4	0.5	0.010
94	0.4	0.5	0.009
95	0.4	0.5	0.005
96	0.4	0.5	0.003
97	0.3	0.5	0.002
98	0.3	0.5	0.001
99	0.3	0.5	0.001
100	0.3	0.5	0.000
101	0.4	0.5	0.001
102	0.4	0.5	0.003
103	0.4	0.5	0.007
104	0.5	0.5	0.008
105	0.5	0.5	0.008
106	0.5	0.5	0.008
107	0.5	0.5	0.008
108	0.5	0.5	0.008
109	0.5	0.5	0.007
110	0.5	0.5	0.006
111	0.5	0.5	0.006
112	0.5	0.5	0.005
113	0.5	0.5	0.006
114	0.6	0.5	0.007
115	0.6	0.5	0.008
116	0.6	0.5	0.009
117	0.6	0.5	0.010
118	0.6	0.5	0.009
119	0.6	0.5	0.005
120	0.6	0.5	0.003
121	0.6	0.5	0.002
122	0.6	0.5	0.001
123	0.5	0.5	0.001
124	0.5	0.5	0.000
125	0.5	0.5	0.001
126	0.5	0.5	0.003
127	0.5	0.5	0.007
128	0.6	0.5	0.008
129	0.6	0.5	0.008
130	0.5	0.5	0.008
131	0.5	0.5	0.008
132	0.5	0.5	0.008
133	0.4	0.5	0.007
134	0.4	0.5	0.006
135	0.4	0.5	0.006
136	0.4	0.5	0.005
137	0.4	0.5	0.006
138	0.4	0.5	0.007
139	0.4	0.5	0.008
140	0.4	0.5	0.009
141	0.4	0.5	0.010
142	0.4	0.5	0.009
143	0.4	0.5	0.005
144	0.4	0.5	0.003
145	0.3	0.5	0.002
146	0.3	0.5	0.001
147	0.3	0.5	0.001
148	0.3	0.5	0.000
149	0.3	0.5	0.001
150	0.3	0.5	0.003
151	0.3	0.5	0.007
152	0.4	0.5	0.008
153	0.4	0.5	0.008
154	0.4	0.5	0.008
155	0.4	0.5	0.008
156	0.3	0.5	0.008
157	0.3	0.5	0.007
158	0.3	0.5	0.006
159	0.3	0.5	0.006
160	0.3	0.5	0.005
161	0.3	0.5	0.006
162	0.3	0.5	0.007
163	0.4	0.5	0.008
164	0.4	0.5	0.009
165	0.4	0.5	0.010
166	0.4	0.5	0.009
167	0.4	0.5	0.005
168	0.4	0.5	0.003
169	0.3	0.5	0.002
170	0.3	0.5	0.001
171	0.3	0.5	0.001
172	0.3	0.5	0.000
173	0.3	0.5	0.001
174	0.3	0.5	0.003
175	0.3	0.5	0.007
176	0.4	0.5	0.008
177	0.4	0.5	0.008
178	0.4	0.5	0.008
179	0.4	0.5	0.008
180	0.3	0.5	0.008
181	0.3	0.5	0.007
182	0.3	0.5	0.006
183	0.3	0.5	0.006
184	0.3	0.5	0.005
185	0.3	0.5	0.006
186	0.3	0.5	0.007
187	0.3	0.5	0.008
188	0.3	0.5	0.009
189	0.3	0.5	0.010
190	0.3	0.5	0.009
191	0.3	0.5	0.005
192	0.3	0.5	0.003
193	0.2	0.5	0.002
194	0.2	0.5	0.001
195	0.2	0.5	0.001
196	0.2	0.5	0.000
197	0.2	0.5	0.001
198	0.2	0.5	0.003
199	0.2	0.5	0.007
200	0.3	0.5	0.008
201	0.3	0.5	0.008
202	0.3	0.5	0.008
203	0.3	0.5	0.008
204	0.3	0.5	0.008
205	0.3	0.5	0.007
206	0.2	0.5	0.006
207	0.2	0.5	0.006
208	0.2	0.5	0.005
209	0.2	0.5	0.006
210	0.2	0.5	0.007
211	0.2	0.5	0.008
212	0.2	0.5	0.009
213	0.2	0.5	0.010
214	0.2	0.5	0.009
215	0.2	0.5	0.005
216	0.2	0.5	0.003
217	0.1	0.5	0.002
218	0.1	0.5	0.001
219	0.1	0.5	0.001
220	0.1	0.5	0.000
221	0.1	0.5	0.001
222	0.2	0.5	0.003
223	0.2	0.5	0.007
224	0.3	0.5	0.008
225	0.3	0.5	0.008
226	0.3	0.5	0.008
227	0.3	0.5	0.008
228	0.3	0.5	0.008
229	0.3	0.5	0.007
230	0.3	0.5	0.006
231	0.3	0.5	0.006
232	0.3	0.5	0.005
233	0.3	0.5	0.006
