# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	12.8	19.9	0.303
2	13.1	19.8	0.164
3	13.6	19.4	0.064
4	13.4	19.4	0.046
5	13.6	19.4	0.139
6	13.6	19.3	0.349
7	13.4	18.6	0.944
8	13.3	18.5	1.010
9	13.4	18.0	1.014
10	12.6	17.9	1.063
11	12.7	17.8	1.014
12	12.0	17.8	0.983
13	11.6	17.8	0.910
14	11.7	17.7	0.800
15	11.6	17.7	0.729
16	12.0	17.7	0.681
17	12.7	17.7	0.707
18	13.7	17.7	0.877
19	14.6	17.7	0.979
20	14.9	17.7	1.211
21	15.0	17.7	1.244
22	15.5	17.6	1.160
23	15.9	17.6	0.698
24	16.4	17.6	0.438
25	16.9	17.6	0.303
26	16.5	17.5	0.164
27	16.6	17.5	0.064
28	16.6	17.4	0.046
29	16.4	17.4	0.139
30	16.2	17.4	0.349
31	16.5	17.3	0.944
32	16.7	17.3	1.010
33	16.3	17.3	1.014
34	16.0	17.2	1.063
35	15.4	17.2	1.014
36	14.8	17.2	0.983
37	14.5	17.1	0.910
38	14.3	17.1	0.800
39	13.8	17.1	0.729
40	14.1	17.0	0.681
41	14.8	17.0	0.707
42	15.4	17.0	0.877
43	15.6	16.9	0.979
44	15.6	16.9	1.211
45	15.8	16.9	1.244
46	15.8	16.9	1.160
47	15.9	16.8	0.698
48	15.9	16.8	0.438
49	15.9	16.8	0.303
50	15.8	16.8	0.164
51	16.0	16.8	0.064
52	16.3	16.8	0.046
53	16.4	16.7	0.139
54	16.2	16.7	0.349
55	16.7	16.7	0.944
56	16.5	16.7	1.010
57	16.3	16.7	1.014
58	16.4	16.7	1.063
59	16.0	16.7	1.014
60	15.8	16.6	0.983
61	15.2	16.6	0.910
62	14.8	16.6	0.800
63	14.5	16.6	0.729
64	14.5	16.6	0.681
65	14.6	16.6	0.707
66	15.2	16.6	0.877
67	15.7	16.5	0.979
68	16.1	16.5	1.211
69	16.6	16.5	1.244
70	17.0	16.5	1.160
71	17.3	16.5	0.698
72	17.5	16.4	0.438
73	17.7	16.4	0.303
74	17.7	16.4	0.164
75	17.6	16.4	0.064
76	17.7	16.4	0.046
77	17.7	16.4	0.139
78	17.6	16.4	0.349
79	17.2	16.3	0.944
80	16.6	16.3	1.010
81	16.2	16.3	1.014
82	15.3	16.3	1.063
83	13.9	16.3	1.014
84	12.9	16.3	0.983
85	11.9	16.3	0.910
86	11.5	16.2	0.800
87	11.6	16.2	0.729
88	11.5	16.2	0.681
89	11.7	16.2	0.707
90	11.9	16.2	0.877
91	11.8	16.2	0.979
92	11.5	16.2	1.211
93	11.9	16.1	1.244
94	12.1	16.1	1.160
95	12.2	16.1	0.698
96	12.3	16.1	0.438
97	12.2	16.1	0.303
98	12.4	16.1	0.164
99	12.9	16.1	0.064
100	13.2	16.1	0.046
101	13.5	16.0	0.139
102	13.7	16.0	0.349
