# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	2.4	4.6	0.187
2	2.5	4.6	0.101
3	2.6	4.4	0.040
4	2.6	4.4	0.029
5	2.6	4.4	0.086
6	2.6	4.4	0.215
7	2.6	4.3	0.582
8	3.1	4.3	0.623
9	3.2	4.3	0.625
10	3.0	4.3	0.655
11	3.0	4.3	0.625
12	2.8	4.3	0.606
13	2.7	4.2	0.561
14	2.8	4.2	0.493
15	2.7	4.2	0.450
16	2.8	4.2	0.420
17	3.0	4.2	0.436
18	3.2	4.2	0.541
19	3.5	4.2	0.603
20	3.5	4.2	0.747
21	3.6	4.2	0.767
22	3.7	4.2	0.715
23	3.8	4.2	0.430
24	3.9	4.2	0.270
25	3.4	4.2	0.187
26	3.3	4.2	0.101
27	3.3	4.2	0.040
28	3.3	4.2	0.029
29	3.3	4.1	0.086
30	3.2	4.1	0.215
31	3.3	4.1	0.582
32	4.0	4.1	0.623
33	3.9	4.1	0.625
34	3.8	4.1	0.655
35	3.7	4.1	0.625
36	3.5	4.1	0.606
37	3.4	4.1	0.561
38	3.4	4.1	0.493
39	3.3	4.1	0.450
40	3.4	4.1	0.420
41	3.5	4.1	0.436
42	3.7	4.1	0.541
43	3.7	4.1	0.603
44	3.7	4.0	0.747
45	3.7	4.0	0.767
46	3.8	4.0	0.715
47	3.8	4.0	0.430
48	3.8	4.0	0.270
49	3.2	4.0	0.187
50	3.1	4.0	0.101
51	3.2	4.0	0.040
52	3.2	4.0	0.029
53	3.3	4.0	0.086
54	3.2	4.0	0.215
55	3.3	4.0	0.582
56	3.9	4.0	0.623
57	3.9	4.0	0.625
58	3.9	3.9	0.655
59	3.8	3.9	0.625
60	3.7	3.9	0.606
61	3.6	3.9	0.561
62	3.5	3.9	0.493
63	3.4	3.9	0.450
64	3.4	3.9	0.420
65	3.5	3.9	0.436
66	3.6	3.9	0.541
67	3.7	3.9	0.603
68	3.8	3.9	0.747
69	3.9	3.9	0.767
70	4.0	3.9	0.715
71	4.1	3.9	0.430
72	4.2	3.9	0.270
73	3.6	3.8	0.187
74	3.6	3.8	0.101
75	3.6	3.8	0.040
76	3.6	3.8	0.029
77	3.6	3.8	0.086
78	3.5	3.8	0.215
79	3.5	3.8	0.582
80	3.9	3.8	0.623
81	3.8	3.8	0.625
82	3.6	3.8	0.655
83	3.3	3.8	0.625
84	3.0	3.8	0.606
85	2.8	3.8	0.561
86	2.7	3.8	0.493
87	2.7	3.8	0.450
88	2.7	3.8	0.420
89	2.8	3.8	0.436
90	2.8	3.8	0.541
91	2.8	3.8	0.603
92	2.7	3.8	0.747
93	2.8	3.8	0.767
94	2.9	3.8	0.715
95	2.9	3.8	0.430
96	2.9	3.8	0.270
97	2.3	3.8	0.187
98	2.3	3.8	0.101
99	2.4	3.8	0.040
100	2.5	3.8	0.029
101	2.6	3.8	0.086
102	2.6	3.8	0.215
103	2.8	3.8	0.582
104	3.4	3.8	0.623
105	3.5	3.7	0.625
106	3.5	3.7	0.655
107	3.5	3.7	0.625
108	3.6	3.7	0.606
109	3.6	3.7	0.561
110	3.7	3.7	0.493
111	3.8	3.7	0.450
112	3.8	3.7	0.420
113	4.0	3.7	0.436
114	4.2	3.7	0.541
115	4.2	3.7	0.603
116	4.1	3.7	0.747
117	4.2	3.7	0.767
118	4.4	3.7	0.715
119	4.6	3.7	0.430
120	4.6	3.7	0.270
121	4.1	3.7	0.187
122	4.1	3.7	0.101
123	4.0	3.7	0.040
124	4.0	3.7	0.029
125	3.8	3.7	0.086
126	3.6	3.7	0.215
127	3.6	3.7	0.582
128	4.2	3.7	0.623
129	4.1	3.7	0.625
130	4.0	3.7	0.655
131	3.7	3.7	0.625
132	3.5	3.7	0.606
133	3.3	3.7	0.561
134	3.0	3.7	0.493
135	2.9	3.7	0.450
136	2.8	3.7	0.420
137	2.8	3.7	0.436
138	2.9	3.7	0.541
139	2.8	3.6	0.603
140	2.8	3.6	0.747
141	2.8	3.6	0.767
142	2.8	3.6	0.715
143	2.8	3.6	0.430
144	2.8	3.6	0.270
145	2.1	3.6	0.187
146	2.2	3.6	0.101
147	2.2	3.6	0.040
148	2.2	3.6	0.029
149	2.4	3.6	0.086
150	2.3	3.6	0.215
151	2.3	3.6	0.582
152	3.0	3.6	0.623
153	2.9	3.6	0.625
154	2.7	3.6	0.655
155	2.7	3.6	0.625
156	2.5	3.6	0.606
157	2.4	3.6	0.561
158	2.2	3.6	0.493
159	2.1	3.6	0.450
160	2.1	3.6	0.420
161	2.3	3.6	0.436
162	2.5	3.6	0.541
163	2.6	3.6	0.603
164	2.7	3.6	0.747
165	2.8	3.6	0.767
166	2.9	3.6	0.715
167	3.1	3.6	0.430
168	3.1	3.6	0.270
169	2.5	3.6	0.187
170	2.5	3.6	0.101
171	2.5	3.6	0.040
172	2.4	3.6	0.029
173	2.4	3.6	0.086
174	2.3	3.6	0.215
175	2.3	3.6	0.582
176	2.8	3.6	0.623
177	2.8	3.6	0.625
178	2.8	3.6	0.655
179	2.6	3.6	0.625
180	2.5	3.5	0.606
181	2.5	3.5	0.561
182	2.5	3.5	0.493
183	2.5	3.5	0.450
184	2.5	3.5	0.420
185	2.5	3.5	0.436
186	2.5	3.5	0.541
187	2.6	3.5	0.603
188	2.4	3.5	0.747
189	2.3	3.5	0.767
190	2.3	3.5	0.715
191	2.2	3.5	0.430
192	2.1	3.5	0.270
193	1.4	3.5	0.187
194	1.4	3.5	0.101
195	1.5	3.5	0.040
196	1.5	3.5	0.029
197	1.4	3.5	0.086
198	1.3	3.5	0.215
199	1.4	3.5	0.582
200	2.0	3.5	0.623
201	2.0	3.5	0.625
202	1.9	3.5	0.655
203	1.9	3.5	0.625
204	1.9	3.5	0.606
205	1.9	3.5	0.561
206	1.7	3.5	0.493
207	1.5	3.5	0.450
208	1.5	3.5	0.420
209	1.5	3.5	0.436
210	1.5	3.5	0.541
211	1.5	3.5	0.603
212	1.5	3.5	0.747
213	1.5	3.5	0.767
214	1.5	3.5	0.715
215	1.5	3.5	0.430
216	1.4	3.5	0.270
217	0.8	3.5	0.187
218	0.8	3.5	0.101
219	0.9	3.5	0.040
220	1.0	3.5	0.029
221	1.1	3.5	0.086
222	1.1	3.4	0.215
223	1.3	3.4	0.582
224	1.9	3.4	0.623
225	1.9	3.4	0.625
226	1.9	3.4	0.655
227	2.0	3.4	0.625
228	1.9	3.4	0.606
229	1.9	3.4	0.561
230	1.9	3.4	0.493
231	1.9	3.4	0.450
232	2.0	3.4	0.420
233	2.2	3.4	0.436
234	2.3	3.4	0.541
235	2.4	3.4	0.603
236	2.5	3.4	0.747
237	2.7	3.4	0.767
238	2.9	3.4	0.715
239	3.0	3.4	0.430
240	3.1	3.4	0.270
241	2.6	3.4	0.187
242	2.6	3.4	0.101
243	2.6	3.4	0.040
244	2.7	3.4	0.029
245	2.6	3.4	0.086
246	2.6	3.4	0.215
247	2.6	3.4	0.582
248	3.2	3.4	0.623
249	3.2	3.4	0.625
250	3.1	3.4	0.655
251	3.1	3.4	0.625
252	2.8	3.4	0.606
253	2.8	3.4	0.561
254	2.6	3.4	0.493
255	2.6	3.4	0.450
256	2.7	3.4	0.420
257	2.9	3.4	0.436
258	2.9	3.4	0.541
259	3.0	3.4	0.603
260	3.1	3.4	0.747
261	3.2	3.4	0.767
262	3.3	3.4	0.715
263	3.3	3.3	0.430
264	3.3	3.3	0.270
265	2.7	3.3	0.187
266	2.7	3.3	0.101
267	2.7	3.3	0.040
268	2.7	3.3	0.029
269	2.6	3.3	0.086
270	2.7	3.3	0.215
271	2.6	3.3	0.582
272	3.3	3.3	0.623
273	3.3	3.3	0.625
274	3.2	3.3	0.655
275	3.1	3.3	0.625
276	2.9	3.3	0.606
277	2.7	3.3	0.561
278	2.7	3.3	0.493
279	2.6	3.3	0.450
280	2.6	3.3	0.420
281	2.5	3.3	0.436
282	2.6	3.3	0.541
283	2.6	3.3	0.603
284	2.6	3.3	0.747
285	2.7	3.3	0.767
286	2.7	3.3	0.715
287	2.7	3.3	0.430
288	2.8	3.3	0.270
289	2.1	3.3	0.187
290	2.1	3.3	0.101
291	2.0	3.3	0.040
292	2.0	3.3	0.029
293	2.1	3.3	0.086
294	2.1	3.3	0.215
295	2.0	3.3	0.582
296	2.6	3.3	0.623
297	2.6	3.3	0.625
298	2.6	3.3	0.655
299	2.5	3.3	0.625
300	2.4	3.3	0.606
301	2.3	3.3	0.561
302	2.2	3.3	0.493
303	2.2	3.3	0.450
304	2.1	3.3	0.420
305	2.2	3.3	0.436
306	2.2	3.3	0.541
307	2.2	3.3	0.603
308	2.3	3.3	0.747
309	2.3	3.3	0.767
310	2.4	3.3	0.715
311	2.4	3.3	0.430
312	2.5	3.3	0.270
313	1.9	3.3	0.187
314	1.9	3.3	0.101
315	1.9	3.3	0.040
316	1.8	3.3	0.029
317	1.8	3.3	0.086
318	1.7	3.3	0.215
319	1.8	3.3	0.582
320	2.4	3.2	0.623
321	2.4	3.2	0.625
322	2.4	3.2	0.655
323	2.4	3.2	0.625
324	2.4	3.2	0.606
325	2.3	3.2	0.561
326	2.2	3.2	0.493
327	2.1	3.2	0.450
328	2.0	3.2	0.420
329	2.1	3.2	0.436
330	2.1	3.2	0.541
331	2.2	3.2	0.603
332	2.3	3.2	0.747
333	2.3	3.2	0.767
334	2.3	3.2	0.715
335	2.4	3.2	0.430
336	2.3	3.2	0.270
337	1.7	3.2	0.187
338	1.8	3.2	0.101
339	1.8	3.2	0.040
340	1.9	3.2	0.029
341	2.0	3.2	0.086
342	2.0	3.2	0.215
343	2.0	3.2	0.582
344	2.7	3.2	0.623
345	2.7	3.2	0.625
346	2.8	3.2	0.655
347	2.7	3.2	0.625
348	2.6	3.2	0.606
349	2.6	3.2	0.561
350	2.7	3.2	0.493
351	2.7	3.2	0.450
352	2.7	3.2	0.420
353	2.8	3.2	0.436
354	2.9	3.2	0.541
355	2.9	3.2	0.603
356	3.0	3.2	0.747
357	3.0	3.2	0.767
358	3.1	3.2	0.715
359	3.1	3.2	0.430
360	3.0	3.2	0.270
361	2.4	3.2	0.187
362	2.4	3.2	0.101
363	2.5	3.2	0.040
364	2.5	3.2	0.029
365	2.5	3.2	0.086
366	2.6	3.2	0.215
367	2.6	3.2	0.582
368	3.3	3.2	0.623
369	3.2	3.2	0.625
370	3.3	3.2	0.655
371	3.1	3.2	0.625
372	3.0	3.1	0.606
373	2.9	3.1	0.561
374	2.8	3.1	0.493
375	2.9	3.1	0.450
376	3.0	3.1	0.420
377	3.2	3.1	0.436
378	3.4	3.1	0.541
379	3.5	3.1	0.603
380	3.5	3.1	0.747
381	3.6	3.1	0.767
382	3.7	3.1	0.715
383	3.9	3.1	0.430
384	4.0	3.1	0.270
385	3.6	3.1	0.187
386	3.6	3.1	0.101
387	3.6	3.1	0.040
388	3.6	3.1	0.029
389	3.6	3.1	0.086
390	3.5	3.1	0.215
391	3.5	3.1	0.582
392	4.1	3.1	0.623
393	3.9	3.1	0.625
394	3.7	3.1	0.655
395	3.6	3.1	0.625
396	3.4	3.1	0.606
397	3.1	3.1	0.561
398	2.9	3.1	0.493
399	2.9	3.1	0.450
400	2.8	3.1	0.420
401	2.8	3.1	0.436
402	2.9	3.1	0.541
403	2.9	3.1	0.603
404	2.9	3.1	0.747
405	3.0	3.1	0.767
406	2.9	3.1	0.715
407	2.9	3.1	0.430
408	2.9	3.1	0.270
409	2.1	3.1	0.187
410	2.2	3.1	0.101
411	2.3	3.1	0.040
412	2.3	3.1	0.029
413	2.3	3.1	0.086
414	2.3	3.1	0.215
415	2.4	3.1	0.582
416	3.1	3.1	0.623
417	3.0	3.1	0.625
418	2.9	3.1	0.655
419	2.9	3.1	0.625
420	2.8	3.1	0.606
421	2.8	3.1	0.561
422	2.8	3.1	0.493
423	2.8	3.1	0.450
424	2.9	3.1	0.420
425	2.9	3.1	0.436
426	2.9	3.1	0.541
427	3.1	3.1	0.603
428	3.1	3.1	0.747
429	3.3	3.1	0.767
430	3.3	3.1	0.715
431	3.3	3.1	0.430
432	3.3	3.1	0.270
433	2.7	3.1	0.187
434	2.8	3.1	0.101
435	2.9	3.1	0.040
436	3.0	3.1	0.029
437	2.9	3.1	0.086
438	2.9	3.1	0.215
439	2.8	3.1	0.582
440	3.5	3.1	0.623
441	3.4	3.1	0.625
442	3.4	3.1	0.655
443	3.4	3.1	0.625
444	3.3	3.0	0.606
445	3.2	3.0	0.561
446	3.1	3.0	0.493
447	3.0	3.0	0.450
448	3.0	3.0	0.420
449	3.0	3.0	0.436
450	3.0	3.0	0.541
451	3.1	3.0	0.603
452	3.2	3.0	0.747
453	3.3	3.0	0.767
454	3.4	3.0	0.715
455	3.3	3.0	0.430
456	3.2	3.0	0.270
457	2.7	3.0	0.187
458	2.8	3.0	0.101
459	2.8	3.0	0.040
460	2.9	3.0	0.029
461	2.9	3.0	0.086
462	2.9	3.0	0.215
463	2.9	3.0	0.582
464	3.5	3.0	0.623
465	3.6	3.0	0.625
466	3.4	3.0	0.655
467	3.3	3.0	0.625
468	3.2	3.0	0.606
469	3.0	3.0	0.561
470	3.0	3.0	0.493
471	2.9	3.0	0.450
472	2.8	3.0	0.420
473	2.8	3.0	0.436
474	2.8	3.0	0.541
475	2.9	3.0	0.603
476	3.0	3.0	0.747
477	2.9	3.0	0.767
478	3.0	3.0	0.715
479	3.0	3.0	0.430
480	3.0	3.0	0.270
481	2.4	3.0	0.187
482	2.6	3.0	0.101
483	2.6	3.0	0.040
484	2.7	3.0	0.029
485	2.7	3.0	0.086
486	2.6	3.0	0.215
487	2.7	3.0	0.582
488	3.3	3.0	0.623
489	3.2	3.0	0.625
490	3.1	3.0	0.655
491	3.0	3.0	0.625
492	2.8	3.0	0.606
493	2.8	3.0	0.561
494	2.7	3.0	0.493
495	2.7	3.0	0.450
496	2.7	3.0	0.420
497	2.7	3.0	0.436
