# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	0.1	0.2	0.003
2	0.1	0.2	0.002
3	0.1	0.2	0.001
4	0.1	0.2	0.000
5	0.1	0.2	0.001
6	0.1	0.2	0.003
7	0.1	0.2	0.009
8	0.1	0.2	0.009
9	0.1	0.2	0.009
10	0.1	0.2	0.010
11	0.1	0.2	0.009
12	0.1	0.2	0.009
13	0.1	0.2	0.008
14	0.1	0.2	0.007
15	0.1	0.2	0.007
16	0.1	0.2	0.006
17	0.1	0.2	0.007
18	0.1	0.2	0.008
19	0.1	0.2	0.009
20	0.1	0.2	0.011
21	0.1	0.2	0.011
22	0.1	0.2	0.011
23	0.1	0.2	0.006
24	0.1	0.2	0.004
25	0.2	0.2	0.003
26	0.1	0.2	0.002
27	0.1	0.2	0.001
28	0.1	0.2	0.000
29	0.1	0.2	0.001
30	0.1	0.2	0.003
31	0.1	0.2	0.009
32	0.1	0.2	0.009
33	0.1	0.2	0.009
34	0.1	0.2	0.010
35	0.1	0.2	0.009
36	0.1	0.2	0.009
37	0.1	0.2	0.008
38	0.1	0.2	0.007
39	0.1	0.2	0.007
40	0.1	0.2	0.006
41	0.1	0.2	0.007
42	0.1	0.2	0.008
43	0.1	0.2	0.009
44	0.1	0.2	0.011
45	0.1	0.2	0.011
46	0.1	0.2	0.011
47	0.1	0.2	0.006
48	0.1	0.2	0.004
49	0.1	0.2	0.003
50	0.1	0.2	0.002
51	0.1	0.2	0.001
52	0.1	0.2	0.000
53	0.1	0.2	0.001
54	0.1	0.2	0.003
55	0.1	0.2	0.009
56	0.1	0.2	0.009
57	0.1	0.2	0.009
58	0.1	0.2	0.010
59	0.1	0.2	0.009
60	0.1	0.2	0.009
61	0.1	0.2	0.008
62	0.1	0.2	0.007
63	0.1	0.2	0.007
64	0.1	0.2	0.006
65	0.1	0.2	0.007
66	0.1	0.2	0.008
67	0.1	0.2	0.009
68	0.1	0.2	0.011
69	0.1	0.2	0.011
70	0.2	0.2	0.011
71	0.2	0.2	0.006
72	0.2	0.2	0.004
73	0.2	0.2	0.003
74	0.2	0.2	0.002
75	0.2	0.2	0.001
76	0.2	0.2	0.000
77	0.2	0.2	0.001
78	0.2	0.2	0.003
79	0.2	0.2	0.009
80	0.1	0.2	0.009
81	0.1	0.2	0.009
82	0.1	0.2	0.010
83	0.1	0.2	0.009
84	0.1	0.2	0.009
85	0.1	0.2	0.008
86	0.1	0.2	0.007
87	0.1	0.2	0.007
88	0.1	0.2	0.006
89	0.1	0.2	0.007
90	0.1	0.2	0.008
91	0.1	0.2	0.009
92	0.1	0.2	0.011
93	0.1	0.2	0.011
94	0.1	0.2	0.011
95	0.1	0.2	0.006
96	0.1	0.2	0.004
97	0.1	0.2	0.003
98	0.1	0.1	0.002
99	0.1	0.1	0.001
100	0.1	0.1	0.000
101	0.1	0.1	0.001
102	0.1	0.1	0.003
103	0.1	0.1	0.009
104	0.1	0.1	0.009
105	0.1	0.1	0.009
106	0.1	0.1	0.010
107	0.1	0.1	0.009
108	0.1	0.1	0.009
109	0.1	0.1	0.008
110	0.1	0.1	0.007
111	0.1	0.1	0.007
112	0.1	0.1	0.006
113	0.2	0.1	0.007
114	0.2	0.1	0.008
115	0.2	0.1	0.009
116	0.2	0.1	0.011
117	0.2	0.1	0.011
118	0.2	0.1	0.011
119	0.2	0.1	0.006
120	0.2	0.1	0.004
121	0.2	0.1	0.003
122	0.2	0.1	0.002
123	0.2	0.1	0.001
124	0.2	0.1	0.000
125	0.2	0.1	0.001
126	0.2	0.1	0.003
127	0.2	0.1	0.009
128	0.2	0.1	0.009
129	0.2	0.1	0.009
130	0.1	0.1	0.010
131	0.1	0.1	0.009
132	0.1	0.1	0.009
133	0.1	0.1	0.008
134	0.1	0.1	0.007
135	0.1	0.1	0.007
136	0.1	0.1	0.006
137	0.1	0.1	0.007
138	0.1	0.1	0.008
139	0.1	0.1	0.009
140	0.1	0.1	0.011
141	0.1	0.1	0.011
142	0.1	0.1	0.011
143	0.1	0.1	0.006
144	0.1	0.1	0.004
145	0.1	0.1	0.003
146	0.1	0.1	0.002
147	0.1	0.1	0.001
148	0.1	0.1	0.000
149	0.1	0.1	0.001
150	0.1	0.1	0.003
151	0.1	0.1	0.009
152	0.1	0.1	0.009
153	0.1	0.1	0.009
154	0.1	0.1	0.010
155	0.1	0.1	0.009
156	0.1	0.1	0.009
157	0.1	0.1	0.008
158	0.1	0.1	0.007
159	0.1	0.1	0.007
160	0.1	0.1	0.006
161	0.1	0.1	0.007
162	0.1	0.1	0.008
163	0.1	0.1	0.009
164	0.1	0.1	0.011
165	0.1	0.1	0.011
166	0.1	0.1	0.011
167	0.1	0.1	0.006
168	0.1	0.1	0.004
169	0.1	0.1	0.003
170	0.1	0.1	0.002
171	0.1	0.1	0.001
172	0.1	0.1	0.000
173	0.1	0.1	0.001
174	0.1	0.1	0.003
175	0.1	0.1	0.009
176	0.1	0.1	0.009
177	0.1	0.1	0.009
178	0.1	0.1	0.010
179	0.1	0.1	0.009
180	0.1	0.1	0.009
181	0.1	0.1	0.008
182	0.1	0.1	0.007
183	0.1	0.1	0.007
184	0.1	0.1	0.006
185	0.1	0.1	0.007
186	0.1	0.1	0.008
187	0.1	0.1	0.009
188	0.1	0.1	0.011
189	0.1	0.1	0.011
190	0.1	0.1	0.011
191	0.1	0.1	0.006
192	0.1	0.1	0.004
193	0.1	0.1	0.003
194	0.1	0.1	0.002
195	0.1	0.1	0.001
196	0.1	0.1	0.000
197	0.1	0.1	0.001
198	0.1	0.1	0.003
199	0.1	0.1	0.009
200	0.1	0.1	0.009
201	0.1	0.1	0.009
202	0.1	0.1	0.010
203	0.1	0.1	0.009
204	0.1	0.1	0.009
205	0.1	0.1	0.008
206	0.1	0.1	0.007
207	0.1	0.1	0.007
208	0.1	0.1	0.006
209	0.1	0.1	0.007
210	0.1	0.1	0.008
211	0.1	0.1	0.009
212	0.1	0.1	0.011
213	0.1	0.1	0.011
214	0.1	0.1	0.011
215	0.1	0.1	0.006
216	0.1	0.1	0.004
217	0.1	0.1	0.003
218	0.1	0.1	0.002
219	0.1	0.1	0.001
220	0.1	0.1	0.000
221	0.1	0.1	0.001
222	0.1	0.1	0.003
223	0.1	0.1	0.009
224	0.1	0.1	0.009
225	0.1	0.1	0.009
226	0.1	0.1	0.010
227	0.1	0.1	0.009
228	0.1	0.1	0.009
229	0.1	0.1	0.008
230	0.1	0.1	0.007
231	0.1	0.1	0.007
232	0.1	0.1	0.006
233	0.1	0.1	0.007
234	0.1	0.1	0.008
235	0.1	0.1	0.009
236	0.1	0.1	0.011
237	0.1	0.1	0.011
238	0.1	0.1	0.011
239	0.1	0.1	0.006
240	0.1	0.1	0.004
241	0.1	0.1	0.003
242	0.1	0.1	0.002
243	0.1	0.1	0.001
244	0.1	0.1	0.000
245	0.1	0.1	0.001
246	0.1	0.1	0.003
247	0.1	0.1	0.009
248	0.1	0.1	0.009
249	0.1	0.1	0.009
250	0.1	0.1	0.010
251	0.1	0.1	0.009
252	0.1	0.1	0.009
253	0.1	0.1	0.008
254	0.1	0.1	0.007
255	0.1	0.1	0.007
256	0.1	0.1	0.006
257	0.1	0.1	0.007
258	0.1	0.1	0.008
259	0.1	0.1	0.009
260	0.1	0.1	0.011
261	0.1	0.1	0.011
262	0.1	0.1	0.011
263	0.1	0.1	0.006
264	0.1	0.1	0.004
265	0.1	0.1	0.003
266	0.1	0.1	0.002
267	0.1	0.1	0.001
268	0.1	0.1	0.000
269	0.1	0.1	0.001
270	0.1	0.1	0.003
271	0.1	0.1	0.009
272	0.1	0.1	0.009
273	0.1	0.1	0.009
274	0.1	0.1	0.010
275	0.1	0.1	0.009
276	0.1	0.1	0.009
277	0.1	0.1	0.008
278	0.1	0.1	0.007
279	0.1	0.1	0.007
280	0.1	0.1	0.006
281	0.1	0.1	0.007
282	0.1	0.1	0.008
283	0.1	0.1	0.009
284	0.1	0.1	0.011
285	0.1	0.1	0.011
286	0.1	0.1	0.011
287	0.1	0.1	0.006
288	0.1	0.1	0.004
289	0.1	0.1	0.003
290	0.1	0.1	0.002
291	0.1	0.1	0.001
292	0.1	0.1	0.000
293	0.1	0.1	0.001
294	0.1	0.1	0.003
295	0.1	0.1	0.009
296	0.1	0.1	0.009
297	0.1	0.1	0.009
298	0.1	0.1	0.010
299	0.1	0.1	0.009
300	0.1	0.1	0.009
301	0.1	0.1	0.008
302	0.1	0.1	0.007
303	0.1	0.1	0.007
304	0.1	0.1	0.006
305	0.1	0.1	0.007
306	0.1	0.1	0.008
307	0.1	0.1	0.009
308	0.1	0.1	0.011
309	0.1	0.1	0.011
310	0.1	0.1	0.011
311	0.1	0.1	0.006
312	0.1	0.1	0.004
313	0.1	0.1	0.003
314	0.1	0.1	0.002
315	0.1	0.1	0.001
316	0.1	0.1	0.000
317	0.1	0.1	0.001
318	0.1	0.1	0.003
319	0.1	0.1	0.009
320	0.1	0.1	0.009
321	0.1	0.1	0.009
