# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	19.8	30.8	0.666
2	20.2	30.7	0.360
3	21.1	30.1	0.141
4	20.8	30.0	0.102
5	21.0	30.0	0.306
6	21.1	29.9	0.768
7	20.8	28.7	2.076
8	20.6	28.7	2.222
9	20.7	27.8	2.232
10	19.6	27.7	2.339
11	19.6	27.6	2.232
12	18.5	27.6	2.164
13	18.0	27.5	2.003
14	18.1	27.5	1.760
15	18.0	27.5	1.604
16	18.6	27.5	1.497
17	19.7	27.4	1.556
18	21.3	27.4	1.930
19	22.7	27.4	2.154
20	23.1	27.4	2.664
21	23.3	27.4	2.737
22	24.0	27.3	2.552
23	24.6	27.2	1.536
24	25.4	27.2	0.963
25	26.2	27.2	0.666
26	25.6	27.2	0.360
27	25.7	27.2	0.141
28	25.8	27.0	0.102
29	25.5	26.9	0.306
30	25.0	26.9	0.768
31	25.5	26.8	2.076
32	25.9	26.8	2.222
33	25.2	26.7	2.232
34	24.7	26.7	2.339
35	23.9	26.6	2.232
36	22.9	26.4	2.164
37	22.4	26.4	2.003
38	22.2	26.4	1.760
39	21.4	26.3	1.604
40	21.9	26.3	1.497
41	22.9	26.2	1.556
42	23.9	26.2	1.930
43	24.1	26.1	2.154
44	24.2	26.1	2.664
45	24.5	26.1	2.737
46	24.5	26.1	2.552
47	24.6	26.0	1.536
48	24.6	26.0	0.963
49	24.6	26.0	0.666
50	24.5	25.9	0.360
51	24.7	25.9	0.141
52	25.2	25.9	0.102
53	25.4	25.9	0.306
54	25.1	25.8	0.768
55	25.9	25.8	2.076
56	25.5	25.8	2.222
57	25.3	25.8	2.232
58	25.4	25.7	2.339
59	24.7	25.7	2.232
60	24.5	25.7	2.164
61	23.5	25.7	2.003
62	22.9	25.7	1.760
63	22.5	25.6	1.604
64	22.4	25.6	1.497
65	22.7	25.5	1.556
66	23.6	25.5	1.930
67	24.4	25.5	2.154
68	24.9	25.5	2.664
69	25.7	25.4	2.737
70	26.3	25.4	2.552
71	26.8	25.4	1.536
72	27.2	25.4	0.963
73	27.5	25.4	0.666
74	27.5	25.3	0.360
75	27.2	25.3	0.141
76	27.4	25.3	0.102
77	27.4	25.3	0.306
78	27.2	25.3	0.768
79	26.7	25.3	2.076
80	25.8	25.2	2.222
81	25.0	25.2	2.232
82	23.7	25.2	2.339
83	21.6	25.1	2.232
84	19.9	25.1	2.164
85	18.4	25.1	2.003
86	17.8	25.1	1.760
87	18.0	25.0	1.604
88	17.9	25.0	1.497
89	18.2	25.0	1.556
90	18.4	25.0	1.930
91	18.3	25.0	2.154
92	17.9	24.9	2.664
93	18.4	24.9	2.737
94	18.8	24.9	2.552
95	18.9	24.8	1.536
96	19.0	24.8	0.963
97	19.0	24.8	0.666
98	19.1	24.8	0.360
99	19.9	24.8	0.141
100	20.4	24.7	0.102
101	21.0	24.7	0.306
102	21.3	24.7	0.768
103	22.0	24.7	2.076
104	22.3	24.6	2.222
105	22.7	24.6	2.232
106	22.7	24.6	2.339
107	23.1	24.6	2.232
108	23.2	24.6	2.164
109	23.3	24.6	2.003
110	23.9	24.6	1.760
111	25.1	24.6	1.604
112	25.0	24.5	1.497
113	26.1	24.5	1.556
114	27.2	24.5	1.930
115	27.4	24.5	2.154
116	26.9	24.5	2.664
117	27.6	24.5	2.737
118	28.7	24.5	2.552
119	29.9	24.5	1.536
120	30.0	24.4	0.963
121	30.7	24.4	0.666
122	30.8	24.4	0.360
123	30.1	24.4	0.141
124	30.0	24.4	0.102
125	28.7	24.4	0.306
126	27.8	24.4	0.768
127	27.5	24.3	2.076
128	27.3	24.3	2.222
129	26.9	24.3	2.232
130	25.9	24.3	2.339
131	24.4	24.3	2.232
132	23.2	24.2	2.164
133	21.4	24.2	2.003
134	20.1	24.1	1.760
135	19.5	24.1	1.604
136	18.6	24.1	1.497
137	18.5	24.1	1.556
138	19.1	24.1	1.930
139	18.3	24.1	2.154
140	18.2	24.1	2.664
141	18.3	24.1	2.737
142	18.3	24.1	2.552
143	18.3	24.1	1.536
144	18.2	24.0	0.963
145	17.9	24.0	0.666
146	18.3	24.0	0.360
147	18.4	24.0	0.141
148	18.7	24.0	0.102
149	19.4	24.0	0.306
150	19.0	24.0	0.768
151	19.1	24.0	2.076
152	19.5	24.0	2.222
153	19.2	23.9	2.232
154	18.0	23.9	2.339
155	17.5	23.9	2.232
156	16.6	23.9	2.164
157	15.9	23.9	2.003
158	14.5	23.9	1.760
159	14.0	23.9	1.604
160	13.9	23.9	1.497
161	15.2	23.9	1.556
162	16.0	23.9	1.930
163	17.3	23.9	2.154
164	17.5	23.8	2.664
165	18.5	23.8	2.737
166	18.7	23.8	2.552
167	20.0	23.8	1.536
168	20.2	23.8	0.963
169	20.6	23.8	0.666
170	20.5	23.8	0.360
171	20.7	23.8	0.141
172	19.9	23.8	0.102
173	19.7	23.8	0.306
174	18.9	23.8	0.768
175	18.9	23.7	2.076
176	18.6	23.7	2.222
177	18.6	23.7	2.232
178	18.1	23.7	2.339
179	17.1	23.7	2.232
180	16.3	23.7	2.164
181	16.6	23.7	2.003
182	16.1	23.7	1.760
183	16.5	23.6	1.604
184	16.4	23.6	1.497
185	16.2	23.6	1.556
186	16.4	23.6	1.930
187	16.8	23.6	2.154
188	15.9	23.6	2.664
189	15.3	23.6	2.737
190	15.3	23.6	2.552
191	14.6	23.5	1.536
192	14.0	23.5	0.963
193	13.2	23.5	0.666
194	13.2	23.5	0.360
195	13.8	23.5	0.141
196	13.9	23.5	0.102
197	13.3	23.5	0.306
198	12.6	23.5	0.768
199	13.2	23.5	2.076
200	13.1	23.5	2.222
201	13.4	23.5	2.232
202	12.4	23.5	2.339
203	12.2	23.4	2.232
204	12.4	23.4	2.164
205	12.2	23.4	2.003
206	11.1	23.4	1.760
207	10.2	23.4	1.604
208	9.9	23.4	1.497
209	10.0	23.4	1.556
210	9.7	23.4	1.930
211	9.8	23.3	2.154
212	9.9	23.3	2.664
213	9.8	23.3	2.737
214	9.8	23.3	2.552
215	9.6	23.3	1.536
216	9.0	23.3	0.963
217	9.2	23.3	0.666
218	9.6	23.3	0.360
219	10.0	23.3	0.141
220	10.5	23.3	0.102
221	11.0	23.3	0.306
222	11.6	23.3	0.768
223	12.3	23.3	2.076
224	12.5	23.3	2.222
225	12.5	23.2	2.232
226	12.8	23.2	2.339
227	12.8	23.2	2.232
228	12.6	23.2	2.164
229	12.2	23.2	2.003
230	12.5	23.2	1.760
231	12.2	23.2	1.604
232	13.4	23.1	1.497
233	14.2	23.1	1.556
234	15.4	23.1	1.930
235	15.5	23.1	2.154
236	16.3	23.1	2.664
237	17.4	23.1	2.737
238	18.8	23.1	2.552
239	19.8	23.1	1.536
240	20.5	23.1	0.963
241	21.3	23.1	0.666
242	21.3	23.1	0.360
243	21.3	23.1	0.141
244	21.4	23.1	0.102
245	21.3	23.0	0.306
246	21.1	23.0	0.768
247	21.0	23.0	2.076
248	20.7	23.0	2.222
249	21.0	23.0	2.232
250	20.1	23.0	2.339
251	20.1	23.0	2.232
252	18.4	23.0	2.164
253	18.1	23.0	2.003
254	16.8	23.0	1.760
255	17.1	23.0	1.604
256	17.7	23.0	1.497
257	19.2	22.9	1.556
258	19.1	22.9	1.930
259	19.4	22.9	2.154
260	20.2	22.9	2.664
261	20.7	22.9	2.737
262	21.4	22.9	2.552
263	21.3	22.9	1.536
264	21.5	22.9	0.963
265	21.5	22.9	0.666
266	21.9	22.9	0.360
267	21.7	22.9	0.141
268	21.7	22.9	0.102
269	21.2	22.9	0.306
270	21.6	22.8	0.768
271	21.3	22.8	2.076
272	21.5	22.8	2.222
273	21.6	22.8	2.232
274	20.9	22.8	2.339
275	20.1	22.8	2.232
276	18.9	22.8	2.164
277	17.9	22.8	2.003
278	17.2	22.7	1.760
279	16.7	22.7	1.604
280	16.8	22.7	1.497
281	16.6	22.7	1.556
282	17.0	22.7	1.930
283	17.1	22.7	2.154
284	17.0	22.7	2.664
285	17.7	22.7	2.737
286	17.9	22.7	2.552
287	17.9	22.7	1.536
