# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	10.8	16.5	0.000
2	11.0	16.5	0.000
3	11.4	16.1	0.000
4	11.3	16.1	0.000
5	11.4	16.1	0.000
6	11.5	16.0	0.000
7	11.3	15.8	0.000
8	11.2	15.7	0.000
9	11.3	15.6	0.000
10	10.6	15.6	0.000
11	10.7	15.6	0.000
12	10.1	15.5	0.000
13	9.8	15.5	0.000
14	9.9	15.5	0.000
15	9.8	15.4	0.000
16	10.1	15.4	0.000
17	10.7	15.4	0.000
18	11.5	15.4	0.000
19	12.3	15.4	0.000
20	12.5	15.4	0.000
21	12.6	15.3	0.000
22	13.0	15.3	0.000
23	13.2	15.2	0.000
24	13.7	15.2	0.000
25	14.1	15.2	0.000
26	13.8	15.2	0.000
27	13.9	15.2	0.000
28	13.9	15.1	0.000
29	13.7	15.1	0.000
30	13.5	15.1	0.000
31	13.8	15.0	0.000
32	13.9	15.0	0.000
33	13.6	15.0	0.000
34	13.3	15.0	0.000
35	12.9	15.0	0.000
36	12.4	14.9	0.000
37	12.2	14.9	0.000
38	12.0	14.9	0.000
39	11.6	14.9	0.000
40	11.9	14.9	0.000
41	12.4	14.8	0.000
42	12.9	14.8	0.000
43	13.0	14.8	0.000
44	13.1	14.8	0.000
45	13.2	14.8	0.000
46	13.2	14.8	0.000
47	13.3	14.8	0.000
48	13.3	14.8	0.000
49	13.3	14.8	0.000
50	13.2	14.8	0.000
51	13.3	14.8	0.000
52	13.6	14.8	0.000
53	13.7	14.7	0.000
54	13.5	14.7	0.000
55	13.9	14.7	0.000
56	13.7	14.7	0.000
57	13.6	14.7	0.000
58	13.7	14.7	0.000
59	13.3	14.7	0.000
60	13.2	14.7	0.000
61	12.7	14.7	0.000
62	12.4	14.7	0.000
63	12.2	14.6	0.000
64	12.1	14.6	0.000
65	12.3	14.6	0.000
66	12.7	14.6	0.000
67	13.1	14.6	0.000
68	13.4	14.6	0.000
69	13.8	14.6	0.000
70	14.1	14.6	0.000
71	14.4	14.5	0.000
72	14.6	14.5	0.000
73	14.8	14.5	0.000
74	14.8	14.5	0.000
75	14.6	14.5	0.000
76	14.7	14.5	0.000
77	14.7	14.5	0.000
78	14.6	14.4	0.000
79	14.3	14.4	0.000
80	13.9	14.4	0.000
81	13.5	14.4	0.000
82	12.8	14.4	0.000
83	11.7	14.3	0.000
84	10.8	14.3	0.000
85	10.0	14.2	0.000
86	9.7	14.2	0.000
87	9.8	14.2	0.000
88	9.8	14.2	0.000
89	9.9	14.1	0.000
90	10.0	14.1	0.000
91	10.0	14.1	0.000
92	9.8	14.1	0.000
93	10.1	14.0	0.000
94	10.2	14.0	0.000
95	10.3	14.0	0.000
96	10.3	14.0	0.000
97	10.3	13.9	0.000
98	10.4	13.9	0.000
99	10.8	13.9	0.000
100	11.1	13.9	0.000
101	11.4	13.9	0.000
102	11.5	13.9	0.000
103	11.9	13.9	0.000
104	12.1	13.9	0.000
105	12.3	13.9	0.000
106	12.3	13.8	0.000
107	12.5	13.8	0.000
