# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	9.3	14.5	0.255
2	9.5	14.5	0.138
3	9.9	14.2	0.054
4	9.8	14.1	0.039
5	9.9	14.1	0.117
6	9.9	14.1	0.295
7	9.8	13.5	0.796
8	9.7	13.5	0.852
9	9.8	13.1	0.856
10	9.2	13.0	0.897
11	9.2	13.0	0.856
12	8.7	13.0	0.830
13	8.5	12.9	0.768
14	8.5	12.9	0.675
15	8.5	12.9	0.615
16	8.7	12.9	0.574
17	9.3	12.9	0.597
18	10.0	12.9	0.740
19	10.7	12.9	0.826
20	10.9	12.9	1.022
21	11.0	12.9	1.050
22	11.3	12.8	0.979
23	11.6	12.8	0.589
24	12.0	12.8	0.369
25	12.4	12.8	0.255
26	12.0	12.8	0.138
27	12.1	12.8	0.054
28	12.1	12.7	0.039
29	12.0	12.7	0.117
30	11.8	12.7	0.295
31	12.0	12.6	0.796
32	12.2	12.6	0.852
33	11.9	12.6	0.856
34	11.6	12.6	0.897
35	11.3	12.6	0.856
36	10.8	12.5	0.830
37	10.6	12.4	0.768
38	10.4	12.4	0.675
39	10.1	12.4	0.615
40	10.3	12.4	0.574
41	10.8	12.4	0.597
42	11.3	12.4	0.740
43	11.3	12.4	0.826
44	11.4	12.3	1.022
45	11.5	12.3	1.050
46	11.6	12.3	0.979
47	11.6	12.3	0.589
48	11.6	12.3	0.369
49	11.6	12.3	0.255
50	11.6	12.3	0.138
51	11.6	12.3	0.054
52	11.9	12.2	0.039
53	12.0	12.2	0.117
54	11.8	12.2	0.295
55	12.2	12.2	0.796
56	12.0	12.2	0.852
57	11.9	12.2	0.856
58	12.0	12.2	0.897
59	11.6	12.2	0.856
60	11.5	12.1	0.830
61	11.1	12.1	0.768
62	10.8	12.1	0.675
63	10.6	12.1	0.615
64	10.6	12.1	0.574
65	10.7	12.1	0.597
66	11.1	12.1	0.740
67	11.5	12.0	0.826
68	11.7	12.0	1.022
69	12.1	12.0	1.050
70	12.4	12.0	0.979
71	12.6	12.0	0.589
72	12.8	12.0	0.369
73	12.9	12.0	0.255
74	12.9	12.0	0.138
75	12.8	12.0	0.054
76	12.9	12.0	0.039
77	12.9	11.9	0.117
78	12.8	11.9	0.295
79	12.5	11.9	0.796
80	12.1	11.9	0.852
81	11.8	11.9	0.856
82	11.2	11.9	0.897
83	10.2	11.9	0.856
84	9.4	11.9	0.830
85	8.7	11.8	0.768
86	8.4	11.8	0.675
87	8.5	11.8	0.615
88	8.4	11.8	0.574
89	8.6	11.8	0.597
90	8.7	11.8	0.740
91	8.6	11.8	0.826
92	8.4	11.8	1.022
93	8.7	11.8	1.050
94	8.8	11.8	0.979
95	8.9	11.8	0.589
96	8.9	11.8	0.369
97	8.9	11.7	0.255
98	9.0	11.7	0.138
99	9.4	11.7	0.054
100	9.6	11.7	0.039
101	9.9	11.7	0.117
102	10.0	11.7	0.295
103	10.4	11.7	0.796
104	10.5	11.6	0.852
105	10.7	11.6	0.856
106	10.7	11.6	0.897
107	10.9	11.6	0.856
108	10.9	11.6	0.830
109	11.0	11.6	0.768
110	11.2	11.6	0.675
111	11.8	11.6	0.615
112	11.8	11.6	0.574
113	12.3	11.6	0.597
114	12.8	11.6	0.740
115	12.9	11.6	0.826
116	12.7	11.6	1.022
117	13.0	11.6	1.050
118	13.5	11.6	0.979
119	14.1	11.6	0.589
120	14.1	11.6	0.369
121	14.5	11.6	0.255
122	14.5	11.5	0.138
123	14.2	11.5	0.054
124	14.1	11.5	0.039
125	13.5	11.5	0.117
126	13.1	11.5	0.295
127	12.9	11.5	0.796
128	12.8	11.5	0.852
129	12.7	11.5	0.856
130	12.2	11.5	0.897
131	11.5	11.5	0.856
132	10.9	11.5	0.830
133	10.1	11.5	0.768
134	9.5	11.5	0.675
135	9.2	11.5	0.615
136	8.7	11.5	0.574
137	8.7	11.5	0.597
138	9.0	11.5	0.740
139	8.6	11.4	0.826
140	8.6	11.4	1.022
141	8.6	11.4	1.050
142	8.6	11.4	0.979
143	8.6	11.4	0.589
144	8.6	11.4	0.369
145	8.4	11.4	0.255
146	8.6	11.4	0.138
147	8.7	11.4	0.054
148	8.8	11.4	0.039
149	9.1	11.4	0.117
150	9.0	11.4	0.295
151	9.0	11.3	0.796
152	9.2	11.3	0.852
153	9.0	11.3	0.856
154	8.5	11.3	0.897
155	8.2	11.3	0.856
156	7.8	11.3	0.830
157	7.5	11.3	0.768
158	6.8	11.3	0.675
159	6.6	11.3	0.615
160	6.5	11.3	0.574
161	7.1	11.3	0.597
162	7.6	11.3	0.740
163	8.1	11.3	0.826
164	8.3	11.3	1.022
165	8.7	11.3	1.050
166	8.8	11.3	0.979
167	9.4	11.3	0.589
168	9.5	11.3	0.369
169	9.7	11.3	0.255
170	9.6	11.3	0.138
171	9.7	11.3	0.054
172	9.4	11.3	0.039
173	9.3	11.3	0.117
174	8.9	11.3	0.295
175	8.9	11.3	0.796
176	8.8	11.3	0.852
177	8.7	11.2	0.856
178	8.5	11.2	0.897
179	8.1	11.2	0.856
180	7.7	11.2	0.830
181	7.8	11.2	0.768
182	7.6	11.2	0.675
183	7.8	11.2	0.615
184	7.7	11.2	0.574
185	7.6	11.2	0.597
186	7.7	11.2	0.740
187	7.9	11.2	0.826
188	7.5	11.2	1.022
189	7.2	11.2	1.050
190	7.2	11.2	0.979
191	6.9	11.2	0.589
192	6.6	11.2	0.369
193	6.2	11.2	0.255
194	6.2	11.2	0.138
195	6.5	11.2	0.054
196	6.5	11.2	0.039
197	6.3	11.1	0.117
198	5.9	11.1	0.295
199	6.2	11.1	0.796
200	6.2	11.1	0.852
201	6.3	11.1	0.856
202	5.8	11.1	0.897
203	5.8	11.1	0.856
204	5.8	11.1	0.830
205	5.7	11.1	0.768
206	5.2	11.1	0.675
207	4.8	11.1	0.615
208	4.6	11.1	0.574
209	4.7	11.1	0.597
210	4.6	11.1	0.740
211	4.6	11.1	0.826
212	4.7	11.1	1.022
213	4.6	11.1	1.050
214	4.6	11.1	0.979
215	4.5	11.1	0.589
216	4.2	11.1	0.369
217	4.3	11.1	0.255
218	4.5	11.1	0.138
219	4.7	11.0	0.054
220	4.9	11.0	0.039
221	5.2	11.0	0.117
222	5.4	11.0	0.295
223	5.8	11.0	0.796
224	5.9	11.0	0.852
225	5.9	11.0	0.856
226	6.0	11.0	0.897
227	6.0	11.0	0.856
228	5.9	11.0	0.830
229	5.8	11.0	0.768
230	5.9	11.0	0.675
231	5.8	11.0	0.615
232	6.3	11.0	0.574
233	6.7	11.0	0.597
234	7.2	11.0	0.740
235	7.3	11.0	0.826
236	7.7	11.0	1.022
237	8.2	11.0	1.050
238	8.9	10.9	0.979
239	9.3	10.9	0.589
240	9.7	10.9	0.369
241	10.0	10.9	0.255
242	10.0	10.9	0.138
243	10.0	10.9	0.054
244	10.1	10.9	0.039
245	10.0	10.9	0.117
246	9.9	10.9	0.295
247	9.9	10.9	0.796
248	9.7	10.9	0.852
249	9.9	10.9	0.856
250	9.4	10.9	0.897
251	9.5	10.9	0.856
252	8.7	10.9	0.830
253	8.5	10.9	0.768
254	7.9	10.9	0.675
255	8.0	10.9	0.615
256	8.3	10.9	0.574
257	9.0	10.9	0.597
258	9.0	10.9	0.740
259	9.1	10.8	0.826
260	9.5	10.8	1.022
261	9.7	10.8	1.050
262	10.1	10.8	0.979
263	10.0	10.8	0.589
264	10.1	10.8	0.369
265	10.1	10.8	0.255
266	10.3	10.8	0.138
267	10.2	10.8	0.054
268	10.2	10.8	0.039
269	10.0	10.8	0.117
270	10.2	10.8	0.295
271	10.0	10.8	0.796
272	10.1	10.8	0.852
273	10.2	10.8	0.856
274	9.8	10.8	0.897
