# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	1.9	3.0	0.103
2	1.9	3.0	0.055
3	2.0	2.9	0.022
4	2.0	2.9	0.016
5	2.0	2.9	0.047
6	2.0	2.9	0.118
7	2.0	2.8	0.320
8	2.0	2.8	0.342
9	2.0	2.8	0.344
10	1.9	2.8	0.360
11	1.9	2.8	0.344
12	1.8	2.8	0.333
13	1.7	2.8	0.309
14	1.7	2.8	0.271
15	1.7	2.8	0.247
16	1.8	2.8	0.231
17	1.9	2.8	0.240
18	2.0	2.8	0.297
19	2.2	2.7	0.332
20	2.2	2.7	0.411
21	2.2	2.7	0.422
22	2.3	2.7	0.393
23	2.4	2.7	0.237
24	2.4	2.7	0.148
25	2.5	2.7	0.103
26	2.5	2.7	0.055
27	2.5	2.7	0.022
28	2.5	2.7	0.016
29	2.4	2.7	0.047
30	2.4	2.7	0.118
31	2.5	2.7	0.320
32	2.5	2.7	0.342
33	2.4	2.7	0.344
34	2.4	2.7	0.360
35	2.3	2.7	0.344
36	2.2	2.7	0.333
37	2.2	2.7	0.309
38	2.1	2.7	0.271
39	2.1	2.7	0.247
40	2.1	2.7	0.231
41	2.2	2.7	0.240
42	2.3	2.6	0.297
43	2.3	2.6	0.332
44	2.3	2.6	0.411
45	2.4	2.6	0.422
46	2.4	2.6	0.393
47	2.4	2.6	0.237
48	2.4	2.6	0.148
49	2.4	2.6	0.103
50	2.4	2.6	0.055
51	2.4	2.6	0.022
52	2.4	2.6	0.016
53	2.4	2.6	0.047
54	2.4	2.6	0.118
55	2.5	2.6	0.320
56	2.5	2.6	0.342
57	2.4	2.6	0.344
58	2.4	2.6	0.360
59	2.4	2.6	0.344
60	2.4	2.6	0.333
61	2.3	2.6	0.309
62	2.2	2.6	0.271
63	2.2	2.6	0.247
64	2.2	2.6	0.231
65	2.2	2.6	0.240
66	2.3	2.6	0.297
67	2.3	2.6	0.332
68	2.4	2.6	0.411
69	2.5	2.6	0.422
70	2.5	2.6	0.393
71	2.6	2.6	0.237
72	2.6	2.6	0.148
73	2.6	2.6	0.103
74	2.6	2.6	0.055
75	2.6	2.6	0.022
76	2.6	2.6	0.016
77	2.6	2.6	0.047
78	2.6	2.6	0.118
79	2.6	2.6	0.320
80	2.5	2.6	0.342
81	2.4	2.6	0.344
82	2.3	2.6	0.360
83	2.1	2.6	0.344
84	1.9	2.5	0.333
