# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	4.2	6.5	0.308
2	4.2	6.5	0.166
3	4.4	6.3	0.065
4	4.4	6.3	0.047
5	4.4	6.3	0.141
6	4.4	6.3	0.355
7	4.4	6.1	0.959
8	4.3	6.1	1.026
9	4.4	6.0	1.031
10	4.1	6.0	1.080
11	4.1	6.0	1.031
12	3.9	6.0	0.999
13	3.8	6.0	0.925
14	3.8	6.0	0.813
15	3.8	6.0	0.741
16	3.9	6.0	0.692
17	4.1	6.0	0.719
18	4.5	6.0	0.892
19	4.8	6.0	0.995
20	4.8	5.9	1.231
21	4.9	5.9	1.264
22	5.0	5.9	1.179
23	5.2	5.9	0.710
24	5.3	5.9	0.445
25	5.5	5.9	0.308
26	5.4	5.9	0.166
27	5.4	5.9	0.065
28	5.4	5.9	0.047
29	5.3	5.8	0.141
30	5.3	5.8	0.355
31	5.4	5.8	0.959
32	5.4	5.8	1.026
33	5.3	5.8	1.031
34	5.2	5.8	1.080
35	5.0	5.8	1.031
36	4.8	5.8	0.999
37	4.7	5.8	0.925
38	4.7	5.8	0.813
39	4.5	5.8	0.741
40	4.6	5.8	0.692
41	4.8	5.8	0.719
42	5.0	5.8	0.892
43	5.1	5.8	0.995
44	5.1	5.8	1.231
45	5.1	5.8	1.264
46	5.2	5.8	1.179
47	5.2	5.8	0.710
48	5.2	5.7	0.445
49	5.2	5.7	0.308
50	5.2	5.7	0.166
51	5.2	5.7	0.065
52	5.3	5.7	0.047
53	5.3	5.7	0.141
54	5.3	5.7	0.355
55	5.4	5.7	0.959
56	5.4	5.7	1.026
57	5.3	5.7	1.031
58	5.3	5.7	1.080
59	5.2	5.7	1.031
60	5.1	5.7	0.999
61	4.9	5.7	0.925
62	4.8	5.7	0.813
63	4.7	5.7	0.741
64	4.7	5.7	0.692
65	4.8	5.7	0.719
66	4.9	5.7	0.892
67	5.1	5.7	0.995
68	5.2	5.7	1.231
69	5.4	5.7	1.264
70	5.5	5.6	1.179
71	5.6	5.6	0.710
72	5.7	5.6	0.445
73	5.8	5.6	0.308
74	5.8	5.6	0.166
75	5.7	5.6	0.065
76	5.8	5.6	0.047
77	5.7	5.6	0.141
78	5.7	5.6	0.355
79	5.6	5.6	0.959
80	5.4	5.6	1.026
81	5.3	5.6	1.031
82	5.0	5.6	1.080
83	4.5	5.6	1.031
84	4.2	5.5	0.999
85	3.9	5.5	0.925
86	3.7	5.5	0.813
87	3.8	5.5	0.741
88	3.7	5.5	0.692
89	3.8	5.5	0.719
90	3.9	5.5	0.892
91	3.8	5.5	0.995
92	3.7	5.4	1.231
93	3.9	5.4	1.264
94	3.9	5.4	1.179
95	4.0	5.4	0.710
