# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	5.8	10.9	0.143
2	5.9	10.9	0.077
3	6.2	10.5	0.030
4	6.1	10.5	0.022
5	6.2	10.4	0.066
6	6.2	10.4	0.165
7	6.1	10.4	0.447
8	7.5	10.3	0.479
9	7.6	10.3	0.481
10	7.1	10.2	0.504
11	7.1	10.2	0.481
12	6.7	10.2	0.466
13	6.5	10.2	0.431
14	6.6	10.1	0.379
15	6.5	10.1	0.346
16	6.7	10.1	0.323
17	7.2	10.1	0.335
18	7.7	10.1	0.416
19	8.3	10.1	0.464
20	8.4	10.0	0.574
21	8.5	10.0	0.590
22	8.7	10.0	0.550
23	8.9	10.0	0.331
24	9.3	10.0	0.207
25	8.1	10.0	0.143
26	7.9	10.0	0.077
27	7.9	9.9	0.030
28	7.9	9.9	0.022
29	7.8	9.9	0.066
30	7.7	9.9	0.165
31	7.8	9.9	0.447
32	9.4	9.9	0.479
33	9.2	9.8	0.481
34	9.0	9.8	0.504
35	8.7	9.8	0.481
36	8.4	9.8	0.466
37	8.2	9.8	0.431
38	8.1	9.8	0.379
39	7.8	9.8	0.346
40	8.0	9.8	0.323
41	8.3	9.8	0.335
42	8.7	9.7	0.416
43	8.8	9.7	0.464
44	8.8	9.7	0.574
45	8.9	9.6	0.590
46	8.9	9.6	0.550
47	9.0	9.6	0.331
48	9.0	9.6	0.207
49	7.5	9.6	0.143
50	7.5	9.5	0.077
51	7.5	9.5	0.030
52	7.7	9.5	0.022
53	7.8	9.5	0.066
54	7.7	9.5	0.165
55	8.0	9.5	0.447
56	9.3	9.5	0.479
57	9.2	9.5	0.481
58	9.3	9.5	0.504
59	9.0	9.4	0.481
60	8.9	9.4	0.466
61	8.5	9.4	0.431
62	8.3	9.4	0.379
63	8.2	9.4	0.346
64	8.2	9.4	0.323
65	8.3	9.3	0.335
66	8.6	9.3	0.416
67	8.9	9.3	0.464
68	9.1	9.3	0.574
