# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	8.4	13.0	0.647
2	8.5	13.0	0.349
3	8.9	12.7	0.137
4	8.8	12.7	0.099
5	8.9	12.7	0.298
6	8.9	12.6	0.746
7	8.8	12.3	2.016
8	8.7	12.2	2.158
9	8.8	12.2	2.168
10	8.3	12.1	2.271
11	8.3	12.1	2.168
12	7.8	12.1	2.101
13	7.6	12.1	1.946
14	7.6	12.1	1.709
15	7.6	12.1	1.558
16	7.8	12.0	1.454
17	8.3	12.0	1.511
18	9.0	12.0	1.875
19	9.6	12.0	2.092
20	9.7	12.0	2.588
21	9.8	11.9	2.659
22	10.1	11.9	2.479
23	10.4	11.9	1.492
24	10.8	11.8	0.935
25	11.1	11.8	0.647
26	10.8	11.8	0.349
27	10.9	11.8	0.137
28	10.9	11.8	0.099
29	10.8	11.8	0.298
30	10.6	11.7	0.746
31	10.8	11.7	2.016
32	10.9	11.7	2.158
33	10.7	11.7	2.168
34	10.4	11.7	2.271
35	10.1	11.7	2.168
36	9.7	11.7	2.101
37	9.5	11.6	1.946
38	9.4	11.6	1.709
39	9.1	11.6	1.558
40	9.3	11.6	1.454
41	9.7	11.6	1.511
42	10.1	11.6	1.875
43	10.2	11.6	2.092
44	10.2	11.6	2.588
45	10.4	11.6	2.659
46	10.4	11.6	2.479
47	10.4	11.6	1.492
48	10.4	11.6	0.935
49	10.4	11.6	0.647
50	10.4	11.6	0.349
51	10.4	11.5	0.137
52	10.7	11.5	0.099
53	10.8	11.5	0.298
54	10.6	11.5	0.746
55	10.9	11.5	2.016
56	10.8	11.5	2.158
57	10.7	11.5	2.168
58	10.7	11.5	2.271
59	10.5	11.5	2.168
60	10.4	11.5	2.101
61	9.9	11.5	1.946
62	9.7	11.5	1.709
63	9.5	11.5	1.558
64	9.5	11.4	1.454
65	9.6	11.4	1.511
66	10.0	11.4	1.875
67	10.3	11.4	2.092
68	10.5	11.4	2.588
69	10.9	11.4	2.659
70	11.1	11.4	2.479
71	11.3	11.3	1.492
72	11.5	11.3	0.935
73	11.6	11.3	0.647
74	11.6	11.3	0.349
75	11.5	11.3	0.137
76	11.6	11.3	0.099
77	11.6	11.3	0.298
78	11.5	11.3	0.746
79	11.3	11.3	2.016
80	10.9	11.3	2.158
81	10.6	11.2	2.168
82	10.0	11.2	2.271
83	9.1	11.2	2.168
84	8.4	11.1	2.101
85	7.8	11.1	1.946
86	7.5	11.1	1.709
87	7.6	11.1	1.558
88	7.5	11.0	1.454
89	7.7	11.0	1.511
90	7.8	11.0	1.875
91	7.7	11.0	2.092
92	7.5	11.0	2.588
93	7.8	10.9	2.659
94	7.9	10.9	2.479
95	8.0	10.9	1.492
96	8.0	10.9	0.935
97	8.0	10.9	0.647
98	8.1	10.9	0.349
99	8.4	10.9	0.137
100	8.6	10.9	0.099
101	8.9	10.9	0.298
102	9.0	10.8	0.746
103	9.3	10.8	2.016
104	9.4	10.8	2.158
105	9.6	10.8	2.168
106	9.6	10.8	2.271
107	9.7	10.8	2.168
108	9.8	10.8	2.101
109	9.9	10.8	1.946
110	10.1	10.8	1.709
111	10.6	10.7	1.558
112	10.6	10.7	1.454
113	11.0	10.7	1.511
114	11.5	10.7	1.875
115	11.6	10.7	2.092
116	11.4	10.7	2.588
117	11.7	10.7	2.659
118	12.1	10.7	2.479
119	12.6	10.6	1.492
120	12.7	10.6	0.935
121	13.0	10.6	0.647
122	13.0	10.6	0.349
123	12.7	10.6	0.137
124	12.7	10.6	0.099
125	12.2	10.6	0.298
126	11.8	10.5	0.746
127	11.6	10.5	2.016
128	11.5	10.5	2.158
129	11.4	10.5	2.168
130	10.9	10.5	2.271
131	10.3	10.5	2.168
132	9.8	10.5	2.101
133	9.0	10.5	1.946
134	8.4	10.5	1.709
135	8.1	10.4	1.558
136	7.8	10.4	1.454
137	7.8	10.4	1.511
138	8.0	10.4	1.875
139	7.7	10.4	2.092
140	7.6	10.4	2.588
141	7.7	10.4	2.659
142	7.7	10.4	2.479
143	7.7	10.4	1.492
144	7.7	10.4	0.935
145	7.6	10.4	0.647
146	7.7	10.4	0.349
147	7.8	10.4	0.137
148	7.9	10.4	0.099
149	8.2	10.4	0.298
150	8.0	10.4	0.746
151	8.1	10.4	2.016
152	8.2	10.4	2.158
153	8.1	10.4	2.168
154	7.6	10.4	2.271
155	7.4	10.3	2.168
156	7.0	10.3	2.101
157	6.7	10.3	1.946
158	6.2	10.3	1.709
159	5.9	10.3	1.558
160	5.9	10.3	1.454
161	6.4	10.3	1.511
162	6.8	10.3	1.875
163	7.3	10.3	2.092
164	7.4	10.3	2.588
165	7.8	10.3	2.659
166	7.9	10.3	2.479
167	8.4	10.3	1.492
168	8.5	10.3	0.935
169	8.7	10.3	0.647
170	8.7	10.3	0.349
171	8.7	10.3	0.137
172	8.4	10.3	0.099
173	8.3	10.3	0.298
174	8.0	10.2	0.746
175	8.0	10.2	2.016
176	7.9	10.2	2.158
177	7.8	10.2	2.168
178	7.7	10.2	2.271
179	7.2	10.2	2.168
180	6.9	10.2	2.101
181	7.0	10.2	1.946
182	6.8	10.2	1.709
183	7.0	10.2	1.558
184	6.9	10.2	1.454
185	6.8	10.2	1.511
186	6.9	10.1	1.875
187	7.1	10.1	2.092
188	6.7	10.1	2.588
189	6.5	10.1	2.659
190	6.4	10.1	2.479
191	6.1	10.1	1.492
192	5.9	10.1	0.935
193	5.6	10.1	0.647
194	5.6	10.1	0.349
195	5.8	10.1	0.137
196	5.8	10.1	0.099
197	5.6	10.1	0.298
198	5.3	10.1	0.746
199	5.6	10.0	2.016
200	5.5	10.0	2.158
201	5.6	10.0	2.168
202	5.2	10.0	2.271
203	5.1	10.0	2.168
204	5.2	10.0	2.101
205	5.1	10.0	1.946
206	4.7	10.0	1.709
207	4.3	10.0	1.558
208	4.2	10.0	1.454
209	4.2	10.0	1.511
210	4.1	10.0	1.875
211	4.1	10.0	2.092
212	4.2	10.0	2.588
213	4.1	10.0	2.659
214	4.1	10.0	2.479
215	4.0	10.0	1.492
216	3.8	10.0	0.935
217	3.9	9.9	0.647
218	4.0	9.9	0.349
219	4.2	9.9	0.137
220	4.4	9.9	0.099
221	4.6	9.9	0.298
222	4.9	9.9	0.746
223	5.2	9.9	2.016
224	5.3	9.9	2.158
225	5.2	9.9	2.168
226	5.4	9.9	2.271
227	5.4	9.9	2.168
228	5.3	9.9	2.101
229	5.1	9.9	1.946
230	5.2	9.9	1.709
