# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	13.9	21.6	0.336
2	14.2	21.6	0.181
3	14.8	21.2	0.071
4	14.6	21.1	0.051
5	14.8	21.1	0.154
6	14.8	21.0	0.387
7	14.6	20.2	1.047
8	14.5	20.2	1.120
9	14.6	19.6	1.125
10	13.8	19.5	1.179
11	13.8	19.4	1.125
12	13.0	19.4	1.091
13	12.6	19.3	1.010
14	12.7	19.3	0.888
15	12.7	19.3	0.809
16	13.1	19.3	0.755
17	13.9	19.3	0.785
18	15.0	19.3	0.973
19	16.0	19.3	1.086
20	16.2	19.2	1.344
21	16.4	19.2	1.380
22	16.9	19.2	1.287
23	17.3	19.2	0.775
24	17.9	19.2	0.485
25	18.5	19.1	0.336
26	18.0	19.1	0.181
27	18.1	19.1	0.071
28	18.1	19.0	0.051
29	17.9	18.9	0.154
30	17.6	18.9	0.387
31	18.0	18.9	1.047
32	18.2	18.8	1.120
33	17.7	18.8	1.125
34	17.4	18.8	1.179
35	16.8	18.8	1.125
36	16.1	18.8	1.091
37	15.8	18.6	1.010
38	15.6	18.6	0.888
39	15.1	18.6	0.809
40	15.4	18.5	0.755
41	16.1	18.5	0.785
42	16.8	18.5	0.973
43	16.9	18.5	1.086
44	17.0	18.4	1.344
45	17.2	18.4	1.380
46	17.3	18.4	1.287
47	17.3	18.4	0.775
48	17.3	18.4	0.485
49	17.3	18.4	0.336
50	17.3	18.3	0.181
51	17.4	18.3	0.071
52	17.7	18.3	0.051
53	17.9	18.3	0.154
54	17.7	18.2	0.387
55	18.2	18.2	1.047
56	17.9	18.2	1.120
57	17.8	18.2	1.125
58	17.9	18.2	1.179
59	17.4	18.2	1.125
60	17.3	18.1	1.091
61	16.5	18.1	1.010
62	16.1	18.1	0.888
63	15.8	18.1	0.809
64	15.8	18.1	0.755
65	16.0	18.1	0.785
66	16.6	18.1	0.973
67	17.1	18.0	1.086
68	17.5	18.0	1.344
69	18.1	18.0	1.380
70	18.5	18.0	1.287
71	18.8	17.9	0.775
72	19.1	17.9	0.485
73	19.3	17.9	0.336
74	19.3	17.9	0.181
75	19.2	17.9	0.071
76	19.3	17.9	0.051
77	19.2	17.9	0.154
78	19.1	17.8	0.387
79	18.8	17.8	1.047
80	18.1	17.8	1.120
81	17.6	17.8	1.125
82	16.7	17.7	1.179
83	15.2	17.7	1.125
84	14.0	17.7	1.091
85	12.9	17.7	1.010
86	12.5	17.7	0.888
87	12.7	17.7	0.809
88	12.6	17.7	0.755
89	12.8	17.6	0.785
90	12.9	17.6	0.973
91	12.9	17.6	1.086
92	12.6	17.6	1.344
93	13.0	17.6	1.380
94	13.2	17.6	1.287
95	13.3	17.6	0.775
96	13.4	17.6	0.485
97	13.3	17.5	0.336
98	13.5	17.5	0.181
99	14.0	17.5	0.071
100	14.3	17.5	0.051
101	14.7	17.5	0.154
102	15.0	17.4	0.387
103	15.5	17.4	1.047
104	15.7	17.4	1.120
105	16.0	17.4	1.125
106	15.9	17.4	1.179
107	16.2	17.4	1.125
108	16.4	17.4	1.091
109	16.4	17.4	1.010
110	16.8	17.3	0.888
111	17.7	17.3	0.809
112	17.6	17.3	0.755
113	18.4	17.3	0.785
114	19.2	17.3	0.973
115	19.3	17.3	1.086
116	18.9	17.3	1.344
117	19.4	17.3	1.380
118	20.2	17.3	1.287
119	21.0	17.3	0.775
120	21.1	17.3	0.485
121	21.6	17.3	0.336
122	21.6	17.3	0.181
123	21.2	17.2	0.071
124	21.1	17.2	0.051
125	20.2	17.2	0.154
126	19.6	17.2	0.387
127	19.3	17.2	1.047
128	19.2	17.2	1.120
129	18.9	17.2	1.125
130	18.2	17.2	1.179
131	17.2	17.2	1.125
132	16.3	17.2	1.091
133	15.1	17.1	1.010
134	14.1	17.1	0.888
135	13.7	17.1	0.809
136	13.1	17.1	0.755
137	13.0	17.1	0.785
138	13.4	17.1	0.973
