# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	4.6	8.8	0.372
2	4.8	8.8	0.201
3	5.0	8.4	0.079
4	4.9	8.4	0.057
5	5.0	8.4	0.171
6	5.0	8.4	0.429
7	4.9	8.3	1.159
8	6.1	8.3	1.241
9	6.1	8.2	1.246
10	5.7	8.2	1.306
11	5.8	8.2	1.246
12	5.4	8.2	1.208
13	5.3	8.2	1.118
14	5.3	8.1	0.983
15	5.3	8.1	0.896
16	5.4	8.1	0.836
17	5.8	8.1	0.869
18	6.2	8.1	1.078
19	6.7	8.1	1.203
20	6.8	8.1	1.488
21	6.8	8.0	1.528
22	7.1	8.0	1.425
23	7.2	8.0	0.858
24	7.5	8.0	0.537
25	6.5	8.0	0.372
26	6.3	8.0	0.201
27	6.4	8.0	0.079
28	6.4	8.0	0.057
29	6.3	8.0	0.171
30	6.2	7.9	0.429
31	6.3	7.9	1.159
32	7.6	7.9	1.241
33	7.4	7.9	1.246
34	7.3	7.9	1.306
35	7.0	7.9	1.246
36	6.7	7.9	1.208
37	6.6	7.9	1.118
38	6.5	7.9	0.983
39	6.3	7.9	0.896
40	6.4	7.9	0.836
41	6.7	7.9	0.869
42	7.0	7.8	1.078
43	7.1	7.8	1.203
44	7.1	7.8	1.488
45	7.2	7.7	1.528
46	7.2	7.7	1.425
47	7.2	7.7	0.858
48	7.2	7.7	0.537
49	6.1	7.7	0.372
50	6.0	7.7	0.201
51	6.1	7.7	0.079
52	6.2	7.7	0.057
53	6.3	7.7	0.171
54	6.2	7.6	0.429
55	6.4	7.6	1.159
56	7.5	7.6	1.241
57	7.4	7.6	1.246
58	7.5	7.6	1.306
59	7.3	7.6	1.246
60	7.2	7.6	1.208
61	6.9	7.5	1.118
62	6.7	7.5	0.983
63	6.6	7.5	0.896
64	6.6	7.5	0.836
65	6.7	7.5	0.869
66	6.9	7.5	1.078
67	7.2	7.5	1.203
68	7.3	7.5	1.488
69	7.6	7.4	1.528
70	7.7	7.4	1.425
71	7.9	7.4	0.858
72	8.0	7.4	0.537
73	6.9	7.4	0.372
74	6.9	7.4	0.201
75	6.8	7.4	0.079
76	6.9	7.4	0.057
77	6.9	7.4	0.171
78	6.8	7.4	0.429
79	6.7	7.3	1.159
80	7.6	7.3	1.241
81	7.4	7.3	1.246
82	7.0	7.3	1.306
83	6.3	7.3	1.246
84	5.9	7.3	1.208
85	5.4	7.3	1.118
86	5.2	7.3	0.983
87	5.3	7.3	0.896
88	5.2	7.3	0.836
89	5.3	7.3	0.869
90	5.4	7.3	1.078
91	5.4	7.3	1.203
92	5.2	7.3	1.488
93	5.4	7.3	1.528
94	5.5	7.2	1.425
95	5.6	7.2	0.858
96	5.6	7.2	0.537
97	4.4	7.2	0.372
98	4.4	7.2	0.201
99	4.7	7.2	0.079
100	4.8	7.2	0.057
101	5.0	7.2	0.171
102	5.1	7.2	0.429
103	5.3	7.2	1.159
104	6.5	7.2	1.241
105	6.7	7.2	1.246
106	6.7	7.2	1.306
107	6.8	7.2	1.246
108	6.8	7.2	1.208
109	6.9	7.2	1.118
110	7.0	7.2	0.983
111	7.4	7.2	0.896
112	7.4	7.2	0.836
113	7.7	7.2	0.869
114	8.0	7.2	1.078
115	8.1	7.2	1.203
116	7.9	7.2	1.488
117	8.1	7.2	1.528
118	8.4	7.2	1.425
119	8.8	7.1	0.858
120	8.8	7.1	0.537
121	7.9	7.1	0.372
122	7.9	7.1	0.201
123	7.7	7.1	0.079
124	7.7	7.1	0.057
125	7.3	7.1	0.171
126	7.0	7.1	0.429
127	6.9	7.1	1.159
128	8.0	7.1	1.241
129	7.9	7.1	1.246
130	7.6	7.1	1.306
131	7.2	7.1	1.246
132	6.8	7.1	1.208
133	6.3	7.1	1.118
134	5.9	7.0	0.983
135	5.7	7.0	0.896
136	5.4	7.0	0.836
137	5.4	7.0	0.869
138	5.6	7.0	1.078
139	5.3	7.0	1.203
140	5.3	7.0	1.488
141	5.4	7.0	1.528
142	5.4	7.0	1.425
143	5.4	7.0	0.858
144	5.3	7.0	0.537
145	4.1	7.0	0.372
146	4.2	7.0	0.201
147	4.2	6.9	0.079
148	4.3	6.9	0.057
149	4.5	6.9	0.171
150	4.4	6.9	0.429
151	4.4	6.9	1.159
152	5.7	6.9	1.241
153	5.6	6.9	1.246
154	5.3	6.9	1.306
155	5.1	6.9	1.246
156	4.9	6.9	1.208
157	4.7	6.9	1.118
158	4.3	6.9	0.983
159	4.1	6.9	0.896
160	4.1	6.9	0.836
161	4.5	6.9	0.869
162	4.7	6.9	1.078
163	5.1	6.9	1.203
164	5.2	6.9	1.488
165	5.5	6.9	1.528
166	5.5	6.9	1.425
167	5.9	6.9	0.858
168	5.9	6.9	0.537
169	4.9	6.9	0.372
170	4.8	6.9	0.201
171	4.9	6.9	0.079
172	4.7	6.9	0.057
173	4.6	6.9	0.171
174	4.4	6.8	0.429
175	4.4	6.8	1.159
176	5.5	6.8	1.241
177	5.5	6.8	1.246
178	5.3	6.8	1.306
179	5.0	6.8	1.246
180	4.8	6.8	1.208
181	4.9	6.8	1.118
182	4.7	6.8	0.983
183	4.8	6.8	0.896
184	4.8	6.8	0.836
185	4.8	6.8	0.869
186	4.8	6.8	1.078
187	4.9	6.8	1.203
188	4.7	6.8	1.488
189	4.5	6.8	1.528
190	4.5	6.8	1.425
191	4.3	6.8	0.858
192	4.1	6.8	0.537
193	2.7	6.8	0.372
194	2.7	6.8	0.201
195	2.9	6.8	0.079
196	2.9	6.8	0.057
197	2.7	6.7	0.171
198	2.5	6.7	0.429
199	2.7	6.7	1.159
200	3.8	6.7	1.241
201	3.9	6.7	1.246
202	3.6	6.7	1.306
203	3.6	6.7	1.246
204	3.6	6.7	1.208
205	3.6	6.7	1.118
206	3.3	6.7	0.983
207	3.0	6.7	0.896
208	2.9	6.7	0.836
209	2.9	6.7	0.869
210	2.9	6.7	1.078
211	2.9	6.7	1.203
212	2.9	6.7	1.488
213	2.9	6.7	1.528
214	2.9	6.7	1.425
215	2.8	6.7	0.858
216	2.6	6.7	0.537
217	1.5	6.7	0.372
218	1.6	6.7	0.201
219	1.7	6.7	0.079
220	1.9	6.6	0.057
221	2.0	6.6	0.171
222	2.2	6.6	0.429
223	2.4	6.6	1.159
224	3.7	6.6	1.241
225	3.7	6.6	1.246
226	3.7	6.6	1.306
227	3.8	6.6	1.246
228	3.7	6.6	1.208
229	3.6	6.6	1.118
230	3.6	6.6	0.983
231	3.6	6.6	0.896
232	3.9	6.6	0.836
233	4.2	6.6	0.869
234	4.5	6.6	1.078
235	4.5	6.6	1.203
236	4.8	6.6	1.488
237	5.1	6.6	1.528
238	5.5	6.6	1.425
239	5.8	6.6	0.858
240	6.0	6.6	0.537
241	5.1	6.6	0.372
242	5.1	6.5	0.201
243	5.1	6.5	0.079
244	5.1	6.5	0.057
245	5.1	6.5	0.171
246	5.0	6.5	0.429
247	5.0	6.5	1.159
248	6.1	6.5	1.241
249	6.2	6.5	1.246
250	5.9	6.5	1.306
251	5.9	6.5	1.246
252	5.4	6.5	1.208
253	5.3	6.5	1.118
254	4.9	6.5	0.983
255	5.0	6.5	0.896
256	5.2	6.5	0.836
257	5.6	6.5	0.869
258	5.6	6.5	1.078
259	5.7	6.5	1.203
260	5.9	6.5	1.488
261	6.1	6.5	1.528
262	6.3	6.5	1.425
263	6.3	6.5	0.858
264	6.3	6.4	0.537
265	5.1	6.4	0.372
266	5.2	6.4	0.201
267	5.2	6.4	0.079
268	5.2	6.4	0.057
269	5.0	6.4	0.171
270	5.2	6.4	0.429
271	5.1	6.4	1.159
272	6.3	6.4	1.241
273	6.3	6.4	1.246
274	6.1	6.4	1.306
275	5.9	6.4	1.246
276	5.6	6.4	1.208
277	5.3	6.4	1.118
278	5.1	6.4	0.983
279	4.9	6.4	0.896
280	5.0	6.4	0.836
281	4.9	6.4	0.869
282	5.0	6.4	1.078
283	5.0	6.4	1.203
284	5.0	6.4	1.488
285	5.2	6.4	1.528
286	5.2	6.4	1.425
287	5.2	6.4	0.858
288	5.3	6.3	0.537
289	4.0	6.3	0.372
290	4.0	6.3	0.201
291	3.9	6.3	0.079
292	3.9	6.3	0.057
293	4.0	6.3	0.171
294	4.0	6.3	0.429
295	3.9	6.3	1.159
296	5.1	6.3	1.241
297	5.1	6.3	1.246
298	5.1	6.3	1.306
299	4.8	6.3	1.246
300	4.6	6.3	1.208
301	4.4	6.3	1.118
302	4.3	6.3	0.983
303	4.3	6.3	0.896
304	4.1	6.3	0.836
305	4.3	6.3	0.869
306	4.3	6.3	1.078
307	4.3	6.3	1.203
308	4.4	6.3	1.488
309	4.4	6.3	1.528
310	4.7	6.3	1.425
311	4.7	6.3	0.858
312	4.8	6.3	0.537
313	3.7	6.3	0.372
314	3.6	6.3	0.201
315	3.6	6.3	0.079
316	3.5	6.3	0.057
317	3.4	6.3	0.171
318	3.3	6.3	0.429
319	3.4	6.3	1.159
320	4.6	6.3	1.241
321	4.7	6.3	1.246
322	4.6	6.3	1.306
323	4.5	6.3	1.246
324	4.6	6.3	1.208
325	4.4	6.3	1.118
326	4.3	6.2	0.983
327	4.0	6.2	0.896
328	3.8	6.2	0.836
329	4.0	6.2	0.869
330	4.1	6.2	1.078
331	4.3	6.2	1.203
332	4.4	6.2	1.488
333	4.4	6.2	1.528
334	4.4	6.2	1.425
335	4.5	6.2	0.858
336	4.4	6.2	0.537
337	3.3	6.2	0.372
338	3.4	6.2	0.201
339	3.5	6.2	0.079
340	3.7	6.2	0.057
341	3.8	6.2	0.171
342	3.8	6.2	0.429
343	3.8	6.2	1.159
344	5.2	6.2	1.241
345	5.2	6.2	1.246
346	5.3	6.2	1.306
347	5.1	6.1	1.246
348	5.0	6.1	1.208
349	5.0	6.1	1.118
350	5.1	6.1	0.983
351	5.2	6.1	0.896
