# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	8.0	12.5	0.603
2	8.2	12.4	0.326
3	8.5	12.2	0.128
4	8.4	12.2	0.092
5	8.5	12.2	0.277
6	8.5	12.1	0.696
7	8.4	11.7	1.881
8	8.3	11.7	2.013
9	8.4	11.6	2.022
10	7.9	11.6	2.119
11	7.9	11.6	2.022
12	7.5	11.6	1.960
13	7.3	11.6	1.815
14	7.3	11.6	1.594
15	7.3	11.5	1.454
16	7.5	11.5	1.357
17	8.0	11.5	1.409
18	8.6	11.5	1.749
19	9.2	11.5	1.951
20	9.3	11.5	2.414
21	9.4	11.4	2.480
22	9.7	11.4	2.312
23	9.9	11.3	1.392
24	10.3	11.3	0.872
25	10.6	11.3	0.603
26	10.4	11.3	0.326
27	10.4	11.3	0.128
28	10.4	11.3	0.092
29	10.3	11.3	0.277
30	10.1	11.2	0.696
31	10.3	11.2	1.881
32	10.5	11.2	2.013
33	10.2	11.2	2.022
34	10.0	11.2	2.119
35	9.7	11.2	2.022
36	9.3	11.2	1.960
37	9.1	11.2	1.815
38	9.0	11.1	1.594
39	8.7	11.1	1.454
40	8.9	11.1	1.357
41	9.3	11.1	1.409
42	9.7	11.1	1.749
43	9.8	11.1	1.951
44	9.8	11.1	2.414
45	9.9	11.1	2.480
46	9.9	11.1	2.312
47	10.0	11.1	1.392
48	10.0	11.1	0.872
49	10.0	11.1	0.603
50	9.9	11.1	0.326
51	10.0	11.1	0.128
52	10.2	11.0	0.092
53	10.3	11.0	0.277
54	10.2	11.0	0.696
55	10.5	11.0	1.881
56	10.3	11.0	2.013
57	10.2	11.0	2.022
58	10.3	11.0	2.119
59	10.0	11.0	2.022
60	9.9	11.0	1.960
61	9.5	11.0	1.815
62	9.3	11.0	1.594
63	9.1	11.0	1.454
64	9.1	11.0	1.357
65	9.2	10.9	1.409
66	9.5	10.9	1.749
67	9.9	10.9	1.951
68	10.1	10.9	2.414
69	10.4	10.9	2.480
70	10.6	10.9	2.312
71	10.8	10.8	1.392
72	11.0	10.8	0.872
73	11.1	10.8	0.603
74	11.1	10.8	0.326
75	11.0	10.8	0.128
76	11.1	10.8	0.092
77	11.1	10.8	0.277
78	11.0	10.8	0.696
79	10.8	10.8	1.881
80	10.4	10.8	2.013
81	10.1	10.7	2.022
82	9.6	10.7	2.119
83	8.7	10.7	2.022
84	8.1	10.6	1.960
85	7.4	10.6	1.815
86	7.2	10.6	1.594
87	7.3	10.6	1.454
88	7.2	10.6	1.357
89	7.4	10.6	1.409
90	7.4	10.5	1.749
91	7.4	10.5	1.951
92	7.2	10.5	2.414
93	7.5	10.5	2.480
94	7.6	10.5	2.312
95	7.7	10.5	1.392
96	7.7	10.4	0.872
97	7.7	10.4	0.603
98	7.7	10.4	0.326
99	8.1	10.4	0.128
100	8.3	10.4	0.092
101	8.5	10.4	0.277
102	8.6	10.4	0.696
103	8.9	10.4	1.881
104	9.0	10.4	2.013
105	9.2	10.3	2.022
106	9.2	10.3	2.119
107	9.3	10.3	2.022
108	9.4	10.3	1.960
109	9.4	10.3	1.815
110	9.7	10.3	1.594
111	10.2	10.3	1.454
112	10.1	10.3	1.357
113	10.6	10.3	1.409
114	11.0	10.2	1.749
115	11.1	10.2	1.951
116	10.9	10.2	2.414
117	11.2	10.2	2.480
118	11.6	10.2	2.312
119	12.1	10.2	1.392
120	12.2	10.2	0.872
121	12.4	10.1	0.603
122	12.5	10.1	0.326
123	12.2	10.1	0.128
124	12.2	10.1	0.092
125	11.6	10.1	0.277
126	11.3	10.1	0.696
127	11.1	10.1	1.881
128	11.1	10.1	2.013
129	10.9	10.1	2.022
130	10.5	10.0	2.119
131	9.9	10.0	2.022
132	9.4	10.0	1.960
133	8.6	10.0	1.815
134	8.1	10.0	1.594
135	7.8	10.0	1.454
136	7.4	10.0	1.357
137	7.4	10.0	1.409
138	7.7	10.0	1.749
139	7.4	10.0	1.951
140	7.3	10.0	2.414
141	7.4	10.0	2.480
142	7.4	10.0	2.312
143	7.4	9.9	1.392
144	7.4	9.9	0.872
145	7.2	9.9	0.603
146	7.4	9.9	0.326
147	7.5	9.9	0.128
148	7.6	9.9	0.092
149	7.9	9.9	0.277
150	7.7	9.9	0.696
151	7.7	9.9	1.881
152	7.9	9.9	2.013
153	7.8	9.9	2.022
154	7.3	9.9	2.119
155	7.1	9.9	2.022
156	6.7	9.9	1.960
157	6.4	9.9	1.815
158	5.9	9.9	1.594
159	5.7	9.9	1.454
160	5.6	9.9	1.357
161	6.2	9.9	1.409
162	6.5	9.9	1.749
163	7.0	9.9	1.951
164	7.1	9.8	2.414
165	7.5	9.8	2.480
166	7.6	9.8	2.312
167	8.1	9.8	1.392
168	8.2	9.8	0.872
169	8.4	9.8	0.603
170	8.3	9.8	0.326
171	8.4	9.8	0.128
172	8.1	9.8	0.092
173	8.0	9.8	0.277
174	7.7	9.8	0.696
175	7.7	9.8	1.881
176	7.5	9.8	2.013
177	7.5	9.8	2.022
178	7.3	9.8	2.119
179	6.9	9.8	2.022
180	6.6	9.8	1.960
181	6.7	9.8	1.815
182	6.5	9.7	1.594
183	6.7	9.7	1.454
184	6.6	9.7	1.357
185	6.6	9.7	1.409
186	6.6	9.7	1.749
187	6.8	9.7	1.951
188	6.4	9.7	2.414
189	6.2	9.7	2.480
190	6.2	9.7	2.312
191	5.9	9.7	1.392
192	5.7	9.7	0.872
193	5.3	9.6	0.603
194	5.3	9.6	0.326
195	5.6	9.6	0.128
196	5.6	9.6	0.092
