# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	7.0	13.3	0.178
2	7.2	13.3	0.096
3	7.6	12.8	0.038
4	7.4	12.7	0.027
5	7.6	12.7	0.082
6	7.6	12.7	0.206
7	7.4	12.6	0.555
8	9.1	12.6	0.594
9	9.2	12.5	0.597
10	8.7	12.5	0.626
11	8.7	12.4	0.597
12	8.2	12.4	0.579
13	7.9	12.4	0.536
14	8.0	12.3	0.471
15	8.0	12.3	0.429
16	8.2	12.3	0.401
17	8.7	12.3	0.416
18	9.4	12.2	0.516
19	10.1	12.2	0.576
20	10.2	12.2	0.713
21	10.3	12.2	0.732
22	10.7	12.2	0.683
23	10.9	12.2	0.411
24	11.3	12.2	0.258
25	9.9	12.2	0.178
26	9.6	12.1	0.096
27	9.7	12.1	0.038
28	9.7	12.1	0.027
29	9.5	12.1	0.082
30	9.3	12.1	0.206
31	9.6	12.0	0.555
32	11.5	12.0	0.594
33	11.2	12.0	0.597
34	11.0	12.0	0.626
35	10.6	11.9	0.597
36	10.2	11.9	0.579
37	10.0	11.9	0.536
38	9.8	11.9	0.471
39	9.5	11.9	0.429
40	9.7	11.9	0.401
41	10.2	11.9	0.416
42	10.6	11.9	0.516
43	10.7	11.9	0.576
44	10.7	11.8	0.713
45	10.9	11.7	0.732
46	10.9	11.7	0.683
47	10.9	11.7	0.411
48	10.9	11.7	0.258
49	9.1	11.6	0.178
50	9.1	11.6	0.096
51	9.2	11.6	0.038
52	9.4	11.6	0.027
53	9.5	11.6	0.082
54	9.4	11.6	0.206
55	9.7	11.6	0.555
56	11.3	11.6	0.594
57	11.2	11.5	0.597
58	11.3	11.5	0.626
59	11.0	11.5	0.597
60	10.9	11.5	0.579
61	10.4	11.5	0.536
62	10.2	11.4	0.471
63	10.0	11.4	0.429
64	9.9	11.4	0.401
65	10.1	11.4	0.416
66	10.4	11.4	0.516
67	10.8	11.3	0.576
68	11.1	11.3	0.713
69	11.4	11.3	0.732
70	11.7	11.3	0.683
71	11.9	11.3	0.411
72	12.1	11.3	0.258
73	10.4	11.2	0.178
74	10.4	11.2	0.096
75	10.3	11.2	0.038
76	10.4	11.2	0.027
77	10.4	11.2	0.082
78	10.3	11.2	0.206
79	10.1	11.2	0.555
80	11.4	11.1	0.594
81	11.1	11.1	0.597
82	10.5	11.1	0.626
83	9.6	11.1	0.597
84	8.8	11.1	0.579
85	8.2	11.1	0.536
86	7.9	11.1	0.471
87	8.0	11.1	0.429
88	7.9	11.1	0.401
89	8.1	11.1	0.416
90	8.1	11.1	0.516
91	8.1	11.0	0.576
92	7.9	11.0	0.713
93	8.2	11.0	0.732
94	8.3	11.0	0.683
95	8.4	11.0	0.411
96	8.4	11.0	0.258
97	6.6	11.0	0.178
98	6.7	11.0	0.096
99	7.1	11.0	0.038
100	7.3	11.0	0.027
101	7.5	11.0	0.082
102	7.7	11.0	0.206
103	8.0	11.0	0.555
104	9.9	11.0	0.594
105	10.1	10.9	0.597
106	10.1	10.9	0.626
107	10.2	10.9	0.597
108	10.3	10.9	0.579
109	10.4	10.9	0.536
110	10.6	10.9	0.471
111	11.2	10.9	0.429
112	11.1	10.9	0.401
113	11.6	10.9	0.416
114	12.1	10.9	0.516
115	12.2	10.9	0.576
116	11.9	10.9	0.713
117	12.3	10.9	0.732
118	12.7	10.9	0.683
119	13.3	10.9	0.411
120	13.3	10.8	0.258
121	11.9	10.8	0.178
122	11.9	10.8	0.096
123	11.6	10.8	0.038
124	11.6	10.8	0.027
125	11.0	10.8	0.082
126	10.6	10.8	0.206
127	10.4	10.8	0.555
128	12.1	10.8	0.594
129	11.9	10.8	0.597
130	11.5	10.8	0.626
131	10.8	10.8	0.597
132	10.2	10.8	0.579
133	9.4	10.8	0.536
134	8.8	10.7	0.471
135	8.6	10.7	0.429
136	8.1	10.7	0.401
137	8.2	10.7	0.416
138	8.4	10.7	0.516
139	8.1	10.7	0.576
140	8.0	10.7	0.713
141	8.1	10.7	0.732
142	8.1	10.7	0.683
143	8.1	10.7	0.411
144	8.1	10.7	0.258
145	6.2	10.6	0.178
146	6.3	10.6	0.096
147	6.4	10.6	0.038
148	6.5	10.6	0.027
149	6.8	10.6	0.082
150	6.7	10.6	0.206
151	6.7	10.6	0.555
152	8.7	10.6	0.594
153	8.5	10.5	0.597
154	8.0	10.5	0.626
155	7.8	10.5	0.597
156	7.4	10.5	0.579
157	7.1	10.5	0.536
158	6.5	10.5	0.471
159	6.2	10.5	0.429
160	6.2	10.5	0.401
161	6.8	10.5	0.416
162	7.1	10.5	0.516
163	7.7	10.5	0.576
164	7.8	10.5	0.713
165	8.2	10.5	0.732
166	8.3	10.5	0.683
167	8.9	10.4	0.411
168	9.0	10.4	0.258
169	7.4	10.4	0.178
170	7.3	10.4	0.096
171	7.4	10.4	0.038
172	7.1	10.4	0.027
173	7.0	10.4	0.082
174	6.6	10.4	0.206
175	6.6	10.4	0.555
176	8.3	10.4	0.594
177	8.2	10.4	0.597
178	8.0	10.4	0.626
179	7.6	10.4	0.597
180	7.2	10.4	0.579
181	7.3	10.4	0.536
182	7.1	10.4	0.471
183	7.3	10.4	0.429
184	7.3	10.4	0.401
