# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	1.9	3.0	0.109
2	1.9	3.0	0.059
3	2.0	2.9	0.023
4	2.0	2.9	0.017
5	2.0	2.9	0.050
6	2.0	2.9	0.126
7	2.0	2.8	0.341
8	2.0	2.8	0.365
9	2.0	2.7	0.367
10	1.9	2.7	0.384
11	1.9	2.7	0.367
12	1.8	2.7	0.355
13	1.7	2.7	0.329
14	1.7	2.7	0.289
15	1.7	2.7	0.264
16	1.8	2.7	0.246
17	1.9	2.7	0.256
18	2.0	2.7	0.317
19	2.2	2.7	0.354
20	2.2	2.7	0.438
21	2.2	2.7	0.450
22	2.3	2.7	0.419
23	2.4	2.7	0.252
24	2.4	2.7	0.158
25	2.5	2.6	0.109
26	2.5	2.6	0.059
27	2.5	2.6	0.023
28	2.5	2.6	0.017
29	2.5	2.6	0.050
30	2.4	2.6	0.126
31	2.5	2.6	0.341
32	2.5	2.6	0.365
33	2.4	2.6	0.367
34	2.4	2.6	0.384
35	2.3	2.6	0.367
36	2.2	2.6	0.355
37	2.2	2.6	0.329
38	2.1	2.6	0.289
39	2.1	2.6	0.264
40	2.1	2.6	0.246
41	2.2	2.6	0.256
42	2.3	2.6	0.317
43	2.3	2.6	0.354
44	2.3	2.6	0.438
45	2.4	2.6	0.450
46	2.4	2.6	0.419
47	2.4	2.6	0.252
48	2.4	2.6	0.158
49	2.4	2.6	0.109
50	2.4	2.6	0.059
51	2.4	2.6	0.023
52	2.4	2.6	0.017
53	2.4	2.6	0.050
54	2.4	2.6	0.126
55	2.5	2.6	0.341
56	2.5	2.6	0.365
57	2.4	2.6	0.367
58	2.4	2.6	0.384
59	2.4	2.6	0.367
60	2.4	2.6	0.355
61	2.3	2.6	0.329
62	2.2	2.6	0.289
63	2.2	2.6	0.264
64	2.2	2.6	0.246
65	2.2	2.6	0.256
66	2.3	2.6	0.317
67	2.3	2.6	0.354
68	2.4	2.6	0.438
69	2.5	2.6	0.450
70	2.5	2.5	0.419
71	2.6	2.5	0.252
72	2.6	2.5	0.158
73	2.6	2.5	0.109
74	2.6	2.5	0.059
75	2.6	2.5	0.023
76	2.6	2.5	0.017
77	2.6	2.5	0.050
78	2.6	2.5	0.126
79	2.6	2.5	0.341
80	2.5	2.5	0.365
81	2.4	2.5	0.367
82	2.3	2.5	0.384
83	2.1	2.5	0.367
84	1.9	2.5	0.355
85	1.8	2.5	0.329
86	1.7	2.5	0.289
87	1.7	2.5	0.264
88	1.7	2.5	0.246
89	1.7	2.5	0.256
90	1.8	2.5	0.317
91	1.8	2.5	0.354
92	1.7	2.5	0.438
93	1.8	2.5	0.450
94	1.8	2.5	0.419
95	1.8	2.5	0.252
96	1.8	2.5	0.158
97	1.8	2.5	0.109
98	1.8	2.5	0.059
99	1.9	2.5	0.023
100	2.0	2.5	0.017
101	2.0	2.5	0.050
102	2.0	2.5	0.126
103	2.1	2.4	0.341
104	2.1	2.4	0.365
105	2.2	2.4	0.367
106	2.2	2.4	0.384
107	2.2	2.4	0.367
108	2.2	2.4	0.355
109	2.2	2.4	0.329
110	2.3	2.4	0.289
111	2.4	2.4	0.264
112	2.4	2.4	0.246
113	2.5	2.4	0.256
114	2.6	2.4	0.317
115	2.6	2.4	0.354
116	2.6	2.4	0.438
117	2.7	2.4	0.450
118	2.8	2.4	0.419
119	2.9	2.4	0.252
120	2.9	2.4	0.158
121	3.0	2.4	0.109
122	3.0	2.4	0.059
123	2.9	2.4	0.023
124	2.9	2.4	0.017
125	2.8	2.4	0.050
126	2.7	2.4	0.126
127	2.6	2.4	0.341
128	2.6	2.4	0.365
129	2.6	2.4	0.367
130	2.5	2.4	0.384
131	2.3	2.4	0.367
132	2.2	2.4	0.355
133	2.0	2.4	0.329
134	1.9	2.4	0.289
135	1.9	2.4	0.264
136	1.8	2.4	0.246
137	1.8	2.4	0.256
138	1.8	2.4	0.317
139	1.8	2.4	0.354
140	1.7	2.4	0.438
141	1.8	2.3	0.450
142	1.8	2.3	0.419
143	1.8	2.3	0.252
144	1.8	2.3	0.158
145	1.7	2.3	0.109
146	1.8	2.3	0.059
147	1.8	2.3	0.023
148	1.8	2.3	0.017
149	1.9	2.3	0.050
150	1.8	2.3	0.126
151	1.8	2.3	0.341
152	1.9	2.3	0.365
153	1.8	2.3	0.367
154	1.7	2.3	0.384
155	1.7	2.3	0.367
156	1.6	2.3	0.355
157	1.5	2.3	0.329
158	1.4	2.3	0.289
159	1.3	2.3	0.264
160	1.3	2.3	0.246
161	1.5	2.3	0.256
162	1.5	2.3	0.317
163	1.7	2.3	0.354
