# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	0.4	0.7	0.013
2	0.4	0.7	0.007
3	0.4	0.7	0.003
4	0.4	0.7	0.002
5	0.4	0.7	0.006
6	0.4	0.7	0.015
7	0.4	0.7	0.041
8	0.5	0.7	0.044
9	0.5	0.7	0.044
10	0.4	0.7	0.047
11	0.4	0.7	0.044
12	0.4	0.6	0.043
13	0.4	0.6	0.040
14	0.4	0.6	0.035
15	0.4	0.6	0.032
16	0.4	0.6	0.030
17	0.4	0.6	0.031
18	0.5	0.6	0.038
19	0.5	0.6	0.043
20	0.5	0.6	0.053
21	0.5	0.6	0.054
22	0.5	0.6	0.051
23	0.6	0.6	0.031
24	0.6	0.6	0.019
25	0.5	0.6	0.013
26	0.5	0.6	0.007
27	0.5	0.6	0.003
28	0.5	0.6	0.002
29	0.5	0.6	0.006
30	0.5	0.6	0.015
31	0.5	0.6	0.041
32	0.6	0.6	0.044
33	0.6	0.6	0.044
34	0.6	0.6	0.047
35	0.5	0.6	0.044
36	0.5	0.6	0.043
37	0.5	0.6	0.040
38	0.5	0.6	0.035
39	0.5	0.6	0.032
40	0.5	0.6	0.030
41	0.5	0.6	0.031
42	0.5	0.6	0.038
43	0.5	0.6	0.043
44	0.5	0.6	0.053
45	0.6	0.6	0.054
46	0.6	0.6	0.051
47	0.6	0.6	0.031
48	0.6	0.6	0.019
49	0.5	0.6	0.013
50	0.5	0.6	0.007
51	0.5	0.6	0.003
52	0.5	0.6	0.002
53	0.5	0.6	0.006
54	0.5	0.6	0.015
55	0.5	0.6	0.041
56	0.6	0.6	0.044
57	0.6	0.6	0.044
58	0.6	0.6	0.047
59	0.6	0.6	0.044
60	0.6	0.6	0.043
61	0.5	0.6	0.040
62	0.5	0.6	0.035
63	0.5	0.6	0.032
64	0.5	0.6	0.030
65	0.5	0.6	0.031
66	0.5	0.6	0.038
67	0.6	0.6	0.043
68	0.6	0.6	0.053
69	0.6	0.6	0.054
70	0.6	0.6	0.051
71	0.6	0.6	0.031
72	0.6	0.6	0.019
73	0.5	0.6	0.013
74	0.5	0.6	0.007
75	0.5	0.6	0.003
76	0.5	0.6	0.002
77	0.5	0.6	0.006
78	0.5	0.6	0.015
79	0.5	0.6	0.041
80	0.6	0.6	0.044
81	0.6	0.6	0.044
82	0.5	0.6	0.047
83	0.5	0.6	0.044
84	0.5	0.6	0.043
85	0.4	0.6	0.040
86	0.4	0.6	0.035
87	0.4	0.6	0.032
88	0.4	0.6	0.030
89	0.4	0.6	0.031
90	0.4	0.6	0.038
91	0.4	0.6	0.043
92	0.4	0.6	0.053
93	0.4	0.6	0.054
94	0.4	0.6	0.051
95	0.4	0.6	0.031
96	0.4	0.6	0.019
97	0.3	0.6	0.013
98	0.3	0.6	0.007
99	0.4	0.6	0.003
100	0.4	0.6	0.002
101	0.4	0.6	0.006
102	0.4	0.6	0.015
103	0.4	0.6	0.041
104	0.5	0.6	0.044
105	0.5	0.6	0.044
106	0.5	0.6	0.047
107	0.5	0.6	0.044
108	0.5	0.6	0.043
109	0.5	0.6	0.040
110	0.5	0.6	0.035
111	0.6	0.6	0.032
112	0.6	0.6	0.030
113	0.6	0.6	0.031
114	0.6	0.6	0.038
115	0.6	0.6	0.043
116	0.6	0.6	0.053
117	0.6	0.6	0.054
118	0.7	0.6	0.051
119	0.7	0.6	0.031
120	0.7	0.6	0.019
121	0.6	0.6	0.013
122	0.6	0.6	0.007
123	0.6	0.6	0.003
124	0.6	0.6	0.002
125	0.6	0.6	0.006
126	0.5	0.6	0.015
127	0.5	0.6	0.041
128	0.6	0.6	0.044
129	0.6	0.6	0.044
130	0.6	0.6	0.047
131	0.6	0.6	0.044
132	0.5	0.6	0.043
133	0.5	0.6	0.040
134	0.5	0.6	0.035
135	0.4	0.6	0.032
136	0.4	0.5	0.030
137	0.4	0.5	0.031
