# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	4.1	7.9	0.334
2	4.2	7.8	0.180
3	4.5	7.5	0.071
4	4.4	7.5	0.051
5	4.5	7.4	0.153
6	4.5	7.4	0.385
7	4.4	7.4	1.040
8	5.4	7.4	1.113
9	5.4	7.3	1.118
10	5.1	7.3	1.171
11	5.1	7.3	1.118
12	4.8	7.3	1.083
13	4.7	7.2	1.003
14	4.7	7.2	0.881
15	4.7	7.2	0.803
16	4.8	7.2	0.750
17	5.1	7.2	0.779
18	5.6	7.2	0.967
19	5.9	7.2	1.079
20	6.0	7.2	1.334
21	6.1	7.2	1.371
22	6.3	7.1	1.278
23	6.4	7.1	0.769
24	6.7	7.1	0.482
25	5.8	7.1	0.334
26	5.7	7.1	0.180
27	5.7	7.1	0.071
28	5.7	7.1	0.051
29	5.6	7.1	0.153
30	5.5	7.1	0.385
31	5.6	7.0	1.040
32	6.8	7.0	1.113
33	6.6	7.0	1.118
34	6.5	7.0	1.171
35	6.3	7.0	1.118
36	6.0	7.0	1.083
37	5.9	7.0	1.003
38	5.8	7.0	0.881
39	5.6	7.0	0.803
40	5.7	7.0	0.750
41	6.0	7.0	0.779
42	6.3	6.9	0.967
43	6.3	6.9	1.079
44	6.3	6.9	1.334
45	6.4	6.9	1.371
46	6.4	6.9	1.278
47	6.4	6.8	0.769
48	6.4	6.8	0.482
49	5.4	6.8	0.334
50	5.4	6.8	0.180
51	5.4	6.8	0.071
52	5.6	6.8	0.051
53	5.6	6.8	0.153
54	5.5	6.8	0.385
55	5.7	6.8	1.040
56	6.7	6.8	1.113
57	6.6	6.7	1.118
58	6.7	6.7	1.171
59	6.5	6.7	1.118
60	6.4	6.7	1.083
61	6.1	6.7	1.003
62	6.0	6.7	0.881
63	5.9	6.7	0.803
64	5.9	6.7	0.750
65	5.9	6.7	0.779
66	6.2	6.7	0.967
67	6.4	6.6	1.079
68	6.5	6.6	1.334
69	6.7	6.6	1.371
70	6.9	6.6	1.278
71	7.0	6.6	0.769
72	7.1	6.6	0.482
73	6.1	6.6	0.334
74	6.1	6.6	0.180
75	6.1	6.6	0.071
76	6.1	6.5	0.051
77	6.1	6.5	0.153
78	6.1	6.5	0.385
79	5.9	6.5	1.040
80	6.7	6.5	1.113
81	6.6	6.5	1.118
82	6.2	6.5	1.171
83	5.6	6.5	1.118
84	5.2	6.5	1.083
85	4.8	6.5	1.003
86	4.7	6.5	0.881
87	4.7	6.5	0.803
88	4.7	6.5	0.750
89	4.8	6.5	0.779
90	4.8	6.5	0.967
91	4.8	6.5	1.079
92	4.7	6.5	1.334
93	4.8	6.4	1.371
94	4.9	6.4	1.278
95	5.0	6.4	0.769
96	5.0	6.4	0.482
97	3.9	6.4	0.334
98	4.0	6.4	0.180
99	4.2	6.4	0.071
100	4.3	6.4	0.051
101	4.4	6.4	0.153
102	4.5	6.4	0.385
103	4.7	6.4	1.040
104	5.8	6.4	1.113
105	6.0	6.4	1.118
106	5.9	6.4	1.171
107	6.0	6.4	1.118
108	6.1	6.4	1.083
109	6.1	6.4	1.003
110	6.3	6.4	0.881
111	6.6	6.4	0.803
112	6.5	6.4	0.750
113	6.8	6.4	0.779
114	7.1	6.4	0.967
115	7.2	6.4	1.079
116	7.0	6.4	1.334
117	7.2	6.4	1.371
118	7.5	6.4	1.278
119	7.8	6.4	0.769
120	7.9	6.4	0.482
121	7.0	6.3	0.334
122	7.0	6.3	0.180
123	6.8	6.3	0.071
124	6.8	6.3	0.051
125	6.5	6.3	0.153
126	6.2	6.3	0.385
127	6.2	6.3	1.040
128	7.2	6.3	1.113
129	7.0	6.3	1.118
130	6.8	6.3	1.171
131	6.4	6.3	1.118
132	6.0	6.3	1.083
133	5.6	6.3	1.003
134	5.2	6.3	0.881
135	5.0	6.3	0.803
136	4.8	6.3	0.750
137	4.8	6.3	0.779
138	5.0	6.2	0.967
139	4.8	6.2	1.079
140	4.7	6.2	1.334
141	4.8	6.2	1.371
142	4.8	6.2	1.278
143	4.8	6.2	0.769
144	4.8	6.2	0.482
145	3.6	6.2	0.334
146	3.7	6.2	0.180
147	3.8	6.2	0.071
148	3.8	6.2	0.051
149	4.0	6.2	0.153
150	3.9	6.2	0.385
151	4.0	6.2	1.040
152	5.1	6.2	1.113
153	5.0	6.1	1.118
154	4.7	6.1	1.171
155	4.6	6.1	1.118
156	4.3	6.1	1.083
157	4.2	6.1	1.003
158	3.8	6.1	0.881
159	3.7	6.1	0.803
160	3.7	6.1	0.750
161	4.0	6.1	0.779
162	4.2	6.1	0.967
163	4.5	6.1	1.079
164	4.6	6.1	1.334
165	4.9	6.1	1.371
166	4.9	6.1	1.278
167	5.2	6.1	0.769
168	5.3	6.1	0.482
169	4.4	6.1	0.334
170	4.3	6.1	0.180
171	4.4	6.1	0.071
172	4.2	6.1	0.051
173	4.1	6.1	0.153
174	3.9	6.1	0.385
175	3.9	6.1	1.040
176	4.9	6.1	1.113
177	4.9	6.1	1.118
178	4.7	6.1	1.171
179	4.5	6.1	1.118
180	4.2	6.1	1.083
181	4.3	6.1	1.003
182	4.2	6.1	0.881
183	4.3	6.1	0.803
184	4.3	6.1	0.750
185	4.2	6.1	0.779
186	4.3	6.1	0.967
187	4.4	6.0	1.079
188	4.2	6.0	1.334
189	4.0	6.0	1.371
190	4.0	6.0	1.278
191	3.8	6.0	0.769
192	3.7	6.0	0.482
193	2.4	6.0	0.334
194	2.4	6.0	0.180
195	2.5	6.0	0.071
196	2.6	6.0	0.051
197	2.4	6.0	0.153
198	2.2	6.0	0.385
199	2.4	6.0	1.040
200	3.4	6.0	1.113
201	3.5	6.0	1.118
202	3.2	6.0	1.171
203	3.2	6.0	1.118
204	3.2	6.0	1.083
205	3.2	6.0	1.003
206	2.9	6.0	0.881
207	2.7	6.0	0.803
208	2.6	6.0	0.750
209	2.6	6.0	0.779
210	2.5	5.9	0.967
211	2.6	5.9	1.079
212	2.6	5.9	1.334
213	2.5	5.9	1.371
214	2.6	5.9	1.278
215	2.5	5.9	0.769
216	2.3	5.9	0.482
217	1.4	5.9	0.334
218	1.4	5.9	0.180
219	1.5	5.9	0.071
220	1.7	5.9	0.051
221	1.8	5.9	0.153
222	2.0	5.9	0.385
223	2.2	5.9	1.040
224	3.3	5.9	1.113
225	3.3	5.9	1.118
226	3.3	5.9	1.171
227	3.3	5.9	1.118
228	3.3	5.9	1.083
229	3.2	5.9	1.003
230	3.2	5.9	0.881
231	3.2	5.9	0.803
232	3.5	5.9	0.750
233	3.7	5.9	0.779
234	4.0	5.9	0.967
235	4.0	5.9	1.079
236	4.3	5.9	1.334
237	4.6	5.9	1.371
238	4.9	5.9	1.278
239	5.2	5.9	0.769
240	5.4	5.8	0.482
241	4.5	5.8	0.334
242	4.5	5.8	0.180
243	4.5	5.8	0.071
244	4.5	5.8	0.051
245	4.5	5.8	0.153
246	4.5	5.8	0.385
247	4.5	5.8	1.040
248	5.4	5.8	1.113
249	5.5	5.8	1.118
250	5.2	5.8	1.171
251	5.3	5.8	1.118
252	4.8	5.8	1.083
253	4.7	5.8	1.003
254	4.4	5.8	0.881
255	4.5	5.8	0.803
256	4.6	5.8	0.750
257	5.0	5.8	0.779
258	5.0	5.8	0.967
259	5.1	5.8	1.079
260	5.3	5.8	1.334
261	5.4	5.7	1.371
262	5.6	5.7	1.278
263	5.6	5.7	0.769
264	5.6	5.7	0.482
265	4.6	5.7	0.334
266	4.7	5.7	0.180
267	4.6	5.7	0.071
268	4.6	5.7	0.051
269	4.5	5.7	0.153
