# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	6.0	11.5	0.171
2	6.2	11.4	0.092
3	6.5	11.1	0.036
4	6.4	11.0	0.026
5	6.5	11.0	0.079
6	6.5	10.9	0.197
7	6.4	10.9	0.532
8	7.8	10.9	0.570
9	7.9	10.8	0.572
10	7.4	10.8	0.600
11	7.5	10.7	0.572
12	7.0	10.7	0.555
13	6.8	10.7	0.514
14	6.9	10.7	0.451
15	6.8	10.7	0.411
16	7.1	10.6	0.384
17	7.5	10.6	0.399
18	8.1	10.6	0.495
19	8.6	10.6	0.552
20	8.8	10.6	0.683
21	8.9	10.6	0.702
22	9.2	10.6	0.654
23	9.4	10.5	0.394
24	9.7	10.5	0.247
25	8.5	10.5	0.171
26	8.2	10.5	0.092
27	8.3	10.4	0.036
28	8.3	10.4	0.026
29	8.2	10.4	0.079
30	8.0	10.4	0.197
31	8.2	10.4	0.532
32	9.9	10.4	0.570
33	9.6	10.3	0.572
34	9.4	10.3	0.600
35	9.1	10.3	0.572
36	8.7	10.3	0.555
37	8.6	10.3	0.514
38	8.5	10.3	0.451
39	8.2	10.3	0.411
40	8.4	10.2	0.384
41	8.7	10.2	0.399
42	9.1	10.2	0.495
43	9.2	10.2	0.552
44	9.2	10.2	0.683
45	9.3	10.1	0.702
46	9.4	10.1	0.654
47	9.4	10.1	0.394
48	9.4	10.1	0.247
49	7.9	10.1	0.171
50	7.8	10.0	0.092
51	7.9	10.0	0.036
52	8.1	10.0	0.026
53	8.2	10.0	0.079
54	8.0	10.0	0.197
55	8.3	9.9	0.532
56	9.7	9.9	0.570
57	9.6	9.9	0.572
58	9.7	9.9	0.600
59	9.4	9.9	0.572
60	9.3	9.9	0.555
61	8.9	9.9	0.514
62	8.7	9.9	0.451
63	8.6	9.8	0.411
64	8.5	9.8	0.384
65	8.6	9.8	0.399
66	9.0	9.8	0.495
67	9.3	9.8	0.552
68	9.5	9.7	0.683
69	9.8	9.7	0.702
70	10.0	9.7	0.654
71	10.2	9.7	0.394
72	10.3	9.7	0.247
73	8.9	9.7	0.171
74	8.9	9.7	0.092
75	8.9	9.7	0.036
76	8.9	9.7	0.026
77	8.9	9.6	0.079
78	8.8	9.6	0.197
79	8.6	9.6	0.532
80	9.8	9.6	0.570
81	9.5	9.6	0.572
82	9.0	9.6	0.600
83	8.2	9.6	0.572
84	7.6	9.6	0.555
85	7.0	9.6	0.514
86	6.8	9.6	0.451
87	6.8	9.6	0.411
88	6.8	9.5	0.384
89	6.9	9.5	0.399
90	7.0	9.5	0.495
91	7.0	9.5	0.552
92	6.8	9.5	0.683
93	7.0	9.5	0.702
94	7.1	9.5	0.654
95	7.2	9.5	0.394
96	7.2	9.5	0.247
97	5.7	9.5	0.171
98	5.8	9.5	0.092
99	6.1	9.5	0.036
100	6.2	9.5	0.026
101	6.5	9.4	0.079
102	6.6	9.4	0.197
103	6.9	9.4	0.532
104	8.5	9.4	0.570
105	8.7	9.4	0.572
106	8.6	9.4	0.600
107	8.8	9.4	0.572
108	8.9	9.4	0.555
109	8.9	9.4	0.514
110	9.1	9.4	0.451
111	9.6	9.4	0.411
112	9.5	9.4	0.384
113	10.0	9.4	0.399
114	10.4	9.4	0.495
115	10.5	9.4	0.552
116	10.3	9.4	0.683
117	10.5	9.4	0.702
118	10.9	9.4	0.654
119	11.4	9.4	0.394
120	11.5	9.4	0.247
121	10.2	9.3	0.171
122	10.2	9.3	0.092
123	9.9	9.3	0.036
124	9.9	9.3	0.026
125	9.4	9.3	0.079
126	9.1	9.3	0.197
127	9.0	9.3	0.532
128	10.4	9.3	0.570
129	10.3	9.3	0.572
130	9.9	9.3	0.600
131	9.3	9.3	0.572
132	8.8	9.3	0.555
133	8.1	9.3	0.514
134	7.6	9.3	0.451
135	7.3	9.3	0.411
136	7.0	9.3	0.384
137	7.0	9.3	0.399
138	7.2	9.3	0.495
139	6.9	9.2	0.552
140	6.9	9.2	0.683
141	7.0	9.2	0.702
142	7.0	9.2	0.654
143	7.0	9.2	0.394
144	6.9	9.2	0.247
145	5.3	9.2	0.171
146	5.4	9.2	0.092
147	5.5	9.2	0.036
148	5.6	9.2	0.026
149	5.9	9.1	0.079
150	5.7	9.1	0.197
151	5.8	9.1	0.532
152	7.4	9.1	0.570
153	7.3	9.1	0.572
154	6.8	9.1	0.600
155	6.7	9.1	0.572
156	6.3	9.1	0.555
157	6.1	9.1	0.514
158	5.5	9.1	0.451
159	5.3	9.1	0.411
160	5.3	9.1	0.384
161	5.8	9.0	0.399
162	6.1	9.0	0.495
163	6.6	9.0	0.552
164	6.7	9.0	0.683
165	7.1	9.0	0.702
166	7.1	9.0	0.654
167	7.6	9.0	0.394
168	7.7	9.0	0.247
169	6.3	9.0	0.171
170	6.3	9.0	0.092
171	6.4	9.0	0.036
172	6.1	9.0	0.026
173	6.0	9.0	0.079
174	5.7	9.0	0.197
175	5.7	9.0	0.532
176	7.1	9.0	0.570
177	7.1	8.9	0.572
178	6.9	8.9	0.600
179	6.5	8.9	0.572
180	6.2	8.9	0.555
181	6.3	8.9	0.514
182	6.1	8.9	0.451
183	6.3	8.9	0.411
184	6.2	8.9	0.384
185	6.2	8.9	0.399
186	6.2	8.9	0.495
187	6.4	8.9	0.552
188	6.0	8.9	0.683
189	5.8	8.9	0.702
190	5.8	8.9	0.654
191	5.5	8.9	0.394
192	5.3	8.9	0.247
193	3.5	8.9	0.171
194	3.5	8.9	0.092
195	3.7	8.9	0.036
196	3.7	8.9	0.026
197	3.5	8.9	0.079
198	3.3	8.9	0.197
199	3.5	8.9	0.532
200	5.0	8.9	0.570
201	5.1	8.9	0.572
202	4.7	8.9	0.600
203	4.6	8.9	0.572
204	4.7	8.9	0.555
205	4.6	8.9	0.514
206	4.2	8.9	0.451
207	3.9	8.9	0.411
208	3.7	8.8	0.384
209	3.8	8.8	0.399
210	3.7	8.8	0.495
211	3.7	8.8	0.552
212	3.8	8.8	0.683
213	3.7	8.8	0.702
214	3.7	8.8	0.654
215	3.6	8.8	0.394
216	3.4	8.8	0.247
217	2.0	8.8	0.171
218	2.1	8.8	0.092
219	2.3	8.8	0.036
220	2.4	8.8	0.026
221	2.6	8.8	0.079
222	2.9	8.8	0.197
223	3.1	8.8	0.532
224	4.8	8.8	0.570
225	4.7	8.8	0.572
226	4.9	8.8	0.600
227	4.9	8.8	0.572
228	4.8	8.8	0.555
229	4.6	8.7	0.514
230	4.7	8.7	0.451
231	4.6	8.7	0.411
232	5.1	8.7	0.384
233	5.4	8.7	0.399
234	5.8	8.7	0.495
235	5.9	8.7	0.552
236	6.2	8.7	0.683
237	6.6	8.7	0.702
238	7.2	8.7	0.654
239	7.5	8.7	0.394
240	7.8	8.7	0.247
241	6.6	8.7	0.171
242	6.6	8.7	0.092
243	6.6	8.6	0.036
244	6.6	8.6	0.026
245	6.6	8.6	0.079
246	6.5	8.6	0.197
247	6.5	8.6	0.532
248	7.9	8.6	0.570
249	8.0	8.6	0.572
250	7.6	8.6	0.600
251	7.7	8.6	0.572
252	7.0	8.6	0.555
253	6.9	8.6	0.514
254	6.4	8.6	0.451
255	6.5	8.6	0.411
256	6.7	8.6	0.384
257	7.3	8.6	0.399
258	7.2	8.6	0.495
259	7.4	8.6	0.552
260	7.7	8.6	0.683
261	7.9	8.6	0.702
262	8.1	8.6	0.654
263	8.1	8.6	0.394
264	8.2	8.6	0.247
265	6.7	8.6	0.171
266	6.8	8.6	0.092
267	6.7	8.6	0.036
268	6.7	8.6	0.026
269	6.5	8.5	0.079
270	6.7	8.5	0.197
271	6.6	8.5	0.532
272	8.2	8.5	0.570
273	8.2	8.5	0.572
274	7.9	8.5	0.600
275	7.7	8.5	0.572
276	7.2	8.5	0.555
277	6.8	8.5	0.514
278	6.6	8.5	0.451
279	6.4	8.5	0.411
280	6.4	8.5	0.384
281	6.3	8.5	0.399
282	6.5	8.5	0.495
283	6.5	8.5	0.552
284	6.5	8.5	0.683
285	6.8	8.5	0.702
286	6.8	8.5	0.654
287	6.8	8.5	0.394
288	6.9	8.5	0.247
289	5.1	8.5	0.171
290	5.1	8.4	0.092
291	5.1	8.4	0.036
292	5.1	8.4	0.026
293	5.2	8.4	0.079
294	5.2	8.4	0.197
295	5.1	8.4	0.532
296	6.6	8.4	0.570
297	6.6	8.4	0.572
298	6.6	8.4	0.600
299	6.2	8.4	0.572
300	6.0	8.4	0.555
301	5.7	8.4	0.514
302	5.6	8.4	0.451
303	5.5	8.4	0.411
304	5.3	8.4	0.384
305	5.6	8.4	0.399
306	5.5	8.4	0.495
307	5.6	8.4	0.552
308	5.7	8.4	0.683
309	5.7	8.4	0.702
310	6.1	8.4	0.654
311	6.0	8.4	0.394
312	6.2	8.4	0.247
313	4.7	8.4	0.171
314	4.7	8.3	0.092
315	4.7	8.3	0.036
316	4.5	8.3	0.026
317	4.4	8.3	0.079
318	4.3	8.3	0.197
319	4.4	8.3	0.532
320	6.0	8.3	0.570
321	6.1	8.3	0.572
322	6.0	8.3	0.600
323	5.9	8.3	0.572
324	6.0	8.3	0.555
325	5.7	8.3	0.514
326	5.6	8.3	0.451
327	5.2	8.3	0.411
328	5.0	8.3	0.384
329	5.2	8.3	0.399
330	5.3	8.3	0.495
331	5.5	8.2	0.552
332	5.6	8.2	0.683
333	5.7	8.2	0.702
334	5.7	8.2	0.654
335	5.9	8.2	0.394
336	5.7	8.2	0.247
337	4.3	8.2	0.171
338	4.4	8.2	0.092
339	4.6	8.2	0.036
340	4.8	8.2	0.026
341	4.9	8.2	0.079
342	4.9	8.2	0.197
343	4.9	8.2	0.532
344	6.7	8.2	0.570
345	6.8	8.2	0.572
346	6.9	8.2	0.600
347	6.7	8.2	0.572
348	6.5	8.2	0.555
349	6.5	8.2	0.514
350	6.7	8.2	0.451
351	6.7	8.2	0.411
352	6.8	8.2	0.384
353	7.0	8.2	0.399
354	7.2	8.2	0.495
355	7.3	8.2	0.552
356	7.6	8.2	0.683
357	7.5	8.2	0.702
358	7.7	8.2	0.654
359	7.7	8.2	0.394
360	7.5	8.2	0.247
361	5.9	8.2	0.171
362	6.1	8.2	0.092
363	6.3	8.2	0.036
364	6.2	8.2	0.026
365	6.1	8.2	0.079
366	6.4	8.2	0.197
367	6.5	8.1	0.532
368	8.1	8.1	0.570
369	8.1	8.1	0.572
370	8.2	8.1	0.600
371	7.6	8.1	0.572
372	7.4	8.1	0.555
373	7.3	8.1	0.514
374	7.1	8.1	0.451
375	7.2	8.1	0.411
376	7.5	8.1	0.384
377	8.0	8.1	0.399
378	8.4	8.1	0.495
379	8.6	8.1	0.552
380	8.8	8.1	0.683
381	8.9	8.1	0.702
