# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	5.3	10.1	0.170
2	5.5	10.1	0.092
3	5.7	9.8	0.036
4	5.6	9.7	0.026
5	5.7	9.7	0.078
6	5.8	9.7	0.196
7	5.6	9.6	0.528
8	6.9	9.6	0.566
9	7.0	9.5	0.568
10	6.6	9.5	0.595
11	6.6	9.5	0.568
12	6.2	9.5	0.551
13	6.0	9.5	0.510
14	6.1	9.4	0.448
15	6.1	9.4	0.408
16	6.2	9.4	0.381
17	6.6	9.3	0.396
18	7.2	9.3	0.491
19	7.6	9.3	0.548
20	7.8	9.3	0.678
21	7.8	9.3	0.697
22	8.1	9.3	0.650
23	8.3	9.3	0.391
24	8.6	9.3	0.245
25	7.5	9.2	0.170
26	7.3	9.2	0.092
27	7.3	9.2	0.036
28	7.3	9.2	0.026
29	7.2	9.2	0.078
30	7.1	9.2	0.196
31	7.3	9.2	0.528
32	8.7	9.1	0.566
33	8.5	9.1	0.568
34	8.3	9.1	0.595
35	8.1	9.1	0.568
36	7.7	9.1	0.551
37	7.6	9.1	0.510
38	7.5	9.1	0.448
39	7.2	9.1	0.408
40	7.4	9.0	0.381
41	7.7	9.0	0.396
42	8.1	9.0	0.491
43	8.1	9.0	0.548
44	8.1	9.0	0.678
45	8.3	8.9	0.697
46	8.3	8.9	0.650
47	8.3	8.9	0.391
48	8.3	8.9	0.245
49	6.9	8.9	0.170
50	6.9	8.9	0.092
51	7.0	8.9	0.036
52	7.2	8.8	0.026
53	7.2	8.8	0.078
54	7.1	8.8	0.196
55	7.4	8.8	0.528
56	8.6	8.8	0.566
57	8.5	8.8	0.568
58	8.6	8.8	0.595
59	8.3	8.7	0.568
60	8.3	8.7	0.551
61	7.9	8.7	0.510
62	7.7	8.7	0.448
63	7.6	8.7	0.408
64	7.5	8.7	0.381
65	7.6	8.7	0.396
66	7.9	8.7	0.491
67	8.2	8.6	0.548
68	8.4	8.6	0.678
69	8.7	8.6	0.697
70	8.9	8.6	0.650
71	9.0	8.6	0.391
72	9.2	8.6	0.245
73	7.9	8.6	0.170
74	7.9	8.5	0.092
75	7.8	8.5	0.036
76	7.9	8.5	0.026
77	7.9	8.5	0.078
78	7.8	8.5	0.196
79	7.6	8.5	0.528
80	8.7	8.5	0.566
81	8.4	8.5	0.568
82	8.0	8.5	0.595
83	7.3	8.5	0.568
84	6.7	8.5	0.551
85	6.2	8.5	0.510
86	6.0	8.4	0.448
87	6.1	8.4	0.408
88	6.0	8.4	0.381
89	6.1	8.4	0.396
90	6.2	8.4	0.491
91	6.2	8.4	0.548
92	6.0	8.4	0.678
93	6.2	8.4	0.697
94	6.3	8.4	0.650
95	6.4	8.4	0.391
96	6.4	8.4	0.245
97	5.0	8.4	0.170
98	5.1	8.4	0.092
99	5.4	8.4	0.036
100	5.5	8.4	0.026
101	5.7	8.4	0.078
102	5.8	8.4	0.196
103	6.1	8.3	0.528
104	7.5	8.3	0.566
105	7.7	8.3	0.568
106	7.6	8.3	0.595
107	7.8	8.3	0.568
108	7.8	8.3	0.551
109	7.9	8.3	0.510
110	8.1	8.3	0.448
111	8.5	8.3	0.408
112	8.4	8.3	0.381
113	8.8	8.3	0.396
114	9.2	8.3	0.491
115	9.2	8.3	0.548
116	9.1	8.3	0.678
117	9.3	8.3	0.697
118	9.7	8.3	0.650
119	10.1	8.3	0.391
120	10.1	8.3	0.245
121	9.0	8.3	0.170
122	9.0	8.3	0.092
123	8.8	8.3	0.036
124	8.8	8.3	0.026
125	8.3	8.3	0.078
126	8.0	8.3	0.196
127	7.9	8.2	0.528
128	9.2	8.2	0.566
129	9.1	8.2	0.568
130	8.7	8.2	0.595
131	8.2	8.2	0.568
132	7.8	8.2	0.551
133	7.2	8.2	0.510
134	6.7	8.2	0.448
135	6.5	8.2	0.408
136	6.2	8.2	0.381
137	6.2	8.2	0.396
138	6.4	8.2	0.491
139	6.1	8.2	0.548
140	6.1	8.2	0.678
141	6.2	8.1	0.697
142	6.1	8.1	0.650
143	6.2	8.1	0.391
144	6.1	8.1	0.245
145	4.7	8.1	0.170
146	4.8	8.1	0.092
147	4.9	8.1	0.036
148	4.9	8.1	0.026
149	5.2	8.1	0.078
150	5.1	8.1	0.196
151	5.1	8.1	0.528
152	6.6	8.1	0.566
153	6.5	8.1	0.568
