# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	8.4	13.1	0.159
2	8.6	13.1	0.086
3	9.0	12.8	0.034
4	8.8	12.8	0.024
5	9.0	12.8	0.073
6	9.0	12.7	0.183
7	8.8	12.2	0.495
8	8.8	12.2	0.530
9	8.8	11.8	0.532
10	8.3	11.8	0.558
11	8.4	11.8	0.532
12	7.9	11.7	0.516
13	7.6	11.7	0.478
14	7.7	11.7	0.420
15	7.7	11.7	0.383
16	7.9	11.7	0.357
17	8.4	11.7	0.371
18	9.1	11.7	0.460
19	9.7	11.7	0.514
20	9.8	11.6	0.635
21	9.9	11.6	0.653
22	10.2	11.6	0.609
23	10.5	11.6	0.366
24	10.8	11.6	0.230
25	11.2	11.6	0.159
26	10.9	11.6	0.086
27	11.0	11.6	0.034
28	11.0	11.5	0.024
29	10.8	11.4	0.073
30	10.7	11.4	0.183
31	10.9	11.4	0.495
32	11.0	11.4	0.530
33	10.7	11.4	0.532
34	10.5	11.3	0.558
35	10.2	11.3	0.532
36	9.8	11.3	0.516
37	9.5	11.2	0.478
38	9.4	11.2	0.420
39	9.1	11.2	0.383
40	9.3	11.2	0.357
41	9.7	11.2	0.371
42	10.2	11.2	0.460
43	10.3	11.2	0.514
44	10.3	11.1	0.635
45	10.4	11.1	0.653
46	10.4	11.1	0.609
47	10.5	11.1	0.366
48	10.5	11.1	0.230
49	10.5	11.1	0.159
50	10.4	11.0	0.086
51	10.5	11.0	0.034
52	10.7	11.0	0.024
53	10.8	11.0	0.073
54	10.7	11.0	0.183
55	11.0	11.0	0.495
56	10.9	11.0	0.530
57	10.7	11.0	0.532
58	10.8	11.0	0.558
59	10.5	11.0	0.532
60	10.4	11.0	0.516
61	10.0	11.0	0.478
62	9.8	10.9	0.420
63	9.6	10.9	0.383
64	9.5	10.9	0.357
65	9.7	10.9	0.371
66	10.0	10.9	0.460
67	10.4	10.9	0.514
68	10.6	10.9	0.635
69	10.9	10.9	0.653
70	11.2	10.9	0.609
71	11.4	10.9	0.366
72	11.6	10.8	0.230
73	11.7	10.8	0.159
74	11.7	10.8	0.086
75	11.6	10.8	0.034
76	11.7	10.8	0.024
77	11.6	10.8	0.073
78	11.6	10.7	0.183
79	11.3	10.7	0.495
80	11.0	10.7	0.530
81	10.7	10.7	0.532
82	10.1	10.7	0.558
83	9.2	10.7	0.532
84	8.5	10.7	0.516
85	7.8	10.7	0.478
86	7.6	10.7	0.420
87	7.7	10.7	0.383
88	7.6	10.7	0.357
89	7.7	10.7	0.371
90	7.8	10.6	0.460
91	7.8	10.6	0.514
92	7.6	10.6	0.635
93	7.8	10.6	0.653
94	8.0	10.6	0.609
95	8.1	10.6	0.366
96	8.1	10.6	0.230
97	8.1	10.6	0.159
98	8.1	10.6	0.086
99	8.5	10.6	0.034
100	8.7	10.5	0.024
101	8.9	10.5	0.073
102	9.1	10.5	0.183
103	9.4	10.5	0.495
104	9.5	10.5	0.530
105	9.7	10.5	0.532
106	9.6	10.5	0.558
107	9.8	10.5	0.532
108	9.9	10.5	0.516
109	9.9	10.5	0.478
110	10.2	10.5	0.420
111	10.7	10.5	0.383
112	10.6	10.5	0.357
113	11.1	10.4	0.371
114	11.6	10.4	0.460
115	11.7	10.4	0.514
116	11.4	10.4	0.635
117	11.8	10.4	0.653
118	12.2	10.4	0.609
119	12.7	10.4	0.366
120	12.8	10.4	0.230
121	13.1	10.4	0.159
122	13.1	10.4	0.086
123	12.8	10.4	0.034
124	12.8	10.4	0.024
125	12.2	10.4	0.073
126	11.8	10.4	0.183
127	11.7	10.4	0.495
128	11.6	10.4	0.530
129	11.4	10.4	0.532
130	11.0	10.4	0.558
131	10.4	10.4	0.532
132	9.9	10.4	0.516
133	9.1	10.4	0.478
134	8.5	10.3	0.420
135	8.3	10.3	0.383
136	7.9	10.3	0.357
137	7.9	10.3	0.371
138	8.1	10.3	0.460
139	7.8	10.3	0.514
140	7.7	10.3	0.635
141	7.8	10.3	0.653
142	7.8	10.3	0.609
143	7.8	10.3	0.366
144	7.8	10.3	0.230
145	7.6	10.3	0.159
146	7.8	10.2	0.086
147	7.8	10.2	0.034
148	8.0	10.2	0.024
149	8.3	10.2	0.073
150	8.1	10.2	0.183
151	8.1	10.2	0.495
152	8.3	10.2	0.530
153	8.2	10.2	0.532
154	7.6	10.2	0.558
155	7.4	10.2	0.532
156	7.0	10.2	0.516
157	6.8	10.2	0.478
158	6.2	10.2	0.420
159	5.9	10.2	0.383
160	5.9	10.2	0.357
161	6.5	10.2	0.371
162	6.8	10.2	0.460
163	7.4	10.2	0.514
164	7.5	10.2	0.635
165	7.9	10.2	0.653
166	8.0	10.2	0.609
167	8.5	10.2	0.366
168	8.6	10.2	0.230
169	8.8	10.2	0.159
170	8.7	10.2	0.086
171	8.8	10.2	0.034
172	8.5	10.1	0.024
173	8.4	10.1	0.073
174	8.1	10.1	0.183
175	8.0	10.1	0.495
176	7.9	10.1	0.530
177	7.9	10.1	0.532
178	7.7	10.1	0.558
179	7.3	10.1	0.532
180	6.9	10.1	0.516
181	7.1	10.1	0.478
182	6.9	10.1	0.420
183	7.0	10.1	0.383
184	7.0	10.1	0.357
185	6.9	10.1	0.371
186	7.0	10.1	0.460
187	7.2	10.1	0.514
188	6.8	10.1	0.635
189	6.5	10.1	0.653
190	6.5	10.1	0.609
191	6.2	10.1	0.366
192	6.0	10.1	0.230
193	5.6	10.1	0.159
194	5.6	10.0	0.086
195	5.9	10.0	0.034
196	5.9	10.0	0.024
197	5.7	10.0	0.073
198	5.4	10.0	0.183
199	5.6	10.0	0.495
200	5.6	10.0	0.530
201	5.7	10.0	0.532
202	5.3	10.0	0.558
203	5.2	10.0	0.532
204	5.3	10.0	0.516
205	5.2	10.0	0.478
206	4.7	10.0	0.420
207	4.3	10.0	0.383
208	4.2	10.0	0.357
209	4.3	10.0	0.371
210	4.1	10.0	0.460
211	4.2	10.0	0.514
212	4.2	10.0	0.635
213	4.2	10.0	0.653
214	4.2	10.0	0.609
215	4.1	10.0	0.366
216	3.8	10.0	0.230
217	3.9	10.0	0.159
218	4.1	10.0	0.086
219	4.2	10.0	0.034
220	4.5	9.9	0.024
221	4.7	9.9	0.073
222	4.9	9.9	0.183
223	5.2	9.9	0.495
224	5.3	9.9	0.530
225	5.3	9.9	0.532
226	5.4	9.9	0.558
227	5.5	9.9	0.532
228	5.3	9.9	0.516
229	5.2	9.9	0.478
230	5.3	9.9	0.420
231	5.2	9.9	0.383
232	5.7	9.9	0.357
233	6.1	9.9	0.371
234	6.5	9.9	0.460
235	6.6	9.9	0.514
236	6.9	9.9	0.635
237	7.4	9.9	0.653
238	8.0	9.9	0.609
239	8.4	9.9	0.366
240	8.7	9.9	0.230
241	9.1	9.8	0.159
242	9.1	9.8	0.086
243	9.1	9.8	0.034
244	9.1	9.8	0.024
245	9.1	9.8	0.073
246	9.0	9.8	0.183
247	9.0	9.8	0.495
248	8.8	9.8	0.530
249	8.9	9.8	0.532
250	8.5	9.8	0.558
251	8.6	9.8	0.532
252	7.9	9.8	0.516
253	7.7	9.8	0.478
254	7.2	9.8	0.420
255	7.3	9.8	0.383
256	7.5	9.8	0.357
257	8.2	9.8	0.371
258	8.1	9.8	0.460
259	8.3	9.8	0.514
260	8.6	9.8	0.635
261	8.8	9.8	0.653
262	9.1	9.8	0.609
263	9.1	9.8	0.366
264	9.1	9.8	0.230
265	9.1	9.8	0.159
266	9.3	9.8	0.086
267	9.2	9.8	0.034
268	9.2	9.7	0.024
269	9.0	9.7	0.073
270	9.2	9.7	0.183
271	9.1	9.7	0.495
272	9.2	9.7	0.530
273	9.2	9.7	0.532
274	8.9	9.7	0.558
275	8.6	9.7	0.532
276	8.0	9.7	0.516
277	7.6	9.7	0.478
278	7.3	9.7	0.420
279	7.1	9.7	0.383
280	7.1	9.7	0.357
281	7.1	9.7	0.371
282	7.2	9.7	0.460
283	7.3	9.7	0.514
284	7.2	9.7	0.635
285	7.5	9.7	0.653
286	7.6	9.7	0.609
287	7.6	9.7	0.366
288	7.7	9.7	0.230
289	7.4	9.7	0.159
290	7.4	9.7	0.086
291	7.4	9.7	0.034
292	7.4	9.7	0.024
293	7.5	9.7	0.073
294	7.6	9.6	0.183
295	7.4	9.6	0.495
296	7.4	9.6	0.530
297	7.4	9.6	0.532
298	7.3	9.6	0.558
299	6.9	9.6	0.532
300	6.7	9.6	0.516
301	6.4	9.6	0.478
302	6.2	9.6	0.420
303	6.2	9.6	0.383
304	5.9	9.6	0.357
305	6.2	9.6	0.371
306	6.2	9.6	0.460
307	6.2	9.6	0.514
308	6.3	9.6	0.635
309	6.4	9.6	0.653
310	6.8	9.6	0.609
311	6.8	9.5	0.366
312	6.9	9.5	0.230
313	7.0	9.5	0.159
314	6.9	9.5	0.086
315	7.0	9.5	0.034
316	6.7	9.5	0.024
317	6.6	9.5	0.073
318	6.5	9.5	0.183
319	6.7	9.5	0.495
320	6.7	9.5	0.530
321	6.8	9.5	0.532
322	6.7	9.5	0.558
323	6.6	9.5	0.532
324	6.7	9.5	0.516
325	6.4	9.5	0.478
326	6.3	9.5	0.420
327	5.9	9.5	0.383
328	5.6	9.5	0.357
329	5.9	9.5	0.371
330	5.9	9.5	0.460
331	6.2	9.5	0.514
332	6.3	9.5	0.635
333	6.4	9.4	0.653
334	6.4	9.4	0.609
335	6.6	9.4	0.366
336	6.4	9.4	0.230
337	6.5	9.4	0.159
338	6.6	9.4	0.086
339	6.8	9.4	0.034
340	7.1	9.4	0.024
341	7.2	9.4	0.073
342	7.2	9.4	0.183
343	7.2	9.4	0.495
344	7.5	9.4	0.530
345	7.6	9.4	0.532
346	7.7	9.4	0.558
347	7.5	9.4	0.532
348	7.3	9.4	0.516
349	7.2	9.4	0.478
350	7.4	9.4	0.420
351	7.5	9.4	0.383
352	7.5	9.4	0.357
353	7.8	9.4	0.371
354	8.1	9.4	0.460
355	8.1	9.4	0.514
356	8.4	9.4	0.635
357	8.4	9.3	0.653
358	8.7	9.3	0.609
359	8.6	9.3	0.366
360	8.4	9.3	0.230
361	8.4	9.3	0.159
362	8.5	9.3	0.086
363	8.7	9.3	0.034
364	8.6	9.3	0.024
365	8.5	9.3	0.073
366	8.9	9.3	0.183
367	9.0	9.3	0.495
368	9.1	9.3	0.530
369	9.0	9.3	0.532
370	9.1	9.3	0.558
371	8.5	9.3	0.532
372	8.3	9.3	0.516
373	8.1	9.3	0.478
374	8.0	9.3	0.420
375	8.1	9.3	0.383
376	8.4	9.3	0.357
377	9.0	9.3	0.371
378	9.4	9.3	0.460
379	9.7	9.3	0.514
380	9.8	9.3	0.635
381	10.0	9.3	0.653
382	10.4	9.3	0.609
383	10.8	9.3	0.366
384	11.1	9.3	0.230
385	11.6	9.3	0.159
386	11.7	9.3	0.086
387	11.8	9.2	0.034
388	11.7	9.2	0.024
389	11.7	9.2	0.073
390	11.6	9.2	0.183
391	11.5	9.2	0.495
392	11.4	9.2	0.530
393	10.9	9.2	0.532
394	10.4	9.2	0.558
395	9.9	9.2	0.532
396	9.4	9.2	0.516
397	8.7	9.2	0.478
398	8.1	9.2	0.420
399	8.2	9.2	0.383
400	7.9	9.2	0.357
401	7.9	9.2	0.371
402	8.1	9.2	0.460
403	8.0	9.2	0.514
404	8.0	9.2	0.635
405	8.5	9.2	0.653
406	8.2	9.2	0.609
407	8.2	9.2	0.366
408	8.1	9.2	0.230
409	7.6	9.2	0.159
410	7.8	9.2	0.086
411	8.1	9.2	0.034
412	8.1	9.2	0.024
413	8.1	9.2	0.073
