# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	8.0	15.3	0.205
2	8.2	15.2	0.110
3	8.7	14.7	0.043
4	8.5	14.6	0.031
5	8.7	14.6	0.094
6	8.7	14.6	0.236
7	8.5	14.5	0.637
8	10.5	14.4	0.682
9	10.5	14.3	0.685
10	9.9	14.3	0.718
11	10.0	14.3	0.685
12	9.4	14.3	0.664
13	9.1	14.2	0.615
14	9.2	14.2	0.540
15	9.1	14.2	0.493
16	9.4	14.1	0.460
17	10.0	14.1	0.478
18	10.8	14.0	0.593
19	11.5	14.0	0.661
20	11.7	14.0	0.818
21	11.8	14.0	0.840
22	12.2	14.0	0.784
23	12.5	14.0	0.472
24	12.9	13.9	0.296
25	11.3	13.9	0.205
26	11.0	13.9	0.110
27	11.1	13.9	0.043
28	11.1	13.9	0.031
29	10.9	13.8	0.094
30	10.7	13.8	0.236
31	11.0	13.8	0.637
32	13.2	13.8	0.682
33	12.8	13.7	0.685
34	12.6	13.7	0.718
35	12.2	13.7	0.685
36	11.7	13.7	0.664
37	11.4	13.7	0.615
38	11.3	13.6	0.540
39	10.9	13.6	0.493
40	11.1	13.6	0.460
41	11.6	13.6	0.478
42	12.2	13.6	0.593
43	12.3	13.6	0.661
44	12.3	13.5	0.818
45	12.5	13.5	0.840
46	12.5	13.4	0.784
47	12.5	13.4	0.472
48	12.5	13.4	0.296
49	10.5	13.3	0.205
50	10.4	13.3	0.110
51	10.5	13.3	0.043
52	10.8	13.3	0.031
53	10.9	13.3	0.094
54	10.7	13.2	0.236
55	11.1	13.2	0.637
56	13.0	13.2	0.682
57	12.8	13.2	0.685
58	12.9	13.2	0.718
59	12.6	13.2	0.685
60	12.5	13.2	0.664
61	11.9	13.1	0.615
62	11.6	13.1	0.540
63	11.4	13.1	0.493
64	11.4	13.1	0.460
65	11.5	13.0	0.478
66	12.0	13.0	0.593
67	12.4	13.0	0.661
68	12.7	13.0	0.818
69	13.1	12.9	0.840
70	13.4	12.9	0.784
71	13.6	12.9	0.472
72	13.8	12.9	0.296
73	11.9	12.9	0.205
74	11.9	12.8	0.110
75	11.8	12.8	0.043
76	11.9	12.8	0.031
77	11.9	12.8	0.094
78	11.8	12.8	0.236
79	11.5	12.8	0.637
80	13.1	12.8	0.682
81	12.7	12.8	0.685
82	12.1	12.7	0.718
83	11.0	12.7	0.685
84	10.1	12.7	0.664
85	9.3	12.7	0.615
86	9.0	12.7	0.540
87	9.1	12.7	0.493
88	9.1	12.7	0.460
89	9.2	12.7	0.478
90	9.3	12.7	0.593
91	9.3	12.7	0.661
92	9.1	12.6	0.818
93	9.4	12.6	0.840
94	9.5	12.6	0.784
95	9.6	12.6	0.472
96	9.6	12.6	0.296
97	7.6	12.6	0.205
98	7.7	12.6	0.110
99	8.1	12.6	0.043
100	8.3	12.6	0.031
101	8.6	12.6	0.094
102	8.8	12.6	0.236
103	9.2	12.6	0.637
104	11.3	12.5	0.682
105	11.6	12.5	0.685
106	11.5	12.5	0.718
107	11.7	12.5	0.685
108	11.8	12.5	0.664
109	11.9	12.5	0.615
110	12.1	12.5	0.540
111	12.8	12.5	0.493
112	12.7	12.5	0.460
113	13.3	12.5	0.478
114	13.9	12.5	0.593
115	13.9	12.5	0.661
116	13.7	12.5	0.818
117	14.1	12.4	0.840
118	14.6	12.4	0.784
119	15.2	12.4	0.472
120	15.3	12.4	0.296
121	13.6	12.4	0.205
122	13.6	12.4	0.110
123	13.3	12.4	0.043
124	13.2	12.4	0.031
125	12.6	12.4	0.094
126	12.1	12.4	0.236
127	12.0	12.4	0.637
128	13.9	12.4	0.682
129	13.7	12.4	0.685
130	13.2	12.4	0.718
131	12.4	12.3	0.685
132	11.7	12.3	0.664
133	10.8	12.3	0.615
134	10.1	12.3	0.540
135	9.8	12.3	0.493
136	9.3	12.3	0.460
137	9.4	12.3	0.478
138	9.6	12.2	0.593
139	9.3	12.2	0.661
140	9.2	12.2	0.818
141	9.3	12.2	0.840
142	9.3	12.2	0.784
143	9.3	12.2	0.472
144	9.3	12.2	0.296
145	7.1	12.2	0.205
146	7.3	12.2	0.110
147	7.3	12.2	0.043
148	7.5	12.2	0.031
149	7.8	12.1	0.094
150	7.6	12.1	0.236
151	7.7	12.1	0.637
152	9.9	12.1	0.682
153	9.8	12.1	0.685
154	9.1	12.1	0.718
155	8.9	12.1	0.685
156	8.4	12.1	0.664
157	8.1	12.0	0.615
158	7.4	12.0	0.540
159	7.1	12.0	0.493
160	7.1	12.0	0.460
161	7.8	12.0	0.478
162	8.2	12.0	0.593
163	8.8	12.0	0.661
164	8.9	12.0	0.818
165	9.4	12.0	0.840
166	9.5	12.0	0.784
167	10.2	12.0	0.472
168	10.3	12.0	0.296
169	8.5	12.0	0.205
170	8.4	11.9	0.110
171	8.5	11.9	0.043
172	8.1	11.9	0.031
173	8.0	11.9	0.094
174	7.6	11.9	0.236
175	7.6	11.9	0.637
176	9.5	11.9	0.682
177	9.4	11.9	0.685
178	9.2	11.9	0.718
179	8.7	11.9	0.685
180	8.3	11.9	0.664
181	8.4	11.9	0.615
182	8.2	11.9	0.540
183	8.4	11.9	0.493
184	8.3	11.9	0.460
185	8.2	11.9	0.478
186	8.3	11.9	0.593
187	8.6	11.8	0.661
188	8.1	11.8	0.818
189	7.8	11.8	0.840
190	7.8	11.8	0.784
191	7.4	11.8	0.472
192	7.1	11.8	0.296
193	4.6	11.8	0.205
194	4.7	11.8	0.110
195	4.9	11.8	0.043
196	5.0	11.8	0.031
197	4.7	11.8	0.094
198	4.4	11.8	0.236
199	4.7	11.8	0.637
200	6.6	11.8	0.682
201	6.8	11.8	0.685
202	6.3	11.8	0.718
203	6.2	11.8	0.685
204	6.3	11.7	0.664
205	6.2	11.7	0.615
206	5.7	11.7	0.540
207	5.2	11.7	0.493
208	5.0	11.7	0.460
209	5.1	11.7	0.478
210	4.9	11.7	0.593
211	5.0	11.7	0.661
212	5.0	11.7	0.818
213	5.0	11.7	0.840
214	5.0	11.7	0.784
215	4.9	11.7	0.472
216	4.5	11.7	0.296
217	2.6	11.7	0.205
218	2.8	11.7	0.110
219	3.0	11.7	0.043
220	3.3	11.6	0.031
221	3.5	11.6	0.094
222	3.8	11.6	0.236
223	4.2	11.6	0.637
224	6.3	11.6	0.682
225	6.3	11.6	0.685
226	6.5	11.6	0.718
227	6.5	11.6	0.685
228	6.4	11.6	0.664
229	6.2	11.6	0.615
230	6.3	11.6	0.540
231	6.2	11.6	0.493
232	6.8	11.6	0.460
233	7.2	11.6	0.478
234	7.8	11.6	0.593
235	7.8	11.5	0.661
236	8.3	11.5	0.818
237	8.9	11.5	0.840
238	9.6	11.5	0.784
239	10.1	11.5	0.472
240	10.4	11.5	0.296
241	8.8	11.5	0.205
242	8.8	11.5	0.110
243	8.8	11.5	0.043
244	8.8	11.5	0.031
245	8.8	11.5	0.094
246	8.7	11.5	0.236
247	8.7	11.5	0.637
248	10.5	11.5	0.682
249	10.7	11.4	0.685
250	10.2	11.4	0.718
251	10.2	11.4	0.685
252	9.4	11.4	0.664
253	9.2	11.4	0.615
254	8.5	11.4	0.540
255	8.7	11.4	0.493
256	9.0	11.4	0.460
257	9.7	11.4	0.478
258	9.7	11.4	0.593
259	9.8	11.4	0.661
260	10.3	11.4	0.818
261	10.5	11.3	0.840
262	10.9	11.3	0.784
263	10.8	11.3	0.472
264	10.9	11.3	0.296
265	8.9	11.3	0.205
266	9.1	11.3	0.110
267	9.0	11.3	0.043
268	9.0	11.3	0.031
269	8.7	11.3	0.094
270	8.9	11.3	0.236
271	8.8	11.3	0.637
272	10.9	11.3	0.682
273	11.0	11.3	0.685
274	10.6	11.3	0.718
