# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	2.2	4.2	0.154
2	2.3	4.2	0.083
3	2.4	4.0	0.033
4	2.3	4.0	0.024
5	2.4	4.0	0.071
6	2.4	4.0	0.178
7	2.3	3.9	0.480
8	2.9	3.9	0.514
9	2.9	3.9	0.516
10	2.7	3.9	0.541
11	2.7	3.9	0.516
12	2.6	3.9	0.500
13	2.5	3.9	0.463
14	2.5	3.8	0.407
15	2.5	3.8	0.371
16	2.6	3.8	0.346
17	2.7	3.8	0.360
18	3.0	3.8	0.446
19	3.2	3.8	0.498
20	3.2	3.8	0.616
21	3.2	3.8	0.633
22	3.3	3.8	0.590
23	3.4	3.8	0.355
24	3.5	3.8	0.223
25	3.1	3.8	0.154
26	3.0	3.8	0.083
27	3.0	3.8	0.033
28	3.0	3.8	0.024
29	3.0	3.8	0.071
30	2.9	3.8	0.178
31	3.0	3.8	0.480
32	3.6	3.7	0.514
33	3.5	3.7	0.516
34	3.4	3.7	0.541
35	3.3	3.7	0.516
36	3.2	3.7	0.500
37	3.1	3.7	0.463
38	3.1	3.7	0.407
39	3.0	3.7	0.371
40	3.0	3.7	0.346
41	3.2	3.7	0.360
42	3.3	3.7	0.446
43	3.4	3.7	0.498
44	3.4	3.7	0.616
45	3.4	3.7	0.633
46	3.4	3.7	0.590
47	3.4	3.6	0.355
48	3.4	3.6	0.223
49	2.9	3.6	0.154
50	2.9	3.6	0.083
51	2.9	3.6	0.033
52	2.9	3.6	0.024
53	3.0	3.6	0.071
54	2.9	3.6	0.178
55	3.0	3.6	0.480
56	3.5	3.6	0.514
57	3.5	3.6	0.516
58	3.5	3.6	0.541
59	3.4	3.6	0.516
60	3.4	3.6	0.500
61	3.3	3.6	0.463
62	3.2	3.6	0.407
63	3.1	3.6	0.371
64	3.1	3.5	0.346
65	3.2	3.5	0.360
66	3.3	3.5	0.446
67	3.4	3.5	0.498
68	3.5	3.5	0.616
69	3.6	3.5	0.633
70	3.7	3.5	0.590
71	3.7	3.5	0.355
72	3.8	3.5	0.223
73	3.3	3.5	0.154
74	3.3	3.5	0.083
75	3.2	3.5	0.033
76	3.3	3.5	0.024
77	3.2	3.5	0.071
78	3.2	3.5	0.178
79	3.2	3.5	0.480
80	3.6	3.5	0.514
81	3.5	3.5	0.516
82	3.3	3.5	0.541
83	3.0	3.5	0.516
84	2.8	3.5	0.500
85	2.6	3.5	0.463
86	2.5	3.4	0.407
87	2.5	3.4	0.371
88	2.5	3.4	0.346
89	2.5	3.4	0.360
90	2.6	3.4	0.446
