# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	36.9	68.3	0.000
2	37.9	67.9	0.000
3	39.7	65.3	0.000
4	39.0	64.3	0.000
5	39.6	64.0	0.000
6	39.8	63.9	0.000
7	39.0	63.5	0.000
8	47.5	63.2	0.000
9	47.8	63.1	0.000
10	45.2	63.0	0.000
11	45.3	62.8	0.000
12	42.8	62.8	0.000
13	41.6	62.7	0.000
14	41.8	62.5	0.000
15	41.7	62.5	0.000
16	42.9	62.5	0.000
17	45.4	62.3	0.000
18	48.9	62.3	0.000
19	52.0	62.2	0.000
20	52.9	62.1	0.000
21	53.4	62.1	0.000
22	55.0	62.0	0.000
23	56.2	61.9	0.000
24	58.2	61.6	0.000
25	51.1	61.6	0.000
26	49.7	61.5	0.000
27	50.0	61.5	0.000
28	50.0	61.5	0.000
29	49.4	61.5	0.000
30	48.5	61.4	0.000
31	49.6	61.4	0.000
32	59.1	61.2	0.000
33	57.6	61.2	0.000
34	56.6	61.1	0.000
35	54.8	61.1	0.000
36	52.7	61.0	0.000
37	51.5	61.0	0.000
38	51.0	60.9	0.000
39	49.3	60.8	0.000
40	50.4	60.6	0.000
41	52.5	60.4	0.000
42	54.8	60.4	0.000
43	55.2	60.2	0.000
44	55.4	60.2	0.000
45	56.1	59.9	0.000
46	56.2	59.9	0.000
47	56.3	59.8	0.000
48	56.3	59.8	0.000
49	47.5	59.7	0.000
50	47.4	59.6	0.000
51	47.7	59.5	0.000
52	48.8	59.4	0.000
53	49.3	59.4	0.000
54	48.6	59.1	0.000
55	50.3	59.1	0.000
56	58.3	59.1	0.000
57	57.7	59.1	0.000
58	58.1	59.1	0.000
59	56.6	59.0	0.000
60	56.1	58.9	0.000
61	53.8	58.9	0.000
62	52.6	58.7	0.000
63	51.7	58.7	0.000
64	51.4	58.6	0.000
65	52.0	58.5	0.000
66	54.0	58.5	0.000
67	55.8	58.5	0.000
68	57.0	58.3	0.000
69	58.7	58.3	0.000
70	59.9	58.2	0.000
71	61.1	58.2	0.000
72	61.9	58.1	0.000
73	53.8	58.1	0.000
74	53.8	58.1	0.000
75	53.3	58.0	0.000
76	53.7	57.9	0.000
77	53.6	57.8	0.000
78	53.3	57.7	0.000
79	52.0	57.6	0.000
80	58.9	57.6	0.000
81	57.2	57.5	0.000
82	54.4	57.4	0.000
83	49.7	57.4	0.000
84	46.0	57.3	0.000
85	42.6	57.3	0.000
86	41.3	57.2	0.000
87	41.7	57.2	0.000
88	41.4	57.0	0.000
89	42.1	57.0	0.000
90	42.5	56.8	0.000
91	42.4	56.7	0.000
92	41.4	56.7	0.000
93	42.7	56.7	0.000
94	43.4	56.6	0.000
95	43.8	56.6	0.000
96	43.9	56.6	0.000
97	35.0	56.6	0.000
98	35.4	56.5	0.000
99	37.2	56.4	0.000
100	38.2	56.3	0.000
101	39.5	56.3	0.000
102	40.1	56.3	0.000
103	41.8	56.2	0.000
104	51.2	56.2	0.000
