# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	12.4	19.2	0.413
2	12.6	19.1	0.223
3	13.1	18.7	0.087
4	12.9	18.7	0.063
5	13.1	18.7	0.190
6	13.2	18.6	0.476
7	12.9	17.9	1.288
8	12.8	17.9	1.378
9	12.9	17.3	1.384
10	12.2	17.3	1.451
11	12.2	17.2	1.384
12	11.5	17.2	1.342
13	11.2	17.1	1.242
14	11.3	17.1	1.092
15	11.2	17.1	0.995
16	11.6	17.1	0.929
17	12.3	17.1	0.965
18	13.3	17.1	1.197
19	14.1	17.1	1.336
20	14.4	17.1	1.653
21	14.5	17.1	1.698
22	15.0	17.0	1.583
23	15.3	17.0	0.953
24	15.9	17.0	0.597
25	16.4	17.0	0.413
26	15.9	16.9	0.223
27	16.1	16.9	0.087
28	16.1	16.9	0.063
29	15.9	16.8	0.190
30	15.6	16.8	0.476
31	15.9	16.8	1.288
32	16.1	16.7	1.378
33	15.7	16.7	1.384
34	15.4	16.7	1.451
35	14.9	16.6	1.384
36	14.3	16.6	1.342
37	14.0	16.5	1.242
38	13.8	16.5	1.092
39	13.3	16.5	0.995
40	13.7	16.5	0.929
41	14.3	16.4	0.965
42	14.9	16.4	1.197
43	15.0	16.4	1.336
44	15.1	16.4	1.653
45	15.3	16.4	1.698
46	15.3	16.4	1.583
47	15.3	16.4	0.953
48	15.3	16.3	0.597
49	15.3	16.3	0.413
50	15.3	16.3	0.223
51	15.4	16.2	0.087
52	15.7	16.2	0.063
53	15.9	16.2	0.190
54	15.7	16.2	0.476
55	16.1	16.1	1.288
56	15.9	16.1	1.378
57	15.7	16.1	1.384
58	15.8	16.1	1.451
59	15.4	16.1	1.384
60	15.3	16.1	1.342
61	14.6	16.1	1.242
62	14.3	16.1	1.092
63	14.0	16.1	0.995
64	14.0	16.1	0.929
65	14.1	16.0	0.965
66	14.7	16.0	1.197
67	15.2	16.0	1.336
68	15.5	16.0	1.653
69	16.0	15.9	1.698
70	16.4	15.9	1.583
71	16.7	15.9	0.953
72	16.9	15.9	0.597
73	17.1	15.9	0.413
74	17.1	15.9	0.223
75	17.0	15.9	0.087
76	17.1	15.9	0.063
77	17.1	15.8	0.190
78	17.0	15.8	0.476
79	16.6	15.8	1.288
80	16.1	15.8	1.378
81	15.6	15.8	1.384
82	14.8	15.8	1.451
83	13.5	15.8	1.384
84	12.4	15.7	1.342
85	11.5	15.7	1.242
86	11.1	15.7	1.092
87	11.2	15.7	0.995
88	11.1	15.7	0.929
89	11.3	15.7	0.965
90	11.5	15.6	1.197
91	11.4	15.6	1.336
92	11.1	15.6	1.653
93	11.5	15.6	1.698
94	11.7	15.6	1.583
95	11.8	15.6	0.953
96	11.8	15.6	0.597
97	11.8	15.6	0.413
98	11.9	15.5	0.223
99	12.4	15.5	0.087
100	12.7	15.5	0.063
101	13.1	15.5	0.190
102	13.3	15.5	0.476
103	13.7	15.5	1.288
104	13.9	15.5	1.378
105	14.2	15.5	1.384
106	14.1	15.4	1.451
107	14.4	15.4	1.384
108	14.5	15.4	1.342
109	14.5	15.4	1.242
110	14.9	15.4	1.092
111	15.6	15.4	0.995
112	15.6	15.4	0.929
113	16.3	15.4	0.965
114	17.0	15.4	1.197
115	17.1	15.4	1.336
116	16.8	15.3	1.653
117	17.2	15.3	1.698
118	17.9	15.3	1.583
119	18.6	15.3	0.953
120	18.7	15.3	0.597
121	19.1	15.3	0.413
122	19.2	15.3	0.223
123	18.7	15.3	0.087
124	18.7	15.3	0.063
125	17.9	15.3	0.190
126	17.3	15.3	0.476
127	17.1	15.3	1.288
128	17.0	15.3	1.378
129	16.8	15.3	1.384
130	16.1	15.2	1.451
131	15.2	15.2	1.384
132	14.5	15.2	1.342
133	13.3	15.2	1.242
134	12.5	15.2	1.092
135	12.1	15.2	0.995
136	11.6	15.2	0.929
137	11.6	15.2	0.965
138	11.9	15.2	1.197
139	11.4	15.2	1.336
140	11.3	15.2	1.653
141	11.4	15.2	1.698
142	11.4	15.2	1.583
143	11.4	15.2	0.953
144	11.4	15.2	0.597
145	11.2	15.2	0.413
146	11.4	15.1	0.223
147	11.5	15.1	0.087
148	11.7	15.1	0.063
149	12.1	15.1	0.190
150	11.9	15.1	0.476
151	11.9	15.1	1.288
152	12.2	15.1	1.378
153	12.0	15.1	1.384
154	11.2	15.1	1.451
155	10.9	15.0	1.384
156	10.3	15.0	1.342
157	9.9	15.0	1.242
158	9.0	15.0	1.092
159	8.7	15.0	0.995
160	8.6	15.0	0.929
161	9.5	15.0	0.965
162	10.0	15.0	1.197
163	10.8	15.0	1.336
164	10.9	15.0	1.653
165	11.6	15.0	1.698
166	11.7	15.0	1.583
167	12.4	15.0	0.953
168	12.6	15.0	0.597
169	12.9	15.0	0.413
170	12.8	15.0	0.223
171	12.9	15.0	0.087
172	12.4	15.0	0.063
173	12.3	14.9	0.190
174	11.8	14.9	0.476
175	11.8	14.9	1.288
176	11.6	14.9	1.378
177	11.6	14.9	1.384
178	11.3	14.9	1.451
179	10.7	14.9	1.384
180	10.1	14.9	1.342
181	10.3	14.9	1.242
182	10.1	14.9	1.092
183	10.3	14.9	0.995
184	10.2	14.9	0.929
185	10.1	14.9	0.965
