# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	7.7	14.7	0.223
2	7.9	14.6	0.120
3	8.3	14.1	0.047
4	8.2	14.0	0.034
5	8.3	14.0	0.103
6	8.4	14.0	0.257
7	8.2	13.9	0.695
8	10.1	13.9	0.744
9	10.1	13.8	0.747
10	9.6	13.8	0.783
11	9.6	13.7	0.747
12	9.0	13.7	0.724
13	8.8	13.7	0.670
14	8.8	13.6	0.589
15	8.8	13.6	0.537
16	9.1	13.6	0.501
17	9.6	13.5	0.521
18	10.4	13.5	0.646
19	11.1	13.5	0.721
20	11.3	13.5	0.892
21	11.4	13.5	0.916
22	11.8	13.5	0.854
23	12.0	13.5	0.514
24	12.5	13.4	0.322
25	10.9	13.4	0.223
26	10.6	13.4	0.120
27	10.6	13.4	0.047
28	10.7	13.3	0.034
29	10.5	13.3	0.103
30	10.3	13.3	0.257
31	10.5	13.3	0.695
32	12.7	13.2	0.744
33	12.3	13.2	0.747
34	12.1	13.2	0.783
35	11.7	13.2	0.747
36	11.2	13.2	0.724
37	11.0	13.2	0.670
38	10.9	13.1	0.589
39	10.5	13.1	0.537
40	10.7	13.1	0.501
41	11.2	13.1	0.521
42	11.7	13.1	0.646
43	11.8	13.1	0.721
44	11.8	13.0	0.892
45	12.0	13.0	0.916
46	12.0	12.9	0.854
47	12.0	12.9	0.514
48	12.1	12.9	0.322
49	10.1	12.9	0.223
50	10.1	12.9	0.120
51	10.1	12.8	0.047
52	10.4	12.8	0.034
53	10.5	12.8	0.103
54	10.3	12.8	0.257
55	10.7	12.8	0.695
56	12.5	12.7	0.744
57	12.4	12.7	0.747
58	12.4	12.7	0.783
59	12.1	12.7	0.747
60	12.0	12.7	0.724
61	11.5	12.7	0.670
62	11.2	12.6	0.589
63	11.0	12.6	0.537
64	11.0	12.6	0.501
65	11.1	12.5	0.521
66	11.5	12.5	0.646
67	11.9	12.5	0.721
68	12.2	12.5	0.892
69	12.6	12.5	0.916
70	12.9	12.5	0.854
71	13.1	12.4	0.514
72	13.3	12.4	0.322
73	11.5	12.4	0.223
74	11.5	12.4	0.120
75	11.4	12.4	0.047
76	11.5	12.4	0.034
77	11.4	12.3	0.103
78	11.4	12.3	0.257
79	11.1	12.3	0.695
80	12.6	12.3	0.744
81	12.3	12.3	0.747
82	11.6	12.3	0.783
83	10.6	12.3	0.747
84	9.7	12.3	0.724
85	9.0	12.3	0.670
86	8.7	12.3	0.589
87	8.8	12.2	0.537
88	8.7	12.2	0.501
89	8.9	12.2	0.521
90	9.0	12.2	0.646
91	9.0	12.2	0.721
92	8.7	12.2	0.892
93	9.0	12.2	0.916
94	9.2	12.1	0.854
95	9.3	12.1	0.514
96	9.3	12.1	0.322
97	7.3	12.1	0.223
98	7.4	12.1	0.120
99	7.8	12.1	0.047
100	8.0	12.1	0.034
101	8.3	12.1	0.103
102	8.4	12.1	0.257
103	8.8	12.1	0.695
104	10.9	12.1	0.744
105	11.1	12.1	0.747
106	11.1	12.1	0.783
107	11.3	12.1	0.747
108	11.4	12.1	0.724
109	11.4	12.0	0.670
110	11.7	12.0	0.589
111	12.3	12.0	0.537
112	12.2	12.0	0.501
113	12.8	12.0	0.521
114	13.3	12.0	0.646
115	13.4	12.0	0.721
116	13.2	12.0	0.892
117	13.5	12.0	0.916
118	14.0	12.0	0.854
119	14.6	12.0	0.514
120	14.7	12.0	0.322
121	13.1	12.0	0.223
122	13.1	12.0	0.120
123	12.8	12.0	0.047
124	12.7	12.0	0.034
125	12.1	12.0	0.103
126	11.7	12.0	0.257
127	11.5	11.9	0.695
128	13.4	11.9	0.744
129	13.2	11.9	0.747
130	12.7	11.9	0.783
131	11.9	11.9	0.747
132	11.3	11.9	0.724
133	10.4	11.9	0.670
134	9.7	11.9	0.589
135	9.4	11.9	0.537
136	9.0	11.9	0.501
137	9.0	11.8	0.521
138	9.3	11.8	0.646
139	8.9	11.8	0.721
140	8.9	11.8	0.892
141	8.9	11.8	0.916
142	8.9	11.8	0.854
143	8.9	11.8	0.514
144	8.9	11.8	0.322
145	6.8	11.8	0.223
146	7.0	11.7	0.120
147	7.0	11.7	0.047
148	7.2	11.7	0.034
149	7.5	11.7	0.103
150	7.3	11.7	0.257
151	7.4	11.7	0.695
152	9.5	11.7	0.744
153	9.4	11.7	0.747
154	8.8	11.7	0.783
155	8.6	11.7	0.747
156	8.1	11.6	0.724
157	7.8	11.6	0.670
158	7.1	11.6	0.589
159	6.9	11.6	0.537
160	6.8	11.6	0.501
161	7.5	11.6	0.521
162	7.9	11.6	0.646
163	8.5	11.6	0.721
164	8.6	11.6	0.892
165	9.1	11.6	0.916
166	9.2	11.5	0.854
167	9.8	11.5	0.514
168	9.9	11.5	0.322
169	8.1	11.5	0.223
170	8.1	11.5	0.120
171	8.2	11.5	0.047
172	7.8	11.5	0.034
173	7.7	11.5	0.103
174	7.3	11.5	0.257
175	7.3	11.5	0.695
176	9.1	11.5	0.744
177	9.1	11.5	0.747
178	8.9	11.5	0.783
179	8.4	11.5	0.747
180	7.9	11.5	0.724
181	8.1	11.5	0.670
182	7.9	11.5	0.589
183	8.1	11.5	0.537
184	8.0	11.5	0.501
185	7.9	11.5	0.521
186	8.0	11.4	0.646
187	8.2	11.4	0.721
188	7.8	11.4	0.892
189	7.5	11.4	0.916
190	7.5	11.4	0.854
191	7.1	11.4	0.514
192	6.9	11.4	0.322
193	4.5	11.4	0.223
194	4.5	11.4	0.120
195	4.8	11.4	0.047
196	4.8	11.4	0.034
197	4.5	11.4	0.103
198	4.2	11.4	0.257
199	4.5	11.4	0.695
200	6.4	11.4	0.744
201	6.5	11.4	0.747
202	6.0	11.4	0.783
203	6.0	11.4	0.747
204	6.1	11.4	0.724
205	5.9	11.4	0.670
206	5.4	11.4	0.589
207	5.0	11.3	0.537
208	4.8	11.3	0.501
209	4.9	11.3	0.521
210	4.7	11.3	0.646
211	4.8	11.3	0.721
