# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	5.4	10.2	0.122
2	5.5	10.1	0.066
3	5.8	9.8	0.026
4	5.7	9.7	0.019
5	5.8	9.7	0.056
6	5.8	9.7	0.140
7	5.7	9.6	0.379
8	7.0	9.6	0.406
9	7.0	9.5	0.408
10	6.6	9.5	0.427
11	6.6	9.5	0.408
12	6.3	9.5	0.395
13	6.1	9.4	0.366
14	6.1	9.4	0.322
15	6.1	9.4	0.293
16	6.3	9.4	0.274
17	6.7	9.4	0.284
18	7.2	9.3	0.353
19	7.7	9.3	0.394
20	7.8	9.3	0.487
21	7.9	9.3	0.500
22	8.1	9.3	0.466
23	8.3	9.3	0.281
24	8.6	9.3	0.176
25	7.5	9.3	0.122
26	7.3	9.3	0.066
27	7.4	9.2	0.026
28	7.4	9.2	0.019
29	7.3	9.2	0.056
30	7.1	9.2	0.140
31	7.3	9.2	0.379
32	8.8	9.1	0.406
33	8.5	9.1	0.408
34	8.4	9.1	0.427
35	8.1	9.1	0.408
36	7.8	9.1	0.395
37	7.6	9.1	0.366
38	7.5	9.1	0.322
39	7.3	9.1	0.293
40	7.4	9.1	0.274
41	7.8	9.1	0.284
42	8.1	9.0	0.353
43	8.2	9.0	0.394
44	8.2	9.0	0.487
45	8.3	8.9	0.500
46	8.3	8.9	0.466
47	8.3	8.9	0.281
48	8.3	8.9	0.176
49	7.0	8.9	0.122
50	7.0	8.9	0.066
51	7.0	8.8	0.026
52	7.2	8.8	0.019
53	7.3	8.8	0.056
54	7.2	8.8	0.140
55	7.4	8.8	0.379
56	8.6	8.8	0.406
57	8.6	8.8	0.408
58	8.6	8.8	0.427
59	8.4	8.8	0.408
60	8.3	8.8	0.395
61	8.0	8.7	0.366
62	7.8	8.7	0.322
63	7.6	8.7	0.293
64	7.6	8.7	0.274
65	7.7	8.7	0.284
66	8.0	8.7	0.353
67	8.3	8.6	0.394
68	8.5	8.6	0.487
69	8.7	8.6	0.500
70	8.9	8.6	0.466
71	9.1	8.6	0.281
72	9.2	8.6	0.176
73	8.0	8.6	0.122
74	8.0	8.6	0.066
75	7.9	8.6	0.026
76	7.9	8.5	0.019
77	7.9	8.5	0.056
78	7.9	8.5	0.140
79	7.7	8.5	0.379
80	8.7	8.5	0.406
81	8.5	8.5	0.408
82	8.0	8.5	0.427
83	7.3	8.5	0.408
84	6.7	8.5	0.395
85	6.2	8.5	0.366
86	6.0	8.5	0.322
87	6.1	8.5	0.293
88	6.0	8.4	0.274
89	6.2	8.4	0.284
90	6.2	8.4	0.353
91	6.2	8.4	0.394
92	6.0	8.4	0.487
93	6.2	8.4	0.500
