# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	6.7	12.8	0.184
2	6.9	12.7	0.099
3	7.3	12.3	0.039
4	7.1	12.2	0.028
5	7.3	12.2	0.085
6	7.3	12.2	0.212
7	7.1	12.1	0.573
8	8.8	12.1	0.614
9	8.8	12.0	0.616
10	8.3	11.9	0.646
11	8.4	11.9	0.616
12	7.9	11.9	0.597
13	7.6	11.9	0.553
14	7.7	11.8	0.486
15	7.7	11.8	0.443
16	7.9	11.8	0.414
17	8.4	11.8	0.430
18	9.1	11.7	0.533
19	9.7	11.7	0.595
20	9.8	11.7	0.736
21	9.9	11.7	0.756
22	10.2	11.7	0.705
23	10.5	11.7	0.424
24	10.9	11.7	0.266
25	9.5	11.7	0.184
26	9.2	11.7	0.099
27	9.3	11.6	0.039
28	9.3	11.6	0.028
29	9.2	11.6	0.085
30	9.0	11.6	0.212
31	9.2	11.5	0.573
32	11.0	11.5	0.614
33	10.7	11.5	0.616
34	10.5	11.5	0.646
35	10.2	11.5	0.616
36	9.8	11.5	0.597
37	9.6	11.5	0.553
38	9.5	11.4	0.486
39	9.1	11.4	0.443
40	9.3	11.4	0.414
41	9.8	11.4	0.430
42	10.2	11.4	0.533
43	10.3	11.4	0.595
44	10.3	11.3	0.736
45	10.4	11.3	0.756
46	10.5	11.2	0.705
47	10.5	11.2	0.424
48	10.5	11.2	0.266
49	8.8	11.2	0.184
50	8.8	11.1	0.099
51	8.8	11.1	0.039
52	9.0	11.1	0.028
53	9.1	11.1	0.085
54	9.0	11.1	0.212
55	9.3	11.1	0.573
56	10.9	11.0	0.614
57	10.8	11.0	0.616
58	10.8	11.0	0.646
59	10.5	11.0	0.616
60	10.5	11.0	0.597
61	10.0	11.0	0.553
62	9.8	10.9	0.486
63	9.6	10.9	0.443
64	9.6	10.9	0.414
65	9.7	10.9	0.430
66	10.0	10.9	0.533
67	10.4	10.9	0.595
68	10.6	10.8	0.736
69	11.0	10.8	0.756
70	11.2	10.8	0.705
71	11.4	10.8	0.424
72	11.6	10.8	0.266
73	10.0	10.8	0.184
74	10.0	10.8	0.099
75	9.9	10.7	0.039
76	10.0	10.7	0.028
77	10.0	10.7	0.085
78	9.9	10.7	0.212
79	9.7	10.7	0.573
80	11.0	10.7	0.614
81	10.7	10.7	0.616
82	10.1	10.7	0.646
83	9.2	10.7	0.616
84	8.5	10.7	0.597
85	7.8	10.6	0.553
86	7.6	10.6	0.486
87	7.7	10.6	0.443
88	7.6	10.6	0.414
89	7.7	10.6	0.430
90	7.8	10.6	0.533
91	7.8	10.6	0.595
92	7.6	10.6	0.736
93	7.8	10.6	0.756
94	8.0	10.6	0.705
95	8.1	10.6	0.424
96	8.1	10.5	0.266
97	6.4	10.5	0.184
98	6.4	10.5	0.099
99	6.8	10.5	0.039
100	7.0	10.5	0.028
101	7.2	10.5	0.085
102	7.4	10.5	0.212
103	7.7	10.5	0.573
104	9.5	10.5	0.614
105	9.7	10.5	0.616
106	9.7	10.5	0.646
107	9.8	10.5	0.616
108	9.9	10.5	0.597
109	10.0	10.5	0.553
110	10.2	10.5	0.486
111	10.7	10.5	0.443
112	10.7	10.5	0.414
113	11.1	10.5	0.430
114	11.6	10.4	0.533
115	11.7	10.4	0.595
116	11.5	10.4	0.736
117	11.8	10.4	0.756
118	12.2	10.4	0.705
119	12.7	10.4	0.424
120	12.8	10.4	0.266
121	11.4	10.4	0.184
122	11.4	10.4	0.099
123	11.1	10.4	0.039
124	11.1	10.4	0.028
125	10.6	10.4	0.085
126	10.2	10.4	0.212
127	10.0	10.4	0.573
128	11.7	10.4	0.614
129	11.5	10.4	0.616
130	11.0	10.3	0.646
131	10.4	10.3	0.616
132	9.8	10.3	0.597
133	9.1	10.3	0.553
134	8.5	10.3	0.486
135	8.2	10.3	0.443
136	7.8	10.2	0.414
137	7.8	10.2	0.430
138	8.1	10.2	0.533
139	7.8	10.2	0.595
140	7.7	10.2	0.736
141	7.8	10.2	0.756
142	7.8	10.2	0.705
143	7.8	10.2	0.424
144	7.8	10.2	0.266
145	5.9	10.2	0.184
146	6.1	10.2	0.099
147	6.1	10.2	0.039
148	6.3	10.1	0.028
149	6.6	10.1	0.085
150	6.4	10.1	0.212
151	6.4	10.1	0.573
152	8.3	10.1	0.614
153	8.2	10.1	0.616
154	7.7	10.1	0.646
155	7.5	10.1	0.616
156	7.1	10.1	0.597
157	6.8	10.1	0.553
158	6.2	10.1	0.486
159	6.0	10.1	0.443
160	5.9	10.0	0.414
161	6.5	10.0	0.430
162	6.9	10.0	0.533
163	7.4	10.0	0.595
164	7.5	10.0	0.736
165	7.9	10.0	0.756
166	8.0	10.0	0.705
167	8.5	10.0	0.424
168	8.6	10.0	0.266
169	7.1	10.0	0.184
170	7.0	10.0	0.099
171	7.1	10.0	0.039
172	6.8	10.0	0.028
173	6.7	10.0	0.085
174	6.4	10.0	0.212
175	6.3	10.0	0.573
176	7.9	10.0	0.614
177	7.9	10.0	0.616
178	7.7	10.0	0.646
179	7.3	10.0	0.616
180	6.9	10.0	0.597
181	7.1	10.0	0.553
182	6.9	9.9	0.486
183	7.0	9.9	0.443
184	7.0	9.9	0.414
185	6.9	9.9	0.430
186	7.0	9.9	0.533
187	7.2	9.9	0.595
188	6.8	9.9	0.736
189	6.5	9.9	0.756
190	6.5	9.9	0.705
191	6.2	9.9	0.424
192	6.0	9.9	0.266
193	3.9	9.9	0.184
194	3.9	9.9	0.099
195	4.1	9.9	0.039
196	4.2	9.9	0.028
