# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	10.4	19.8	0.291
2	10.7	19.7	0.157
3	11.2	19.0	0.062
4	11.0	18.9	0.045
5	11.2	18.9	0.134
6	11.3	18.9	0.336
7	11.0	18.8	0.908
8	13.6	18.7	0.972
9	13.7	18.6	0.976
10	12.9	18.5	1.023
11	12.9	18.5	0.976
12	12.2	18.5	0.946
13	11.8	18.4	0.876
14	11.9	18.4	0.770
15	11.8	18.3	0.702
16	12.2	18.3	0.655
17	13.0	18.2	0.680
18	14.0	18.2	0.844
19	14.9	18.2	0.942
20	15.2	18.2	1.165
21	15.3	18.2	1.197
22	15.8	18.2	1.116
23	16.2	18.2	0.672
24	16.8	18.1	0.421
25	14.7	18.1	0.291
26	14.2	18.0	0.157
27	14.3	18.0	0.062
28	14.3	18.0	0.045
29	14.1	18.0	0.134
30	13.9	17.9	0.336
31	14.2	17.9	0.908
32	17.1	17.8	0.972
33	16.6	17.8	0.976
34	16.3	17.8	1.023
35	15.8	17.8	0.976
36	15.1	17.7	0.946
37	14.8	17.7	0.876
38	14.6	17.7	0.770
39	14.1	17.7	0.702
40	14.4	17.6	0.655
41	15.1	17.6	0.680
42	15.8	17.6	0.844
43	15.9	17.6	0.942
44	15.9	17.5	1.165
45	16.1	17.4	1.197
46	16.2	17.4	1.116
47	16.2	17.4	0.672
48	16.2	17.3	0.421
49	13.6	17.3	0.291
50	13.5	17.2	0.157
51	13.6	17.2	0.062
52	14.0	17.2	0.045
53	14.1	17.2	0.134
54	13.9	17.2	0.336
55	14.4	17.1	0.908
56	16.8	17.1	0.972
57	16.6	17.1	0.976
58	16.7	17.1	1.023
59	16.3	17.1	0.976
60	16.1	17.1	0.946
61	15.5	17.1	0.876
62	15.1	17.0	0.770
63	14.8	17.0	0.702
64	14.8	16.9	0.655
65	14.9	16.9	0.680
66	15.5	16.9	0.844
67	16.0	16.8	0.942
68	16.4	16.8	1.165
69	16.9	16.8	1.197
70	17.3	16.7	1.116
71	17.6	16.7	0.672
72	17.9	16.7	0.421
73	15.5	16.7	0.291
74	15.5	16.6	0.157
75	15.3	16.6	0.062
76	15.4	16.6	0.045
77	15.4	16.6	0.134
78	15.3	16.6	0.336
79	14.9	16.6	0.908
80	17.0	16.6	0.972
81	16.5	16.5	0.976
82	15.6	16.5	1.023
83	14.2	16.5	0.976
84	13.1	16.5	0.946
85	12.1	16.5	0.876
86	11.7	16.5	0.770
87	11.8	16.5	0.702
88	11.7	16.4	0.655
89	12.0	16.4	0.680
90	12.1	16.4	0.844
91	12.0	16.4	0.942
92	11.8	16.4	1.165
93	12.1	16.4	1.197
94	12.3	16.4	1.116
95	12.5	16.3	0.672
96	12.5	16.3	0.421
97	9.8	16.3	0.291
98	10.0	16.3	0.157
99	10.5	16.3	0.062
