# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	16.1	25.0	0.406
2	16.5	25.0	0.219
3	17.1	24.5	0.086
4	16.9	24.4	0.062
5	17.1	24.4	0.187
6	17.2	24.3	0.468
7	16.9	23.4	1.265
8	16.8	23.3	1.354
9	16.9	22.6	1.360
10	15.9	22.5	1.425
11	16.0	22.5	1.360
12	15.1	22.4	1.318
13	14.6	22.4	1.221
14	14.7	22.3	1.073
15	14.7	22.3	0.978
16	15.1	22.3	0.913
17	16.0	22.3	0.948
18	17.3	22.3	1.176
19	18.4	22.3	1.313
20	18.8	22.3	1.624
21	18.9	22.3	1.668
22	19.5	22.2	1.555
23	20.0	22.2	0.936
24	20.7	22.1	0.587
25	21.3	22.1	0.406
26	20.8	22.1	0.219
27	20.9	22.1	0.086
28	21.0	22.0	0.062
29	20.7	21.9	0.187
30	20.4	21.9	0.468
31	20.8	21.8	1.265
32	21.1	21.8	1.354
33	20.5	21.7	1.360
34	20.1	21.7	1.425
35	19.5	21.7	1.360
36	18.7	21.7	1.318
37	18.2	21.5	1.221
38	18.0	21.5	1.073
39	17.4	21.5	0.978
40	17.8	21.4	0.913
41	18.6	21.4	0.948
42	19.5	21.4	1.176
43	19.6	21.3	1.313
44	19.7	21.3	1.624
45	19.9	21.3	1.668
46	20.0	21.2	1.555
47	20.0	21.2	0.936
48	20.0	21.2	0.587
49	20.0	21.2	0.406
50	20.0	21.2	0.219
51	20.1	21.2	0.086
52	20.5	21.1	0.062
53	20.7	21.1	0.187
54	20.4	21.1	0.468
55	21.0	21.1	1.265
56	20.7	21.1	1.354
57	20.5	21.1	1.360
58	20.7	21.0	1.425
59	20.1	21.0	1.360
60	19.9	21.0	1.318
61	19.1	21.0	1.221
62	18.6	21.0	1.073
63	18.3	20.9	0.978
64	18.2	20.9	0.913
65	18.4	20.9	0.948
66	19.2	20.9	1.176
67	19.8	20.8	1.313
68	20.3	20.8	1.624
69	20.9	20.8	1.668
70	21.4	20.8	1.555
71	21.8	20.7	0.936
72	22.1	20.7	0.587
73	22.3	20.7	0.406
74	22.3	20.7	0.219
75	22.1	20.7	0.086
76	22.3	20.7	0.062
77	22.3	20.6	0.187
78	22.1	20.6	0.468
79	21.7	20.6	1.265
80	21.0	20.6	1.354
81	20.4	20.5	1.360
82	19.3	20.5	1.425
83	17.6	20.5	1.360
84	16.2	20.5	1.318
85	15.0	20.5	1.221
86	14.5	20.4	1.073
87	14.6	20.4	0.978
88	14.5	20.4	0.913
89	14.8	20.4	0.948
90	14.9	20.4	1.176
91	14.9	20.4	1.313
92	14.5	20.4	1.624
93	15.0	20.3	1.668
94	15.3	20.3	1.555
95	15.4	20.3	0.936
96	15.4	20.3	0.587
97	15.4	20.3	0.406
98	15.6	20.2	0.219
99	16.2	20.2	0.086
100	16.6	20.2	0.062
101	17.1	20.2	0.187
102	17.3	20.2	0.468
103	17.9	20.1	1.265
104	18.1	20.1	1.354
105	18.5	20.1	1.360
106	18.4	20.1	1.425
107	18.8	20.1	1.360
108	18.9	20.1	1.318
109	19.0	20.1	1.221
110	19.4	20.0	1.073
111	20.4	20.0	0.978
112	20.3	20.0	0.913
113	21.2	20.0	0.948
114	22.2	20.0	1.176
115	22.3	20.0	1.313
116	21.9	20.0	1.624
117	22.5	20.0	1.668
118	23.3	20.0	1.555
119	24.3	20.0	0.936
120	24.4	20.0	0.587
121	25.0	19.9	0.406
122	25.0	19.9	0.219
123	24.5	19.9	0.086
124	24.4	19.9	0.062
125	23.4	19.9	0.187
126	22.6	19.9	0.468
127	22.4	19.9	1.265
128	22.2	19.8	1.354
129	21.9	19.8	1.360
130	21.1	19.8	1.425
131	19.9	19.8	1.360
132	18.9	19.8	1.318
133	17.4	19.8	1.221
134	16.3	19.8	1.073
135	15.8	19.8	0.978
136	15.1	19.8	0.913
137	15.1	19.8	0.948
138	15.5	19.8	1.176
139	14.9	19.7	1.313
140	14.8	19.7	1.624
141	14.9	19.7	1.668
142	14.9	19.7	1.555
143	14.9	19.7	0.936
144	14.8	19.7	0.587
145	14.6	19.6	0.406
146	14.9	19.6	0.219
147	15.0	19.6	0.086
148	15.2	19.6	0.062
149	15.8	19.6	0.187
150	15.5	19.6	0.468
151	15.6	19.6	1.265
152	15.9	19.6	1.354
153	15.6	19.6	1.360
154	14.6	19.6	1.425
155	14.2	19.6	1.360
