# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	1.6	2.7	0.000
2	1.7	2.7	0.000
3	1.7	2.6	0.000
4	1.7	2.6	0.000
5	1.7	2.6	0.000
6	1.7	2.6	0.000
7	1.7	2.5	0.000
8	1.7	2.5	0.000
9	1.7	2.4	0.000
10	1.6	2.4	0.000
11	1.6	2.4	0.000
12	1.5	2.4	0.000
13	1.4	2.4	0.000
14	1.5	2.4	0.000
15	1.5	2.4	0.000
16	1.5	2.4	0.000
17	1.6	2.4	0.000
18	1.8	2.4	0.000
19	1.9	2.4	0.000
20	1.9	2.4	0.000
21	2.0	2.4	0.000
22	2.0	2.3	0.000
23	2.1	2.3	0.000
24	2.2	2.3	0.000
25	2.2	2.3	0.000
26	2.2	2.3	0.000
27	2.2	2.3	0.000
28	2.2	2.3	0.000
29	2.2	2.3	0.000
30	2.1	2.3	0.000
31	2.2	2.3	0.000
32	2.2	2.3	0.000
33	2.1	2.3	0.000
34	2.1	2.2	0.000
35	2.0	2.2	0.000
36	1.9	2.2	0.000
37	1.9	2.2	0.000
38	1.9	2.2	0.000
39	1.8	2.2	0.000
40	1.8	2.2	0.000
41	1.9	2.2	0.000
42	2.0	2.2	0.000
43	2.0	2.2	0.000
44	2.0	2.2	0.000
45	2.1	2.2	0.000
46	2.1	2.2	0.000
47	2.1	2.2	0.000
48	2.1	2.2	0.000
49	2.1	2.2	0.000
50	2.1	2.2	0.000
51	2.1	2.2	0.000
52	2.1	2.2	0.000
53	2.2	2.2	0.000
54	2.1	2.2	0.000
55	2.2	2.2	0.000
56	2.2	2.2	0.000
57	2.1	2.2	0.000
58	2.2	2.2	0.000
59	2.1	2.2	0.000
60	2.1	2.2	0.000
61	2.0	2.2	0.000
62	1.9	2.2	0.000
63	1.9	2.2	0.000
64	1.9	2.2	0.000
65	1.9	2.2	0.000
66	2.0	2.2	0.000
67	2.1	2.2	0.000
68	2.1	2.2	0.000
69	2.2	2.2	0.000
70	2.2	2.2	0.000
71	2.3	2.2	0.000
72	2.3	2.1	0.000
73	2.4	2.1	0.000
74	2.4	2.1	0.000
75	2.3	2.1	0.000
76	2.4	2.1	0.000
77	2.4	2.1	0.000
78	2.3	2.1	0.000
79	2.3	2.1	0.000
80	2.2	2.1	0.000
81	2.1	2.1	0.000
82	2.0	2.1	0.000
83	1.8	2.1	0.000
84	1.6	2.1	0.000
85	1.5	2.1	0.000
86	1.4	2.1	0.000
87	1.4	2.1	0.000
88	1.4	2.1	0.000
89	1.5	2.1	0.000
90	1.5	2.1	0.000
91	1.5	2.1	0.000
92	1.4	2.1	0.000
93	1.5	2.1	0.000
94	1.5	2.1	0.000
95	1.5	2.1	0.000
96	1.5	2.1	0.000
97	1.5	2.1	0.000
98	1.6	2.1	0.000
99	1.6	2.1	0.000
100	1.7	2.1	0.000
101	1.7	2.1	0.000
102	1.8	2.1	0.000
103	1.8	2.1	0.000
104	1.9	2.1	0.000
105	1.9	2.1	0.000
106	1.9	2.1	0.000
107	1.9	2.1	0.000
108	2.0	2.1	0.000
109	2.0	2.1	0.000
110	2.0	2.1	0.000
111	2.1	2.1	0.000
112	2.1	2.1	0.000
113	2.2	2.1	0.000
114	2.3	2.1	0.000
115	2.4	2.1	0.000
116	2.3	2.1	0.000
117	2.4	2.1	0.000
118	2.5	2.1	0.000
119	2.6	2.1	0.000
120	2.6	2.1	0.000
121	2.7	2.1	0.000
122	2.7	2.0	0.000
123	2.6	2.0	0.000
124	2.6	2.0	0.000
125	2.5	2.0	0.000
126	2.4	2.0	0.000
127	2.4	2.0	0.000
128	2.3	2.0	0.000
129	2.3	2.0	0.000
130	2.2	2.0	0.000
131	2.1	2.0	0.000
132	2.0	2.0	0.000
133	1.8	2.0	0.000
134	1.6	2.0	0.000
135	1.6	2.0	0.000
136	1.5	2.0	0.000
137	1.5	2.0	0.000
138	1.6	2.0	0.000
139	1.5	2.0	0.000
140	1.5	2.0	0.000
141	1.5	2.0	0.000
142	1.5	2.0	0.000
143	1.5	2.0	0.000
144	1.5	2.0	0.000
145	1.4	2.0	0.000
146	1.5	2.0	0.000
147	1.5	2.0	0.000
148	1.5	2.0	0.000
149	1.6	2.0	0.000
150	1.5	2.0	0.000
151	1.6	2.0	0.000
152	1.6	2.0	0.000
153	1.6	2.0	0.000
154	1.4	2.0	0.000
155	1.4	2.0	0.000
156	1.3	2.0	0.000
157	1.2	2.0	0.000
158	1.1	2.0	0.000
159	1.1	2.0	0.000
160	1.1	2.0	0.000
161	1.2	2.0	0.000
162	1.3	2.0	0.000
163	1.4	2.0	0.000
164	1.4	2.0	0.000
165	1.5	2.0	0.000
166	1.5	2.0	0.000
167	1.6	2.0	0.000
168	1.7	2.0	0.000
169	1.7	2.0	0.000
170	1.7	2.0	0.000
171	1.7	2.0	0.000
172	1.6	2.0	0.000
173	1.6	2.0	0.000
174	1.5	2.0	0.000
175	1.5	2.0	0.000
176	1.5	2.0	0.000
177	1.5	2.0	0.000
178	1.5	2.0	0.000
179	1.4	2.0	0.000
180	1.3	2.0	0.000
181	1.3	2.0	0.000
182	1.3	2.0	0.000
183	1.3	2.0	0.000
184	1.3	2.0	0.000
185	1.3	2.0	0.000
186	1.3	2.0	0.000
187	1.3	2.0	0.000
188	1.2	2.0	0.000
189	1.2	2.0	0.000
190	1.2	2.0	0.000
191	1.1	2.0	0.000
192	1.1	2.0	0.000
193	1.0	2.0	0.000
194	1.0	2.0	0.000
195	1.0	2.0	0.000
196	1.1	2.0	0.000
197	1.0	2.0	0.000
198	0.9	2.0	0.000
199	1.0	2.0	0.000
200	1.0	2.0	0.000
201	1.0	2.0	0.000
202	0.9	2.0	0.000
203	0.9	2.0	0.000
204	0.9	2.0	0.000
205	0.9	2.0	0.000
206	0.8	2.0	0.000
207	0.7	2.0	0.000
208	0.7	2.0	0.000
209	0.7	1.9	0.000
210	0.6	1.9	0.000
211	0.7	1.9	0.000
212	0.7	1.9	0.000
213	0.7	1.9	0.000
214	0.7	1.9	0.000
215	0.6	1.9	0.000
216	0.6	1.9	0.000
217	0.6	1.9	0.000
218	0.6	1.9	0.000
219	0.7	1.9	0.000
220	0.7	1.9	0.000
221	0.8	1.9	0.000
222	0.8	1.9	0.000
223	0.9	1.9	0.000
224	0.9	1.9	0.000
225	0.9	1.9	0.000
226	0.9	1.9	0.000
227	0.9	1.9	0.000
228	0.9	1.9	0.000
229	0.9	1.9	0.000
230	0.9	1.9	0.000
231	0.9	1.9	0.000
232	1.0	1.9	0.000
233	1.1	1.9	0.000
234	1.2	1.9	0.000
235	1.2	1.9	0.000
236	1.3	1.9	0.000
237	1.4	1.9	0.000
238	1.5	1.9	0.000
239	1.6	1.9	0.000
240	1.7	1.9	0.000
241	1.8	1.9	0.000
242	1.8	1.9	0.000
243	1.8	1.9	0.000
244	1.8	1.9	0.000
245	1.8	1.9	0.000
246	1.7	1.9	0.000
247	1.7	1.9	0.000
248	1.7	1.9	0.000
249	1.7	1.9	0.000
250	1.6	1.9	0.000
251	1.7	1.9	0.000
252	1.5	1.9	0.000
253	1.5	1.9	0.000
254	1.3	1.9	0.000
255	1.4	1.9	0.000
256	1.4	1.9	0.000
257	1.6	1.9	0.000
258	1.6	1.9	0.000
259	1.6	1.9	0.000
260	1.7	1.9	0.000
261	1.7	1.9	0.000
262	1.8	1.9	0.000
263	1.8	1.9	0.000
264	1.8	1.9	0.000
265	1.8	1.9	0.000
266	1.8	1.9	0.000
267	1.8	1.9	0.000
