# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	12.1	23.0	0.439
2	12.4	22.9	0.237
3	13.1	22.1	0.093
4	12.8	22.0	0.067
5	13.0	22.0	0.202
6	13.1	22.0	0.507
7	12.8	21.8	1.369
8	15.8	21.7	1.465
9	15.9	21.6	1.472
10	15.0	21.5	1.542
11	15.0	21.5	1.472
12	14.2	21.5	1.427
13	13.7	21.4	1.321
14	13.8	21.3	1.161
15	13.8	21.3	1.058
16	14.2	21.3	0.988
17	15.1	21.2	1.026
18	16.3	21.2	1.273
19	17.4	21.1	1.420
20	17.7	21.1	1.757
21	17.8	21.1	1.805
22	18.4	21.1	1.683
23	18.8	21.1	1.013
24	19.5	21.0	0.635
25	17.0	21.0	0.439
26	16.5	20.9	0.237
27	16.7	20.9	0.093
28	16.7	20.9	0.067
29	16.4	20.9	0.202
30	16.1	20.8	0.507
31	16.5	20.8	1.369
32	19.8	20.7	1.465
33	19.3	20.7	1.472
34	18.9	20.6	1.542
35	18.3	20.6	1.472
36	17.6	20.6	1.427
37	17.2	20.6	1.321
38	17.0	20.5	1.161
39	16.4	20.5	1.058
40	16.8	20.5	0.988
41	17.5	20.5	1.026
42	18.3	20.5	1.273
43	18.5	20.5	1.420
44	18.5	20.4	1.757
45	18.8	20.3	1.805
46	18.8	20.2	1.683
47	18.9	20.2	1.013
48	18.9	20.2	0.635
49	15.8	20.1	0.439
50	15.7	20.1	0.237
51	15.9	20.1	0.093
52	16.3	20.0	0.067
53	16.4	20.0	0.202
54	16.2	20.0	0.507
55	16.8	20.0	1.369
56	19.5	20.0	1.465
57	19.4	19.9	1.472
58	19.5	19.9	1.542
59	19.0	19.8	1.472
60	18.8	19.8	1.427
61	18.0	19.8	1.321
62	17.6	19.8	1.161
63	17.2	19.7	1.058
64	17.2	19.7	0.988
65	17.4	19.6	1.026
66	18.0	19.6	1.273
67	18.7	19.6	1.420
68	19.1	19.5	1.757
69	19.7	19.5	1.805
70	20.1	19.5	1.683
71	20.5	19.5	1.013
72	20.8	19.4	0.635
73	18.0	19.4	0.439
74	18.0	19.4	0.237
75	17.8	19.4	0.093
76	17.9	19.3	0.067
77	17.9	19.3	0.202
78	17.8	19.3	0.507
79	17.4	19.3	1.369
80	19.8	19.2	1.465
81	19.2	19.2	1.472
82	18.2	19.2	1.542
83	16.5	19.2	1.472
84	15.3	19.2	1.427
85	14.1	19.2	1.321
86	13.6	19.2	1.161
87	13.8	19.2	1.058
88	13.7	19.1	0.988
