# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	6.3	12.1	0.152
2	6.5	12.0	0.082
3	6.8	11.6	0.032
4	6.7	11.5	0.023
5	6.8	11.5	0.070
6	6.9	11.5	0.175
7	6.7	11.4	0.472
8	8.3	11.4	0.506
9	8.3	11.3	0.508
10	7.8	11.3	0.532
11	7.9	11.3	0.508
12	7.4	11.3	0.492
13	7.2	11.2	0.456
14	7.2	11.2	0.400
15	7.2	11.2	0.365
16	7.4	11.2	0.341
17	7.9	11.1	0.354
18	8.5	11.1	0.439
19	9.1	11.1	0.490
20	9.3	11.1	0.606
21	9.3	11.1	0.623
22	9.6	11.1	0.581
23	9.9	11.1	0.350
24	10.2	11.0	0.219
25	8.9	11.0	0.152
26	8.7	11.0	0.082
27	8.7	11.0	0.032
28	8.7	11.0	0.023
29	8.6	10.9	0.070
30	8.5	10.9	0.175
31	8.7	10.9	0.472
32	10.4	10.9	0.506
33	10.1	10.9	0.508
34	9.9	10.8	0.532
35	9.6	10.8	0.508
36	9.2	10.8	0.492
37	9.0	10.8	0.456
38	8.9	10.8	0.400
39	8.6	10.8	0.365
40	8.8	10.8	0.341
41	9.2	10.8	0.354
42	9.6	10.7	0.439
43	9.7	10.7	0.490
44	9.7	10.7	0.606
45	9.8	10.6	0.623
46	9.9	10.6	0.581
47	9.9	10.6	0.350
48	9.9	10.6	0.219
49	8.3	10.5	0.152
50	8.3	10.5	0.082
51	8.3	10.5	0.032
52	8.5	10.5	0.023
53	8.6	10.5	0.070
54	8.5	10.5	0.175
55	8.8	10.4	0.472
56	10.2	10.4	0.506
57	10.1	10.4	0.508
58	10.2	10.4	0.532
59	9.9	10.4	0.508
60	9.8	10.4	0.492
61	9.4	10.3	0.456
62	9.2	10.3	0.400
63	9.0	10.3	0.365
64	9.0	10.3	0.341
65	9.1	10.3	0.354
66	9.5	10.3	0.439
67	9.8	10.2	0.490
68	10.0	10.2	0.606
69	10.3	10.2	0.623
70	10.6	10.2	0.581
71	10.8	10.2	0.350
72	10.9	10.2	0.219
73	9.4	10.2	0.152
74	9.4	10.1	0.082
75	9.3	10.1	0.032
76	9.4	10.1	0.023
77	9.4	10.1	0.070
78	9.3	10.1	0.175
79	9.1	10.1	0.472
80	10.4	10.1	0.506
81	10.1	10.1	0.508
82	9.5	10.1	0.532
83	8.7	10.1	0.508
84	8.0	10.1	0.492
85	7.4	10.0	0.456
86	7.1	10.0	0.400
87	7.2	10.0	0.365
88	7.2	10.0	0.341
89	7.3	10.0	0.354
90	7.4	10.0	0.439
91	7.3	10.0	0.490
92	7.2	10.0	0.606
93	7.4	10.0	0.623
94	7.5	10.0	0.581
95	7.6	10.0	0.350
96	7.6	10.0	0.219
97	6.0	10.0	0.152
98	6.1	9.9	0.082
99	6.4	9.9	0.032
100	6.6	9.9	0.023
101	6.8	9.9	0.070
102	6.9	9.9	0.175
103	7.2	9.9	0.472
104	8.9	9.9	0.506
105	9.1	9.9	0.508
106	9.1	9.9	0.532
107	9.3	9.9	0.508
108	9.3	9.9	0.492
109	9.4	9.9	0.456
110	9.6	9.9	0.400
111	10.1	9.9	0.365
112	10.0	9.9	0.341
113	10.5	9.8	0.354
114	11.0	9.8	0.439
115	11.0	9.8	0.490
116	10.8	9.8	0.606
117	11.1	9.8	0.623
118	11.5	9.8	0.581
119	12.0	9.8	0.350
120	12.1	9.8	0.219
121	10.7	9.8	0.152
122	10.8	9.8	0.082
123	10.5	9.8	0.032
124	10.5	9.8	0.023
125	9.9	9.8	0.070
126	9.6	9.8	0.175
127	9.5	9.8	0.472
128	11.0	9.8	0.506
129	10.8	9.8	0.508
130	10.4	9.8	0.532
131	9.8	9.7	0.508
132	9.3	9.7	0.492
133	8.5	9.7	0.456
134	8.0	9.7	0.400
135	7.7	9.7	0.365
136	7.4	9.7	0.341
137	7.4	9.7	0.354
138	7.6	9.7	0.439
139	7.3	9.7	0.490
140	7.3	9.6	0.606
141	7.3	9.6	0.623
142	7.3	9.6	0.581
143	7.3	9.6	0.350
144	7.3	9.6	0.219
145	5.6	9.6	0.152
146	5.7	9.6	0.082
147	5.8	9.6	0.032
148	5.9	9.6	0.023
149	6.2	9.6	0.070
150	6.0	9.6	0.175
151	6.1	9.5	0.472
152	7.8	9.5	0.506
153	7.7	9.5	0.508
154	7.2	9.5	0.532
155	7.0	9.5	0.508
156	6.7	9.5	0.492
157	6.4	9.5	0.456
158	5.8	9.5	0.400
159	5.6	9.5	0.365
160	5.6	9.5	0.341
161	6.1	9.5	0.354
162	6.5	9.5	0.439
163	7.0	9.5	0.490
164	7.1	9.5	0.606
