# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	4.0	7.7	0.116
2	4.1	7.6	0.063
3	4.4	7.4	0.025
4	4.3	7.3	0.018
5	4.4	7.3	0.053
6	4.4	7.3	0.134
7	4.3	7.3	0.362
8	5.3	7.2	0.388
9	5.3	7.2	0.389
10	5.0	7.2	0.408
11	5.0	7.2	0.389
12	4.7	7.2	0.377
13	4.6	7.1	0.350
14	4.6	7.1	0.307
15	4.6	7.1	0.280
16	4.7	7.1	0.261
17	5.0	7.1	0.271
18	5.4	7.1	0.337
19	5.8	7.1	0.376
20	5.9	7.0	0.465
21	6.0	7.0	0.478
22	6.1	7.0	0.445
23	6.3	7.0	0.268
24	6.5	7.0	0.168
25	5.7	7.0	0.116
26	5.5	7.0	0.063
27	5.6	7.0	0.025
28	5.6	7.0	0.018
29	5.5	7.0	0.053
30	5.4	6.9	0.134
31	5.5	6.9	0.362
32	6.6	6.9	0.388
33	6.4	6.9	0.389
34	6.3	6.9	0.408
35	6.1	6.9	0.389
36	5.9	6.9	0.377
37	5.7	6.9	0.350
38	5.7	6.9	0.307
39	5.5	6.8	0.280
40	5.6	6.8	0.261
41	5.9	6.8	0.271
42	6.1	6.8	0.337
43	6.2	6.8	0.376
44	6.2	6.8	0.465
45	6.3	6.8	0.478
46	6.3	6.7	0.445
47	6.3	6.7	0.268
48	6.3	6.7	0.168
49	5.3	6.7	0.116
50	5.3	6.7	0.063
51	5.3	6.7	0.025
52	5.4	6.7	0.018
53	5.5	6.7	0.053
54	5.4	6.7	0.134
55	5.6	6.7	0.362
56	6.5	6.6	0.388
57	6.5	6.6	0.389
58	6.5	6.6	0.408
59	6.3	6.6	0.389
60	6.3	6.6	0.377
61	6.0	6.6	0.350
62	5.9	6.6	0.307
63	5.8	6.6	0.280
64	5.7	6.6	0.261
65	5.8	6.5	0.271
66	6.0	6.5	0.337
67	6.2	6.5	0.376
68	6.4	6.5	0.465
69	6.6	6.5	0.478
70	6.7	6.5	0.445
71	6.9	6.5	0.268
72	6.9	6.5	0.168
73	6.0	6.5	0.116
74	6.0	6.5	0.063
75	5.9	6.4	0.025
76	6.0	6.4	0.018
77	6.0	6.4	0.053
78	5.9	6.4	0.134
79	5.8	6.4	0.362
80	6.6	6.4	0.388
81	6.4	6.4	0.389
