# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	0.3	0.5	0.013
2	0.3	0.5	0.007
3	0.3	0.5	0.003
4	0.3	0.5	0.002
5	0.3	0.5	0.006
6	0.3	0.5	0.015
7	0.3	0.4	0.040
8	0.3	0.4	0.042
9	0.3	0.4	0.043
10	0.3	0.4	0.045
11	0.3	0.4	0.043
12	0.3	0.4	0.041
13	0.3	0.4	0.038
14	0.3	0.4	0.034
15	0.3	0.4	0.031
16	0.3	0.4	0.029
17	0.3	0.4	0.030
18	0.3	0.4	0.037
19	0.3	0.4	0.041
20	0.4	0.4	0.051
21	0.4	0.4	0.052
22	0.4	0.4	0.049
23	0.4	0.4	0.029
24	0.4	0.4	0.018
25	0.4	0.4	0.013
26	0.4	0.4	0.007
27	0.4	0.4	0.003
28	0.4	0.4	0.002
29	0.4	0.4	0.006
30	0.4	0.4	0.015
31	0.4	0.4	0.040
32	0.4	0.4	0.042
33	0.4	0.4	0.043
34	0.4	0.4	0.045
35	0.4	0.4	0.043
36	0.4	0.4	0.041
37	0.3	0.4	0.038
38	0.3	0.4	0.034
39	0.3	0.4	0.031
40	0.3	0.4	0.029
41	0.4	0.4	0.030
42	0.4	0.4	0.037
43	0.4	0.4	0.041
44	0.4	0.4	0.051
45	0.4	0.4	0.052
46	0.4	0.4	0.049
47	0.4	0.4	0.029
48	0.4	0.4	0.018
49	0.4	0.4	0.013
50	0.4	0.4	0.007
51	0.4	0.4	0.003
52	0.4	0.4	0.002
53	0.4	0.4	0.006
54	0.4	0.4	0.015
55	0.4	0.4	0.040
56	0.4	0.4	0.042
57	0.4	0.4	0.043
58	0.4	0.4	0.045
59	0.4	0.4	0.043
60	0.4	0.4	0.041
61	0.4	0.4	0.038
62	0.4	0.4	0.034
63	0.3	0.4	0.031
64	0.3	0.4	0.029
65	0.3	0.4	0.030
66	0.4	0.4	0.037
67	0.4	0.4	0.041
68	0.4	0.4	0.051
69	0.4	0.4	0.052
70	0.4	0.4	0.049
