# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	6.6	10.3	0.143
2	6.8	10.3	0.077
3	7.0	10.0	0.030
4	6.9	10.0	0.022
5	7.0	10.0	0.066
6	7.0	10.0	0.165
7	6.9	9.6	0.446
8	6.9	9.6	0.478
9	6.9	9.3	0.480
10	6.5	9.3	0.503
11	6.6	9.2	0.480
12	6.2	9.2	0.465
13	6.0	9.2	0.431
14	6.0	9.2	0.378
15	6.0	9.2	0.345
16	6.2	9.2	0.322
17	6.6	9.2	0.334
18	7.1	9.2	0.415
19	7.6	9.1	0.463
20	7.7	9.1	0.573
21	7.8	9.1	0.588
22	8.0	9.1	0.549
23	8.2	9.1	0.330
24	8.5	9.1	0.207
25	8.8	9.1	0.143
26	8.5	9.1	0.077
27	8.6	9.1	0.030
28	8.6	9.0	0.022
29	8.5	9.0	0.066
30	8.4	9.0	0.165
31	8.5	9.0	0.446
32	8.6	8.9	0.478
33	8.4	8.9	0.480
34	8.3	8.9	0.503
35	8.0	8.9	0.480
36	7.7	8.9	0.465
37	7.5	8.8	0.431
38	7.4	8.8	0.378
39	7.2	8.8	0.345
40	7.3	8.8	0.322
41	7.6	8.8	0.334
42	8.0	8.8	0.415
43	8.0	8.8	0.463
44	8.1	8.7	0.573
45	8.2	8.7	0.588
46	8.2	8.7	0.549
47	8.2	8.7	0.330
48	8.2	8.7	0.207
49	8.2	8.7	0.143
50	8.2	8.7	0.077
51	8.3	8.7	0.030
52	8.4	8.7	0.022
53	8.5	8.7	0.066
54	8.4	8.7	0.165
55	8.6	8.6	0.446
56	8.5	8.6	0.478
57	8.4	8.6	0.480
58	8.5	8.6	0.503
59	8.3	8.6	0.480
60	8.2	8.6	0.465
61	7.8	8.6	0.431
62	7.7	8.6	0.378
63	7.5	8.6	0.345
64	7.5	8.6	0.322
65	7.6	8.6	0.334
66	7.9	8.6	0.415
67	8.1	8.5	0.463
68	8.3	8.5	0.573
69	8.6	8.5	0.588
70	8.8	8.5	0.549
71	8.9	8.5	0.330
72	9.1	8.5	0.207
73	9.2	8.5	0.143
74	9.2	8.5	0.077
75	9.1	8.5	0.030
76	9.2	8.5	0.022
77	9.1	8.5	0.066
78	9.1	8.5	0.165
79	8.9	8.5	0.446
80	8.6	8.4	0.478
81	8.4	8.4	0.480
82	7.9	8.4	0.503
83	7.2	8.4	0.480
84	6.7	8.4	0.465
85	6.1	8.4	0.431
86	5.9	8.4	0.378
87	6.0	8.4	0.345
88	6.0	8.4	0.322
89	6.1	8.4	0.334
90	6.1	8.4	0.415
91	6.1	8.4	0.463
