# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	2.1	3.9	0.160
2	2.1	3.9	0.086
3	2.2	3.8	0.034
4	2.2	3.8	0.025
5	2.2	3.8	0.074
6	2.2	3.8	0.184
7	2.2	3.7	0.498
8	2.7	3.7	0.533
9	2.7	3.7	0.536
10	2.6	3.7	0.561
11	2.6	3.7	0.536
12	2.4	3.7	0.519
13	2.3	3.7	0.481
14	2.4	3.6	0.422
15	2.4	3.6	0.385
16	2.4	3.6	0.359
17	2.6	3.6	0.373
18	2.8	3.6	0.463
19	3.0	3.6	0.517
20	3.0	3.6	0.639
21	3.0	3.6	0.657
22	3.1	3.6	0.613
23	3.2	3.6	0.369
24	3.3	3.6	0.231
25	2.9	3.6	0.160
26	2.8	3.6	0.086
27	2.8	3.6	0.034
28	2.8	3.6	0.025
29	2.8	3.6	0.074
30	2.8	3.6	0.184
31	2.8	3.5	0.498
32	3.4	3.5	0.533
33	3.3	3.5	0.536
34	3.2	3.5	0.561
35	3.1	3.5	0.536
36	3.0	3.5	0.519
37	2.9	3.5	0.481
38	2.9	3.5	0.422
39	2.8	3.5	0.385
40	2.9	3.5	0.359
41	3.0	3.5	0.373
42	3.1	3.5	0.463
43	3.2	3.5	0.517
44	3.2	3.5	0.639
45	3.2	3.5	0.657
46	3.2	3.5	0.613
47	3.2	3.4	0.369
48	3.2	3.4	0.231
49	2.7	3.4	0.160
50	2.7	3.4	0.086
51	2.7	3.4	0.034
52	2.8	3.4	0.025
53	2.8	3.4	0.074
54	2.8	3.4	0.184
55	2.9	3.4	0.498
56	3.3	3.4	0.533
57	3.3	3.4	0.536
58	3.3	3.4	0.561
59	3.2	3.4	0.536
60	3.2	3.4	0.519
61	3.1	3.4	0.481
62	3.0	3.4	0.422
63	2.9	3.4	0.385
64	2.9	3.3	0.359
65	3.0	3.3	0.373
66	3.1	3.3	0.463
67	3.2	3.3	0.517
68	3.3	3.3	0.639
69	3.4	3.3	0.657
70	3.4	3.3	0.613
71	3.5	3.3	0.369
72	3.6	3.3	0.231
73	3.1	3.3	0.160
74	3.1	3.3	0.086
75	3.0	3.3	0.034
76	3.1	3.3	0.025
77	3.1	3.3	0.074
78	3.0	3.3	0.184
79	3.0	3.3	0.498
80	3.4	3.3	0.533
81	3.3	3.3	0.536
82	3.1	3.3	0.561
83	2.8	3.3	0.536
84	2.6	3.3	0.519
85	2.4	3.3	0.481
86	2.3	3.3	0.422
87	2.4	3.3	0.385
88	2.3	3.3	0.359
89	2.4	3.3	0.373
90	2.4	3.3	0.463
91	2.4	3.3	0.517
92	2.3	3.2	0.639
93	2.4	3.2	0.657
94	2.5	3.2	0.613
95	2.5	3.2	0.369
96	2.5	3.2	0.231
97	2.0	3.2	0.160
98	2.0	3.2	0.086
99	2.1	3.2	0.034
100	2.1	3.2	0.025
101	2.2	3.2	0.074
102	2.3	3.2	0.184
103	2.4	3.2	0.498
104	2.9	3.2	0.533
105	3.0	3.2	0.536
106	3.0	3.2	0.561
107	3.0	3.2	0.536
108	3.0	3.2	0.519
109	3.1	3.2	0.481
110	3.1	3.2	0.422
111	3.3	3.2	0.385
112	3.3	3.2	0.359
113	3.4	3.2	0.373
114	3.6	3.2	0.463
115	3.6	3.2	0.517
116	3.5	3.2	0.639
117	3.6	3.2	0.657
118	3.8	3.2	0.613
119	3.9	3.2	0.369
120	3.9	3.2	0.231
121	3.5	3.2	0.160
122	3.5	3.2	0.086
123	3.4	3.2	0.034
124	3.4	3.2	0.025
125	3.2	3.2	0.074
126	3.1	3.2	0.184
127	3.1	3.2	0.498
128	3.6	3.2	0.533
129	3.5	3.2	0.536
130	3.4	3.2	0.561
131	3.2	3.2	0.536
132	3.0	3.2	0.519
133	2.8	3.2	0.481
134	2.6	3.2	0.422
135	2.5	3.2	0.385
136	2.4	3.2	0.359
137	2.4	3.1	0.373
138	2.5	3.1	0.463
139	2.4	3.1	0.517
140	2.4	3.1	0.639
141	2.4	3.1	0.657
142	2.4	3.1	0.613
143	2.4	3.1	0.369
144	2.4	3.1	0.231
145	1.8	3.1	0.160
146	1.9	3.1	0.086
147	1.9	3.1	0.034
148	1.9	3.1	0.025
149	2.0	3.1	0.074
150	2.0	3.1	0.184
151	2.0	3.1	0.498
152	2.6	3.1	0.533
153	2.5	3.1	0.536
154	2.3	3.1	0.561
155	2.3	3.1	0.536
156	2.2	3.1	0.519
157	2.1	3.1	0.481
158	1.9	3.1	0.422
159	1.8	3.1	0.385
160	1.8	3.1	0.359
161	2.0	3.1	0.373
162	2.1	3.1	0.463
163	2.3	3.1	0.517
164	2.3	3.1	0.639
165	2.4	3.1	0.657
166	2.5	3.1	0.613
167	2.6	3.1	0.369
168	2.6	3.1	0.231
169	2.2	3.1	0.160
170	2.2	3.1	0.086
171	2.2	3.1	0.034
172	2.1	3.1	0.025
173	2.1	3.1	0.074
174	1.9	3.1	0.184
175	1.9	3.1	0.498
176	2.4	3.1	0.533
