# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	8.7	13.5	0.226
2	8.9	13.5	0.122
3	9.2	13.2	0.048
4	9.1	13.2	0.035
5	9.2	13.2	0.104
6	9.3	13.1	0.261
7	9.1	12.6	0.704
8	9.0	12.6	0.754
9	9.1	12.2	0.757
10	8.6	12.2	0.793
11	8.6	12.1	0.757
12	8.1	12.1	0.734
13	7.9	12.1	0.679
14	7.9	12.1	0.597
15	7.9	12.1	0.544
16	8.1	12.1	0.508
17	8.6	12.0	0.528
18	9.3	12.0	0.655
19	10.0	12.0	0.730
20	10.1	12.0	0.904
21	10.2	12.0	0.928
22	10.5	12.0	0.866
23	10.8	12.0	0.521
24	11.2	11.9	0.326
25	11.5	11.9	0.226
26	11.2	11.9	0.122
27	11.3	11.9	0.048
28	11.3	11.9	0.035
29	11.2	11.8	0.104
30	11.0	11.8	0.261
31	11.2	11.8	0.704
32	11.4	11.8	0.754
33	11.1	11.7	0.757
34	10.8	11.7	0.793
35	10.5	11.7	0.757
36	10.1	11.7	0.734
37	9.8	11.6	0.679
38	9.7	11.6	0.597
39	9.4	11.6	0.544
40	9.6	11.5	0.508
41	10.0	11.5	0.528
42	10.5	11.5	0.655
43	10.6	11.5	0.730
44	10.6	11.5	0.904
45	10.7	11.5	0.928
46	10.8	11.5	0.866
47	10.8	11.5	0.521
48	10.8	11.4	0.326
49	10.8	11.4	0.226
50	10.8	11.4	0.122
51	10.8	11.4	0.048
52	11.1	11.4	0.035
53	11.2	11.4	0.104
54	11.0	11.4	0.261
55	11.3	11.4	0.704
56	11.2	11.4	0.754
57	11.1	11.4	0.757
58	11.2	11.3	0.793
59	10.9	11.3	0.757
60	10.8	11.3	0.734
61	10.3	11.3	0.679
62	10.1	11.3	0.597
63	9.9	11.3	0.544
64	9.8	11.3	0.508
65	10.0	11.3	0.528
66	10.3	11.3	0.655
67	10.7	11.2	0.730
68	10.9	11.2	0.904
69	11.3	11.2	0.928
70	11.5	11.2	0.866
71	11.8	11.2	0.521
72	11.9	11.2	0.326
73	12.1	11.2	0.226
74	12.1	11.2	0.122
75	11.9	11.2	0.048
76	12.0	11.2	0.035
77	12.0	11.1	0.104
78	11.9	11.1	0.261
79	11.7	11.1	0.704
80	11.3	11.1	0.754
81	11.0	11.1	0.757
82	10.4	11.1	0.793
83	9.5	11.1	0.757
84	8.7	11.1	0.734
85	8.1	11.0	0.679
86	7.8	11.0	0.597
87	7.9	11.0	0.544
88	7.8	11.0	0.508
89	8.0	11.0	0.528
90	8.1	11.0	0.655
91	8.0	11.0	0.730
92	7.8	11.0	0.904
93	8.1	11.0	0.928
94	8.2	11.0	0.866
95	8.3	11.0	0.521
96	8.3	11.0	0.326
97	8.3	10.9	0.226
98	8.4	10.9	0.122
99	8.7	10.9	0.048
100	9.0	10.9	0.035
101	9.2	10.9	0.104
102	9.3	10.9	0.261
103	9.7	10.9	0.704
104	9.8	10.9	0.754
105	10.0	10.8	0.757
106	9.9	10.8	0.793
107	10.1	10.8	0.757
108	10.2	10.8	0.734
109	10.2	10.8	0.679
110	10.5	10.8	0.597
111	11.0	10.8	0.544
112	11.0	10.8	0.508
113	11.5	10.8	0.528
114	12.0	10.8	0.655
115	12.0	10.8	0.730
116	11.8	10.8	0.904
117	12.1	10.8	0.928
118	12.6	10.8	0.866
119	13.1	10.8	0.521
120	13.2	10.8	0.326
121	13.5	10.8	0.226
