# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	0.5	1.0	0.027
2	0.5	1.0	0.014
3	0.6	0.9	0.006
4	0.5	0.9	0.004
5	0.6	0.9	0.012
6	0.6	0.9	0.031
7	0.5	0.9	0.083
8	0.7	0.9	0.089
9	0.7	0.9	0.089
10	0.6	0.9	0.093
11	0.6	0.9	0.089
12	0.6	0.9	0.086
13	0.6	0.9	0.080
14	0.6	0.9	0.070
15	0.6	0.9	0.064
16	0.6	0.9	0.060
17	0.6	0.9	0.062
18	0.7	0.9	0.077
19	0.7	0.9	0.086
20	0.8	0.9	0.106
21	0.8	0.9	0.109
22	0.8	0.9	0.102
23	0.8	0.9	0.061
24	0.8	0.9	0.038
25	0.7	0.9	0.027
26	0.7	0.9	0.014
27	0.7	0.9	0.006
28	0.7	0.9	0.004
29	0.7	0.9	0.012
30	0.7	0.9	0.031
31	0.7	0.9	0.083
32	0.8	0.9	0.089
33	0.8	0.9	0.089
34	0.8	0.9	0.093
35	0.8	0.9	0.089
36	0.8	0.9	0.086
37	0.7	0.9	0.080
38	0.7	0.9	0.070
39	0.7	0.9	0.064
40	0.7	0.9	0.060
41	0.7	0.9	0.062
42	0.8	0.9	0.077
43	0.8	0.9	0.086
44	0.8	0.9	0.106
45	0.8	0.9	0.109
46	0.8	0.9	0.102
47	0.8	0.9	0.061
48	0.8	0.9	0.038
49	0.7	0.9	0.027
50	0.7	0.9	0.014
51	0.7	0.9	0.006
52	0.7	0.9	0.004
53	0.7	0.9	0.012
54	0.7	0.9	0.031
55	0.7	0.8	0.083
56	0.8	0.8	0.089
57	0.8	0.8	0.089
58	0.8	0.8	0.093
59	0.8	0.8	0.089
60	0.8	0.8	0.086
61	0.8	0.8	0.080
62	0.8	0.8	0.070
63	0.7	0.8	0.064
64	0.7	0.8	0.060
65	0.7	0.8	0.062
66	0.8	0.8	0.077
67	0.8	0.8	0.086
68	0.8	0.8	0.106
69	0.8	0.8	0.109
70	0.9	0.8	0.102
71	0.9	0.8	0.061
72	0.9	0.8	0.038
73	0.8	0.8	0.027
74	0.8	0.8	0.014
75	0.8	0.8	0.006
76	0.8	0.8	0.004
77	0.8	0.8	0.012
78	0.8	0.8	0.031
79	0.7	0.8	0.083
80	0.8	0.8	0.089
81	0.8	0.8	0.089
82	0.8	0.8	0.093
83	0.7	0.8	0.089
84	0.7	0.8	0.086
85	0.6	0.8	0.080
86	0.6	0.8	0.070
87	0.6	0.8	0.064
88	0.6	0.8	0.060
89	0.6	0.8	0.062
90	0.6	0.8	0.077
91	0.6	0.8	0.086
92	0.6	0.8	0.106
93	0.6	0.8	0.109
94	0.6	0.8	0.102
95	0.6	0.8	0.061
96	0.6	0.8	0.038
97	0.5	0.8	0.027
98	0.5	0.8	0.014
99	0.5	0.8	0.006
100	0.5	0.8	0.004
101	0.6	0.8	0.012
102	0.6	0.8	0.031
103	0.6	0.8	0.083
104	0.7	0.8	0.089
105	0.7	0.8	0.089
106	0.7	0.8	0.093
107	0.8	0.8	0.089
108	0.8	0.8	0.086
109	0.8	0.8	0.080
110	0.8	0.8	0.070
111	0.8	0.8	0.064
112	0.8	0.8	0.060
113	0.9	0.8	0.062
114	0.9	0.8	0.077
115	0.9	0.8	0.086
116	0.9	0.8	0.106
117	0.9	0.8	0.109
118	0.9	0.8	0.102
119	1.0	0.8	0.061
120	1.0	0.8	0.038
