# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	5.8	9.1	0.433
2	6.0	9.1	0.234
3	6.2	8.9	0.092
4	6.1	8.9	0.066
5	6.2	8.9	0.199
6	6.2	8.8	0.500
7	6.1	8.6	1.350
8	6.1	8.5	1.445
9	6.1	8.5	1.451
10	5.8	8.5	1.521
11	5.8	8.5	1.451
12	5.5	8.5	1.407
13	5.3	8.5	1.303
14	5.3	8.4	1.145
15	5.3	8.4	1.044
16	5.5	8.4	0.974
17	5.8	8.4	1.012
18	6.3	8.4	1.255
19	6.7	8.4	1.401
20	6.8	8.4	1.733
21	6.9	8.3	1.780
22	7.1	8.3	1.660
23	7.2	8.3	0.999
24	7.5	8.3	0.626
25	7.7	8.3	0.433
26	7.6	8.3	0.234
27	7.6	8.3	0.092
28	7.6	8.2	0.066
29	7.5	8.2	0.199
30	7.4	8.2	0.500
31	7.5	8.2	1.350
32	7.6	8.2	1.445
33	7.4	8.2	1.451
34	7.3	8.2	1.521
35	7.1	8.1	1.451
36	6.8	8.1	1.407
37	6.6	8.1	1.303
38	6.6	8.1	1.145
39	6.3	8.1	1.044
40	6.5	8.1	0.974
41	6.8	8.1	1.012
42	7.1	8.1	1.255
43	7.1	8.1	1.401
44	7.1	8.1	1.733
45	7.2	8.1	1.780
46	7.2	8.1	1.660
47	7.3	8.1	0.999
48	7.3	8.1	0.626
49	7.3	8.1	0.433
50	7.2	8.1	0.234
51	7.3	8.1	0.092
52	7.4	8.1	0.066
53	7.5	8.0	0.199
54	7.4	8.0	0.500
55	7.6	8.0	1.350
56	7.5	8.0	1.445
57	7.5	8.0	1.451
58	7.5	8.0	1.521
59	7.3	8.0	1.451
60	7.2	8.0	1.407
61	6.9	8.0	1.303
62	6.8	8.0	1.145
63	6.6	8.0	1.044
64	6.6	8.0	0.974
65	6.7	8.0	1.012
66	6.9	8.0	1.255
67	7.2	7.9	1.401
68	7.4	7.9	1.733
69	7.6	7.9	1.780
70	7.8	7.9	1.660
71	7.9	7.9	0.999
72	8.0	7.9	0.626
73	8.1	7.9	0.433
74	8.1	7.9	0.234
75	8.0	7.9	0.092
76	8.1	7.9	0.066
77	8.1	7.9	0.199
78	8.0	7.9	0.500
79	7.9	7.9	1.350
80	7.6	7.9	1.445
81	7.4	7.8	1.451
82	7.0	7.8	1.521
83	6.4	7.8	1.451
84	5.9	7.8	1.407
85	5.4	7.8	1.303
86	5.2	7.7	1.145
87	5.3	7.7	1.044
88	5.3	7.7	0.974
89	5.4	7.7	1.012
90	5.4	7.7	1.255
91	5.4	7.7	1.401
92	5.3	7.7	1.733
93	5.4	7.6	1.780
94	5.5	7.6	1.660
95	5.6	7.6	0.999
96	5.6	7.6	0.626
97	5.6	7.6	0.433
98	5.6	7.6	0.234
99	5.9	7.6	0.092
100	6.0	7.6	0.066
101	6.2	7.6	0.199
102	6.3	7.6	0.500
103	6.5	7.6	1.350
104	6.6	7.6	1.445
105	6.7	7.5	1.451
106	6.7	7.5	1.521
