# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	0.4	0.7	0.015
2	0.4	0.7	0.008
3	0.4	0.7	0.003
4	0.4	0.7	0.002
5	0.4	0.7	0.007
6	0.4	0.7	0.017
7	0.4	0.7	0.047
8	0.5	0.7	0.050
9	0.5	0.7	0.050
10	0.5	0.7	0.053
11	0.5	0.7	0.050
12	0.5	0.7	0.049
13	0.4	0.7	0.045
14	0.4	0.7	0.040
15	0.4	0.7	0.036
16	0.5	0.7	0.034
17	0.5	0.7	0.035
18	0.5	0.7	0.044
19	0.6	0.7	0.049
20	0.6	0.7	0.060
21	0.6	0.7	0.062
22	0.6	0.7	0.058
23	0.6	0.7	0.035
24	0.6	0.7	0.022
25	0.6	0.7	0.015
26	0.5	0.7	0.008
27	0.5	0.7	0.003
28	0.5	0.7	0.002
29	0.5	0.7	0.007
30	0.5	0.7	0.017
31	0.5	0.7	0.047
32	0.6	0.7	0.050
33	0.6	0.7	0.050
34	0.6	0.7	0.053
35	0.6	0.7	0.050
36	0.6	0.7	0.049
37	0.6	0.7	0.045
38	0.6	0.7	0.040
39	0.5	0.7	0.036
40	0.5	0.7	0.034
41	0.6	0.7	0.035
42	0.6	0.7	0.044
43	0.6	0.7	0.049
44	0.6	0.7	0.060
45	0.6	0.7	0.062
46	0.6	0.7	0.058
47	0.6	0.7	0.035
48	0.6	0.7	0.022
49	0.5	0.7	0.015
50	0.5	0.7	0.008
51	0.5	0.7	0.003
52	0.5	0.7	0.002
53	0.5	0.6	0.007
54	0.5	0.6	0.017
55	0.5	0.6	0.047
56	0.6	0.6	0.050
57	0.6	0.6	0.050
58	0.6	0.6	0.053
59	0.6	0.6	0.050
60	0.6	0.6	0.049
61	0.6	0.6	0.045
62	0.6	0.6	0.040
63	0.6	0.6	0.036
64	0.6	0.6	0.034
65	0.6	0.6	0.035
66	0.6	0.6	0.044
67	0.6	0.6	0.049
68	0.6	0.6	0.060
69	0.6	0.6	0.062
70	0.7	0.6	0.058
71	0.7	0.6	0.035
72	0.7	0.6	0.022
73	0.6	0.6	0.015
74	0.6	0.6	0.008
75	0.6	0.6	0.003
76	0.6	0.6	0.002
77	0.6	0.6	0.007
78	0.6	0.6	0.017
79	0.6	0.6	0.047
80	0.6	0.6	0.050
81	0.6	0.6	0.050
82	0.6	0.6	0.053
83	0.5	0.6	0.050
84	0.5	0.6	0.049
85	0.5	0.6	0.045
86	0.4	0.6	0.040
87	0.4	0.6	0.036
88	0.4	0.6	0.034
89	0.5	0.6	0.035
90	0.5	0.6	0.044
91	0.5	0.6	0.049
92	0.4	0.6	0.060
93	0.5	0.6	0.062
94	0.5	0.6	0.058
95	0.5	0.6	0.035
96	0.5	0.6	0.022
97	0.4	0.6	0.015
98	0.4	0.6	0.008
99	0.4	0.6	0.003
100	0.4	0.6	0.002
101	0.4	0.6	0.007
102	0.4	0.6	0.017
103	0.4	0.6	0.047
104	0.6	0.6	0.050
105	0.6	0.6	0.050
106	0.6	0.6	0.053
107	0.6	0.6	0.050
108	0.6	0.6	0.049
109	0.6	0.6	0.045
110	0.6	0.6	0.040
111	0.6	0.6	0.036
112	0.6	0.6	0.034
113	0.6	0.6	0.035
114	0.7	0.6	0.044
115	0.7	0.6	0.049
116	0.7	0.6	0.060
117	0.7	0.6	0.062
118	0.7	0.6	0.058
119	0.7	0.6	0.035
120	0.7	0.6	0.022
121	0.7	0.6	0.015
122	0.7	0.6	0.008
123	0.6	0.6	0.003
124	0.6	0.6	0.002
125	0.6	0.6	0.007
126	0.6	0.6	0.017
127	0.6	0.6	0.047
128	0.7	0.6	0.050
129	0.7	0.6	0.050
130	0.6	0.6	0.053
131	0.6	0.6	0.050
132	0.6	0.6	0.049
133	0.5	0.6	0.045
134	0.5	0.6	0.040
135	0.5	0.6	0.036
136	0.5	0.6	0.034
137	0.5	0.6	0.035
138	0.5	0.6	0.044
139	0.5	0.6	0.049
140	0.4	0.6	0.060
141	0.5	0.6	0.062
142	0.5	0.6	0.058
143	0.5	0.6	0.035
144	0.5	0.6	0.022
145	0.3	0.6	0.015
146	0.4	0.6	0.008
147	0.4	0.6	0.003
148	0.4	0.6	0.002
149	0.4	0.6	0.007
