# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	4.7	7.3	0.309
2	4.8	7.3	0.167
3	5.0	7.1	0.065
4	4.9	7.1	0.047
5	5.0	7.1	0.142
6	5.0	7.1	0.356
7	4.9	6.9	0.963
8	4.9	6.8	1.031
9	4.9	6.8	1.036
10	4.6	6.8	1.085
11	4.6	6.8	1.036
12	4.4	6.8	1.004
13	4.2	6.8	0.930
14	4.3	6.7	0.817
15	4.2	6.7	0.745
16	4.4	6.7	0.695
17	4.6	6.7	0.722
18	5.0	6.7	0.896
19	5.3	6.7	0.999
20	5.4	6.7	1.236
21	5.5	6.6	1.270
22	5.7	6.6	1.184
23	5.8	6.6	0.713
24	6.0	6.6	0.447
25	6.2	6.6	0.309
26	6.0	6.6	0.167
27	6.1	6.6	0.065
28	6.1	6.6	0.047
29	6.0	6.6	0.142
30	5.9	6.6	0.356
31	6.0	6.5	0.963
32	6.1	6.5	1.031
33	5.9	6.5	1.036
34	5.8	6.5	1.085
35	5.6	6.5	1.036
36	5.4	6.5	1.004
37	5.3	6.5	0.930
38	5.2	6.5	0.817
39	5.1	6.5	0.745
40	5.2	6.5	0.695
41	5.4	6.5	0.722
42	5.6	6.5	0.896
43	5.7	6.5	0.999
44	5.7	6.5	1.236
45	5.8	6.5	1.270
46	5.8	6.5	1.184
47	5.8	6.5	0.713
48	5.8	6.5	0.447
49	5.8	6.5	0.309
50	5.8	6.5	0.167
51	5.8	6.4	0.065
52	6.0	6.4	0.047
53	6.0	6.4	0.142
54	5.9	6.4	0.356
55	6.1	6.4	0.963
56	6.0	6.4	1.031
57	6.0	6.4	1.036
58	6.0	6.4	1.085
59	5.8	6.4	1.036
60	5.8	6.4	1.004
61	5.5	6.4	0.930
62	5.4	6.4	0.817
63	5.3	6.4	0.745
64	5.3	6.4	0.695
65	5.3	6.4	0.722
66	5.6	6.4	0.896
67	5.7	6.4	0.999
68	5.9	6.4	1.236
69	6.1	6.4	1.270
70	6.2	6.4	1.184
71	6.3	6.3	0.713
72	6.4	6.3	0.447
73	6.5	6.3	0.309
74	6.5	6.3	0.167
75	6.4	6.3	0.065
76	6.5	6.3	0.047
77	6.5	6.3	0.142
78	6.4	6.3	0.356
79	6.3	6.3	0.963
80	6.1	6.3	1.031
81	5.9	6.3	1.036
82	5.6	6.3	1.085
83	5.1	6.3	1.036
84	4.7	6.2	1.004
85	4.3	6.2	0.930
86	4.2	6.2	0.817
87	4.2	6.2	0.745
88	4.2	6.2	0.695
89	4.3	6.2	0.722
90	4.3	6.2	0.896
91	4.3	6.2	0.999
92	4.2	6.1	1.236
93	4.3	6.1	1.270
94	4.4	6.1	1.184
95	4.5	6.1	0.713
96	4.5	6.1	0.447
97	4.5	6.1	0.309
98	4.5	6.1	0.167
99	4.7	6.1	0.065
100	4.8	6.1	0.047
101	4.9	6.1	0.142
102	5.0	6.1	0.356
103	5.2	6.0	0.963
104	5.3	6.0	1.031
105	5.4	6.0	1.036
106	5.3	6.0	1.085
107	5.4	6.0	1.036
108	5.5	6.0	1.004
109	5.5	6.0	0.930
110	5.6	6.0	0.817
111	5.9	6.0	0.745
112	5.9	6.0	0.695
113	6.2	6.0	0.722
114	6.4	6.0	0.896
115	6.5	6.0	0.999
116	6.4	6.0	1.236
117	6.5	5.9	1.270
118	6.8	5.9	1.184
119	7.1	5.9	0.713
120	7.1	5.9	0.447
121	7.3	5.9	0.309
122	7.3	5.9	0.167
123	7.1	5.9	0.065
124	7.1	5.9	0.047
125	6.8	5.9	0.142
126	6.6	5.9	0.356
127	6.5	5.9	0.963
128	6.4	5.9	1.031
129	6.4	5.9	1.036
130	6.1	5.9	1.085
131	5.8	5.9	1.036
132	5.4	5.8	1.004
133	5.0	5.8	0.930
134	4.7	5.8	0.817
135	4.5	5.8	0.745
136	4.3	5.8	0.695
137	4.3	5.8	0.722
138	4.5	5.8	0.896
139	4.3	5.8	0.999
140	4.3	5.8	1.236
141	4.3	5.8	1.270
142	4.3	5.8	1.184
143	4.3	5.8	0.713
144	4.3	5.8	0.447
145	4.2	5.8	0.309
146	4.3	5.8	0.167
147	4.3	5.8	0.065
148	4.4	5.8	0.047
149	4.6	5.8	0.142
150	4.5	5.8	0.356
151	4.5	5.8	0.963
152	4.6	5.8	1.031
153	4.5	5.8	1.036
154	4.2	5.8	1.085
155	4.1	5.8	1.036
156	3.9	5.8	1.004
157	3.8	5.8	0.930
158	3.4	5.8	0.817
159	3.3	5.8	0.745
160	3.3	5.8	0.695
161	3.6	5.8	0.722
162	3.8	5.7	0.896
163	4.1	5.7	0.999
164	4.1	5.7	1.236
165	4.4	5.7	1.270
166	4.4	5.7	1.184
167	4.7	5.7	0.713
168	4.8	5.7	0.447
169	4.9	5.7	0.309
170	4.8	5.7	0.167
171	4.9	5.7	0.065
172	4.7	5.7	0.047
173	4.6	5.7	0.142
174	4.5	5.7	0.356
175	4.5	5.7	0.963
176	4.4	5.7	1.031
177	4.4	5.7	1.036
178	4.3	5.7	1.085
179	4.0	5.7	1.036
180	3.8	5.7	1.004
181	3.9	5.7	0.930
182	3.8	5.7	0.817
183	3.9	5.7	0.745
184	3.9	5.7	0.695
185	3.8	5.7	0.722
186	3.9	5.6	0.896
187	4.0	5.6	0.999
188	3.7	5.6	1.236
189	3.6	5.6	1.270
190	3.6	5.6	1.184
191	3.4	5.6	0.713
192	3.3	5.6	0.447
193	3.1	5.6	0.309
194	3.1	5.6	0.167
195	3.2	5.6	0.065
196	3.3	5.6	0.047
197	3.1	5.6	0.142
198	3.0	5.6	0.356
199	3.1	5.6	0.963
200	3.1	5.6	1.031
201	3.2	5.6	1.036
202	2.9	5.6	1.085
203	2.9	5.6	1.036
204	2.9	5.6	1.004
205	2.9	5.6	0.930
206	2.6	5.6	0.817
207	2.4	5.6	0.745
208	2.3	5.6	0.695
209	2.4	5.6	0.722
210	2.3	5.6	0.896
211	2.3	5.6	0.999
212	2.3	5.6	1.236
213	2.3	5.6	1.270
214	2.3	5.6	1.184
215	2.3	5.5	0.713
216	2.1	5.5	0.447
217	2.2	5.5	0.309
218	2.2	5.5	0.167
219	2.3	5.5	0.065
220	2.5	5.5	0.047
221	2.6	5.5	0.142
222	2.7	5.5	0.356
223	2.9	5.5	0.963
224	2.9	5.5	1.031
225	2.9	5.5	1.036
226	3.0	5.5	1.085
227	3.0	5.5	1.036
228	3.0	5.5	1.004
229	2.9	5.5	0.930
230	2.9	5.5	0.817
231	2.9	5.5	0.745
232	3.1	5.5	0.695
233	3.3	5.5	0.722
234	3.6	5.5	0.896
235	3.6	5.5	0.999
236	3.8	5.5	1.236
237	4.1	5.5	1.270
238	4.4	5.5	1.184
239	4.7	5.5	0.713
240	4.8	5.5	0.447
241	5.0	5.5	0.309
242	5.0	5.5	0.167
243	5.0	5.5	0.065
244	5.0	5.5	0.047
245	5.0	5.5	0.142
246	5.0	5.5	0.356
247	5.0	5.4	0.963
248	4.9	5.4	1.031
249	5.0	5.4	1.036
250	4.7	5.4	1.085
251	4.7	5.4	1.036
252	4.3	5.4	1.004
253	4.3	5.4	0.930
254	4.0	5.4	0.817
255	4.0	5.4	0.745
256	4.2	5.4	0.695
257	4.5	5.4	0.722
258	4.5	5.4	0.896
259	4.6	5.4	0.999
