# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	20.2	31.4	0.448
2	20.6	31.3	0.242
3	21.5	30.7	0.095
4	21.2	30.6	0.069
5	21.5	30.6	0.206
6	21.5	30.5	0.516
7	21.2	29.3	1.396
8	21.0	29.2	1.494
9	21.2	28.4	1.500
10	19.9	28.3	1.572
11	20.0	28.2	1.500
12	18.9	28.1	1.455
13	18.3	28.1	1.347
14	18.4	28.0	1.183
15	18.4	28.0	1.079
16	18.9	28.0	1.007
17	20.1	28.0	1.046
18	21.7	28.0	1.298
19	23.1	28.0	1.448
20	23.5	27.9	1.791
21	23.8	27.9	1.840
22	24.5	27.8	1.716
23	25.1	27.8	1.033
24	26.0	27.8	0.647
25	26.8	27.8	0.448
26	26.1	27.7	0.242
27	26.3	27.7	0.095
28	26.3	27.6	0.069
29	26.0	27.4	0.206
30	25.6	27.4	0.516
31	26.1	27.4	1.396
32	26.4	27.4	1.494
33	25.7	27.3	1.500
34	25.2	27.3	1.572
35	24.4	27.2	1.500
36	23.4	27.2	1.455
37	22.9	27.0	1.347
38	22.6	27.0	1.183
39	21.9	27.0	1.079
40	22.4	26.8	1.007
41	23.3	26.8	1.046
42	24.4	26.8	1.298
43	24.6	26.8	1.448
44	24.7	26.8	1.791
45	25.0	26.7	1.840
46	25.0	26.7	1.716
47	25.1	26.7	1.033
48	25.1	26.7	0.647
49	25.1	26.6	0.448
50	25.0	26.6	0.242
51	25.2	26.6	0.095
52	25.7	26.6	0.069
53	26.0	26.6	0.206
54	25.6	26.5	0.516
55	26.4	26.4	1.396
56	26.0	26.4	1.494
57	25.8	26.4	1.500
58	25.9	26.4	1.572
59	25.2	26.4	1.500
60	25.0	26.3	1.455
61	24.0	26.3	1.347
62	23.4	26.3	1.183
63	23.0	26.3	1.079
64	22.9	26.3	1.007
65	23.1	26.2	1.046
66	24.0	26.2	1.298
67	24.9	26.2	1.448
68	25.4	26.1	1.791
69	26.2	26.1	1.840
70	26.8	26.1	1.716
71	27.3	26.1	1.033
72	27.7	26.0	0.647
73	28.0	26.0	0.448
74	28.0	26.0	0.242
75	27.8	26.0	0.095
76	28.0	25.9	0.069
77	27.9	25.9	0.206
78	27.8	25.9	0.516
79	27.2	25.9	1.396
80	26.3	25.8	1.494
81	25.5	25.8	1.500
82	24.2	25.8	1.572
83	22.0	25.7	1.500
84	20.3	25.7	1.455
85	18.8	25.7	1.347
86	18.2	25.7	1.183
87	18.4	25.7	1.079
88	18.2	25.6	1.007
89	18.6	25.6	1.046
90	18.7	25.6	1.298
91	18.7	25.6	1.448
92	18.2	25.6	1.791
93	18.8	25.6	1.840
94	19.1	25.5	1.716
95	19.3	25.5	1.033
96	19.4	25.5	0.647
97	19.3	25.4	0.448
98	19.5	25.4	0.242
99	20.3	25.4	0.095
100	20.8	25.4	0.069
101	21.4	25.4	0.206
102	21.7	25.3	0.516
103	22.5	25.3	1.396
104	22.7	25.3	1.494
105	23.2	25.3	1.500
106	23.1	25.3	1.572
107	23.5	25.2	1.500
108	23.7	25.2	1.455
109	23.8	25.2	1.347
110	24.3	25.2	1.183
111	25.6	25.2	1.079
112	25.5	25.2	1.007
113	26.6	25.1	1.046
114	27.8	25.1	1.298
