# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	2.0	3.8	0.040
2	2.0	3.8	0.022
3	2.1	3.6	0.009
4	2.1	3.6	0.006
5	2.1	3.6	0.019
6	2.1	3.6	0.047
7	2.1	3.6	0.126
8	2.6	3.6	0.135
9	2.6	3.5	0.135
10	2.5	3.5	0.142
11	2.5	3.5	0.135
12	2.3	3.5	0.131
13	2.3	3.5	0.122
14	2.3	3.5	0.107
15	2.3	3.5	0.097
16	2.3	3.5	0.091
17	2.5	3.5	0.094
18	2.7	3.5	0.117
19	2.8	3.5	0.131
20	2.9	3.5	0.162
21	2.9	3.5	0.166
22	3.0	3.5	0.155
23	3.1	3.5	0.093
24	3.2	3.4	0.058
25	2.8	3.4	0.040
26	2.7	3.4	0.022
27	2.7	3.4	0.009
28	2.7	3.4	0.006
29	2.7	3.4	0.019
30	2.6	3.4	0.047
31	2.7	3.4	0.126
32	3.3	3.4	0.135
33	3.2	3.4	0.135
34	3.1	3.4	0.142
35	3.0	3.4	0.135
36	2.9	3.4	0.131
37	2.8	3.4	0.122
38	2.8	3.4	0.107
39	2.7	3.4	0.097
40	2.8	3.4	0.091
41	2.9	3.4	0.094
42	3.0	3.4	0.117
43	3.0	3.4	0.131
44	3.0	3.3	0.162
45	3.1	3.3	0.166
46	3.1	3.3	0.155
47	3.1	3.3	0.093
48	3.1	3.3	0.058
49	2.6	3.3	0.040
50	2.6	3.3	0.022
51	2.6	3.3	0.009
52	2.7	3.3	0.006
53	2.7	3.3	0.019
54	2.7	3.3	0.047
55	2.7	3.3	0.126
56	3.2	3.3	0.135
57	3.2	3.3	0.135
58	3.2	3.3	0.142
59	3.1	3.2	0.135
60	3.1	3.2	0.131
61	2.9	3.2	0.122
62	2.9	3.2	0.107
63	2.8	3.2	0.097
64	2.8	3.2	0.091
65	2.8	3.2	0.094
66	3.0	3.2	0.117
67	3.1	3.2	0.131
68	3.1	3.2	0.162
69	3.2	3.2	0.166
70	3.3	3.2	0.155
71	3.4	3.2	0.093
72	3.4	3.2	0.058
73	2.9	3.2	0.040
74	2.9	3.2	0.022
75	2.9	3.2	0.009
76	2.9	3.2	0.006
77	2.9	3.2	0.019
78	2.9	3.2	0.047
79	2.8	3.1	0.126
80	3.2	3.1	0.135
81	3.1	3.1	0.135
82	3.0	3.1	0.142
83	2.7	3.1	0.135
84	2.5	3.1	0.131
85	2.3	3.1	0.122
86	2.2	3.1	0.107
87	2.3	3.1	0.097
88	2.2	3.1	0.091
89	2.3	3.1	0.094
90	2.3	3.1	0.117
91	2.3	3.1	0.131
92	2.2	3.1	0.162
93	2.3	3.1	0.166
94	2.4	3.1	0.155
95	2.4	3.1	0.093
96	2.4	3.1	0.058
97	1.9	3.1	0.040
98	1.9	3.1	0.022
99	2.0	3.1	0.009
100	2.1	3.1	0.006
101	2.1	3.1	0.019
102	2.2	3.1	0.047
103	2.3	3.1	0.126
104	2.8	3.1	0.135
105	2.9	3.1	0.135
106	2.8	3.1	0.142
107	2.9	3.1	0.135
108	2.9	3.1	0.131
109	2.9	3.1	0.122
110	3.0	3.1	0.107
