# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	0.0	0.0	0.000
2	0.0	0.0	0.000
3	0.0	0.0	0.000
4	0.0	0.0	0.000
5	0.0	0.0	0.000
6	0.0	0.0	0.000
7	0.0	0.0	0.001
8	0.0	0.0	0.001
9	0.0	0.0	0.001
10	0.0	0.0	0.001
11	0.0	0.0	0.001
12	0.0	0.0	0.001
13	0.0	0.0	0.001
14	0.0	0.0	0.001
15	0.0	0.0	0.001
16	0.0	0.0	0.001
17	0.0	0.0	0.001
18	0.0	0.0	0.001
19	0.0	0.0	0.001
20	0.0	0.0	0.002
21	0.0	0.0	0.002
22	0.0	0.0	0.001
23	0.0	0.0	0.001
24	0.0	0.0	0.001
25	0.0	0.0	0.000
26	0.0	0.0	0.000
27	0.0	0.0	0.000
28	0.0	0.0	0.000
29	0.0	0.0	0.000
30	0.0	0.0	0.000
31	0.0	0.0	0.001
32	0.0	0.0	0.001
33	0.0	0.0	0.001
34	0.0	0.0	0.001
35	0.0	0.0	0.001
36	0.0	0.0	0.001
37	0.0	0.0	0.001
38	0.0	0.0	0.001
39	0.0	0.0	0.001
40	0.0	0.0	0.001
41	0.0	0.0	0.001
42	0.0	0.0	0.001
43	0.0	0.0	0.001
44	0.0	0.0	0.002
45	0.0	0.0	0.002
46	0.0	0.0	0.001
47	0.0	0.0	0.001
48	0.0	0.0	0.001
49	0.0	0.0	0.000
50	0.0	0.0	0.000
51	0.0	0.0	0.000
52	0.0	0.0	0.000
53	0.0	0.0	0.000
54	0.0	0.0	0.000
55	0.0	0.0	0.001
56	0.0	0.0	0.001
57	0.0	0.0	0.001
58	0.0	0.0	0.001
59	0.0	0.0	0.001
60	0.0	0.0	0.001
61	0.0	0.0	0.001
62	0.0	0.0	0.001
63	0.0	0.0	0.001
64	0.0	0.0	0.001
65	0.0	0.0	0.001
66	0.0	0.0	0.001
67	0.0	0.0	0.001
68	0.0	0.0	0.002
69	0.0	0.0	0.002
70	0.0	0.0	0.001
71	0.0	0.0	0.001
72	0.0	0.0	0.001
73	0.0	0.0	0.000
74	0.0	0.0	0.000
75	0.0	0.0	0.000
76	0.0	0.0	0.000
77	0.0	0.0	0.000
78	0.0	0.0	0.000
79	0.0	0.0	0.001
80	0.0	0.0	0.001
