# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	5.7	10.9	0.162
2	5.9	10.9	0.088
3	6.2	10.6	0.034
4	6.1	10.5	0.025
5	6.2	10.5	0.075
6	6.2	10.4	0.187
7	6.1	10.4	0.505
8	7.5	10.4	0.541
9	7.5	10.3	0.543
10	7.1	10.3	0.569
11	7.1	10.3	0.543
12	6.7	10.2	0.527
13	6.5	10.2	0.488
14	6.6	10.2	0.428
15	6.5	10.2	0.391
16	6.7	10.2	0.365
17	7.2	10.1	0.379
18	7.7	10.1	0.470
19	8.2	10.1	0.524
20	8.4	10.1	0.649
21	8.5	10.1	0.666
22	8.7	10.1	0.621
23	8.9	10.1	0.374
24	9.3	10.0	0.234
25	8.1	10.0	0.162
26	7.9	10.0	0.088
27	7.9	10.0	0.034
28	7.9	9.9	0.025
29	7.8	9.9	0.075
30	7.7	9.9	0.187
31	7.8	9.9	0.505
32	9.4	9.9	0.541
33	9.2	9.9	0.543
34	9.0	9.9	0.569
35	8.7	9.9	0.543
36	8.4	9.8	0.527
37	8.2	9.8	0.488
38	8.1	9.8	0.428
39	7.8	9.8	0.391
40	8.0	9.8	0.365
41	8.3	9.7	0.379
42	8.7	9.7	0.470
43	8.8	9.7	0.524
44	8.8	9.7	0.649
45	8.9	9.7	0.666
46	8.9	9.6	0.621
47	9.0	9.6	0.374
48	9.0	9.6	0.234
49	7.5	9.6	0.162
50	7.5	9.6	0.088
51	7.5	9.5	0.034
52	7.7	9.5	0.025
53	7.8	9.5	0.075
54	7.7	9.5	0.187
55	8.0	9.5	0.505
56	9.3	9.5	0.541
57	9.2	9.5	0.543
58	9.3	9.5	0.569
59	9.0	9.5	0.543
60	8.9	9.4	0.527
61	8.5	9.4	0.488
62	8.3	9.4	0.428
63	8.2	9.4	0.391
64	8.2	9.4	0.365
65	8.2	9.4	0.379
66	8.6	9.3	0.470
67	8.9	9.3	0.524
68	9.1	9.3	0.649
69	9.4	9.3	0.666
70	9.6	9.3	0.621
71	9.8	9.3	0.374
72	9.9	9.3	0.234
73	8.5	9.3	0.162
74	8.5	9.2	0.088
75	8.5	9.2	0.034
76	8.5	9.2	0.025
77	8.5	9.2	0.075
78	8.5	9.2	0.187
