# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	8.2	15.6	0.275
2	8.4	15.6	0.149
3	8.9	15.1	0.058
4	8.7	15.0	0.042
5	8.9	14.9	0.127
6	8.9	14.9	0.317
7	8.7	14.8	0.858
8	10.7	14.8	0.918
9	10.8	14.7	0.922
10	10.2	14.6	0.966
11	10.2	14.6	0.922
12	9.6	14.6	0.894
13	9.3	14.6	0.828
14	9.4	14.5	0.727
15	9.4	14.5	0.663
16	9.6	14.5	0.619
17	10.2	14.4	0.643
18	11.1	14.4	0.797
19	11.8	14.4	0.890
20	12.0	14.4	1.101
21	12.1	14.4	1.131
22	12.5	14.4	1.054
23	12.8	14.4	0.635
24	13.2	14.3	0.398
25	11.6	14.3	0.275
26	11.2	14.2	0.149
27	11.3	14.2	0.058
28	11.3	14.2	0.042
29	11.2	14.2	0.127
30	11.0	14.1	0.317
31	11.2	14.1	0.858
32	13.5	14.1	0.918
33	13.1	14.1	0.922
34	12.9	14.0	0.966
35	12.5	14.0	0.922
36	11.9	14.0	0.894
37	11.7	14.0	0.828
38	11.6	14.0	0.727
39	11.2	14.0	0.663
40	11.4	13.9	0.619
41	11.9	13.9	0.643
42	12.5	13.9	0.797
43	12.5	13.9	0.890
44	12.6	13.9	1.101
45	12.7	13.8	1.131
46	12.8	13.8	1.054
47	12.8	13.7	0.635
48	12.8	13.7	0.398
49	10.7	13.7	0.275
50	10.7	13.6	0.149
51	10.8	13.6	0.058
52	11.0	13.6	0.042
53	11.2	13.6	0.127
54	11.0	13.6	0.317
55	11.4	13.6	0.858
56	13.3	13.5	0.918
57	13.1	13.5	0.922
58	13.2	13.5	0.966
59	12.9	13.5	0.922
60	12.8	13.5	0.894
61	12.2	13.5	0.828
62	11.9	13.4	0.727
63	11.7	13.4	0.663
64	11.7	13.4	0.619
65	11.8	13.4	0.643
66	12.3	13.3	0.797
67	12.7	13.3	0.890
68	13.0	13.3	1.101
69	13.4	13.2	1.131
70	13.7	13.2	1.054
71	13.9	13.2	0.635
72	14.1	13.2	0.398
73	12.2	13.2	0.275
74	12.2	13.2	0.149
75	12.1	13.2	0.058
76	12.2	13.1	0.042
77	12.2	13.1	0.127
78	12.1	13.1	0.317
79	11.8	13.1	0.858
80	13.4	13.1	0.918
81	13.0	13.1	0.922
82	12.4	13.1	0.966
83	11.2	13.1	0.922
84	10.4	13.0	0.894
85	9.6	13.0	0.828
86	9.3	13.0	0.727
87	9.4	13.0	0.663
88	9.3	13.0	0.619
89	9.5	13.0	0.643
90	9.6	13.0	0.797
91	9.5	13.0	0.890
92	9.3	13.0	1.101
93	9.6	12.9	1.131
94	9.8	12.9	1.054
95	9.8	12.9	0.635
96	9.9	12.9	0.398
97	7.8	12.9	0.275
98	7.9	12.9	0.149
99	8.3	12.9	0.058
100	8.5	12.9	0.042
