# HOY	Heat Demand	Load duration curve	Dhw Demand
# [h]	[kWh / h]	[kWh / h]	[kWh / h]
1	12.9	20.1	0.323
2	13.2	20.0	0.174
3	13.7	19.6	0.068
4	13.5	19.6	0.049
5	13.7	19.6	0.148
6	13.8	19.5	0.372
7	13.5	18.7	1.006
8	13.4	18.7	1.076
9	13.5	18.1	1.081
10	12.7	18.1	1.133
11	12.8	18.0	1.081
12	12.1	18.0	1.048
13	11.7	17.9	0.970
14	11.8	17.9	0.853
15	11.7	17.9	0.777
16	12.1	17.9	0.725
17	12.8	17.9	0.754
18	13.9	17.9	0.935
19	14.8	17.9	1.043
20	15.0	17.8	1.291
21	15.2	17.8	1.326
22	15.7	17.8	1.237
23	16.0	17.8	0.744
24	16.6	17.8	0.466
25	17.1	17.7	0.323
26	16.7	17.7	0.174
27	16.8	17.7	0.068
28	16.8	17.6	0.049
29	16.6	17.5	0.148
30	16.3	17.5	0.372
31	16.7	17.5	1.006
32	16.9	17.5	1.076
33	16.4	17.4	1.081
34	16.1	17.4	1.133
35	15.6	17.4	1.081
36	15.0	17.4	1.048
37	14.6	17.2	0.970
38	14.5	17.2	0.853
39	14.0	17.2	0.777
40	14.3	17.1	0.725
41	14.9	17.1	0.754
42	15.6	17.1	0.935
43	15.7	17.1	1.043
44	15.8	17.0	1.291
45	16.0	17.0	1.326
46	16.0	17.0	1.237
47	16.0	17.0	0.744
48	16.1	17.0	0.466
49	16.0	17.0	0.323
50	16.0	17.0	0.174
51	16.1	17.0	0.068
52	16.4	16.9	0.049
53	16.6	16.9	0.148
54	16.4	16.9	0.372
55	16.9	16.9	1.006
56	16.6	16.9	1.076
57	16.5	16.9	1.081
58	16.6	16.9	1.133
59	16.1	16.8	1.081
60	16.0	16.8	1.048
61	15.3	16.8	0.970
62	14.9	16.8	0.853
63	14.7	16.8	0.777
64	14.6	16.8	0.725
65	14.8	16.7	0.754
66	15.4	16.7	0.935
67	15.9	16.7	1.043
68	16.3	16.7	1.291
69	16.7	16.7	1.326
70	17.1	16.7	1.237
71	17.5	16.6	0.744
72	17.7	16.6	0.466
73	17.9	16.6	0.323
74	17.9	16.6	0.174
75	17.8	16.6	0.068
76	17.9	16.6	0.049
77	17.8	16.5	0.148
78	17.7	16.5	0.372
79	17.4	16.5	1.006
80	16.8	16.5	1.076
81	16.3	16.5	1.081
82	15.5	16.5	1.133
83	14.1	16.4	1.081
84	13.0	16.4	1.048
85	12.0	16.4	0.970
86	11.6	16.4	0.853
87	11.7	16.4	0.777
88	11.6	16.4	0.725
89	11.9	16.3	0.754
90	12.0	16.3	0.935
91	11.9	16.3	1.043
92	11.6	16.3	1.291
93	12.0	16.3	1.326
94	12.2	16.3	1.237
95	12.3	16.3	0.744
96	12.4	16.3	0.466
97	12.4	16.3	0.323
98	12.5	16.2	0.174
99	13.0	16.2	0.068
100	13.3	16.2	0.049
101	13.7	16.2	0.148
102	13.9	16.1	0.372
103	14.4	16.1	1.006
104	14.5	16.1	1.076
105	14.8	16.1	1.081
106	14.8	16.1	1.133
107	15.0	16.1	1.081
108	15.2	16.1	1.048
109	15.2	16.1	0.970
110	15.6	16.1	0.853
111	16.4	16.1	0.777
112	16.3	16.0	0.725
113	17.0	16.0	0.754
114	17.8	16.0	0.935
